[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 1] Moreover, brethren, I declare to you the gospel which I preached to you, which also ye have received, and in which ye stand;
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 2] By which also ye are saved, if ye keep in memory what I preached to you, unless ye have believed in vain.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 3] For I delivered to you first of all, that which I also received, that Christ died for our sins, according to the scriptures;
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 4] And that he was buried, and that he rose again the third day according to the scriptures:
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 5] And that he was seen by Cephas, then by the twelve:
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 6] After that he was seen by above five hundred brethren at once; of whom the greater part remain to this present, but some have fallen asleep.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 7] After that he was seen by James; then by all the apostles.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 8] And last of all he was seen by me also, as by one born out of due time.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 9] For I am the least of the apostles, who am not worthy to be called an apostle, because I persecuted the church of God.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 10] But by the grace of God I am what I am: and his grace which was bestowed upon me, was not in vain; but I labored more abundantly than they all: yet not I, but the grace of God which was with me.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 11] Therefore whether it was I or they, so we preach, and so ye believed.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 12] Now if Christ is preached that he rose from the dead, how say some among you that there is no resurrection of the dead?
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 13] But if there is no resurrection of the dead, then is Christ not raised.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 14] And if Christ is not raised, then is our preaching vain, and your faith is also vain.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 15] And indeed we are found false witnesses of God; because we have testified concerning God that he raised up Christ: whom he raised not, if in truth the dead rise not.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 16] For if the dead rise not, then is not Christ raised:
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 17] And if Christ is not raised, your faith is vain; ye are yet in your sins.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 18] Then they also who have fallen asleep in Christ have perished.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 19] If in this life only we have hope in Christ, we are of all men most miserable.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 20] But now is Christ raised from the dead, and become the first-fruits of them that slept.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 21] For since by man came death, by man came also the resurrection of the dead.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 22] For as in Adam all die, even so in Christ shall all be made alive.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 23] But every man in his own order: Christ the first-fruits; afterward they that are Christ's at his coming.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 24] Then cometh the end, when he shall have delivered up the kingdom to God, even the Father; when he shall have put down all rule, and all authority, and power.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 25] For he must reign, till he hath put all enemies under his feet.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 26] The last enemy that shall be destroyed is death.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 27] For he hath put all things under his feet. But when he saith, all things are put under him , it is manifest that he is excepted who did put all things under him.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 28] And when all things shall be subdued to him, then shall the Son also himself be subject to him that put all things under him, that God may be all in all.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 29] Else what will they do, who are baptized for the dead, if the dead rise not at all? why are they then baptized for the dead?
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 30] And why stand we in jeopardy every hour?
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 31] I protest by your rejoicing which I have in Christ Jesus our Lord, I die daily.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 32] If after the manner of men I have fought with beasts at Ephesus, what advantage is it to me, if the dead rise not? let us eat and drink; for to-morrow we die.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 33] Be not deceived: Evil communications corrupt good manners.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 34] Awake to righteousness, and sin not; for some have not the knowledge of God. I speak this to your shame.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 35] But some man will say, How are the dead raised? and with what body do they come?
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 36] Thou fool, that which thou sowest is not vivified except it die:
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 37] And that which thou sowest, thou sowest not that body that shall be, but bare grain; it may be of wheat, or of some other grain :
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 38] But God giveth it a body as it hath pleased him, and to every seed its own body.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 39] All flesh is not the same flesh; but there is one kind of flesh of men, another flesh of beasts, another of fishes, and another of fowls.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 40] There are also celestial bodies, and bodies terrestrial: but the glory of the celestial is one, and the glory of the terrestrial is another.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 15 | Verse 41] There is one glory of the sun, and another glory of the moon, and another glory of the stars; for one star differeth from another star in glory.
