[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 1] Let a man so account of us, as of the ministers of Christ, and stewards of the mysteries of God.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 2] Moreover, it is required in stewards that a man be found faithful.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 3] But with me it is a very small thing that I should be judged by you, or by man's judgment: yes, I judge not my own self.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 4] For I know nothing against myself; yet am I not hereby justified: but he that judgeth me is the Lord.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 5] Therefore judge nothing before the time, until the Lord shall come, who will both bring to light the hidden things of darkness, and will make manifest the counsels of the hearts: and then shall every man have praise from God.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 6] And these things, brethren, I have in a figure transferred to myself, and to Apollos, for your sakes; that ye may learn in us not to think of men above that which is written, that no one of you on account of one, may be puffed up against another.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 7] For who maketh thee to differ from another ? and what hast thou that thou didst not receive? now if thou didst receive it , why dost thou glory, as if thou hadst not received it ?
[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 8] Now ye are full, now ye are rich, ye have reigned as kings without us: and I wish ye did reign, that we also might reign with you.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 9] For I think that God hath set forth us the apostles last, as it were appointed to death: for we are made a spectacle to the world, and to angels, and to men.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 10] We are fools for Christ's sake, but ye are wise in Christ; we are weak, but ye are strong; ye are honorable, but we are despised.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 11] Even to this present hour we both hunger, and thirst, and are naked, and are buffeted, and have no certain dwelling-place;
[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 12] And labor, working with our own hands. Being reviled, we bless; being persecuted, we suffer it;
[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 13] Being defamed, we entreat: we are made as the filth of the world, the offscouring of all things to this day.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 14] I write not these things to shame you, but as my beloved sons I warn you .
[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 15] For though ye have ten thousand instructors in Christ, yet have ye not many fathers: for in Christ Jesus I have begotten you through the gospel.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 16] Wherefore I beseech you, be ye followers of me.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 17] For this cause have I sent to you Timothy, who is my beloved son, and faithful in the Lord, who will bring you into remembrance of my ways which are in Christ, as I teach every where in every church.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 18] Now some are puffed up, as though I would not come to you.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 19] But I will come to you shortly, if the Lord will, and will know, not the speech of them who are puffed up, but the power.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 20] For the kingdom of God is not in word, but in power.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 4 | Verse 21] What will ye? shall I come to you with a rod, or in love, and in the spirit of meekness?
