[IRV | HI | OT | Psalms | Chapter 60 | Verse 1] हे परमेश्वर, तूने हमको त्याग दिया, और हमको तोड़ डाला है; तू क्रोधित हुआ; फिर हमको ज्यों का त्यों कर दे।
[IRV | HI | OT | Psalms | Chapter 60 | Verse 2] तूने भूमि को कँपाया और फाड़ डाला है; उसके दरारों को भर दे, क्योंकि वह डगमगा रही है।
[IRV | HI | OT | Psalms | Chapter 60 | Verse 3] तूने अपनी प्रजा को कठिन समय दिखाया; तूने हमें लड़खड़ा देनेवाला दाखमधु पिलाया है।
[IRV | HI | OT | Psalms | Chapter 60 | Verse 4] तूने अपने डरवैयों को झण्डा दिया है, कि वह सच्चाई के कारण फहराया जाए। (सेला)
[IRV | HI | OT | Psalms | Chapter 60 | Verse 5] तू अपने दाहिने हाथ से बचा, और हमारी सुन ले कि तेरे प्रिय छुड़ाए जाएँ।
[IRV | HI | OT | Psalms | Chapter 60 | Verse 6] परमेश्वर पवित्रता के साथ बोला है, “मैं प्रफुल्लित होऊँगा; मैं शेकेम को बाँट लूँगा, और सुक्कोत की तराई को नपवाऊँगा।
[IRV | HI | OT | Psalms | Chapter 60 | Verse 7] गिलाद मेरा है; मनश्शे भी मेरा है; और एप्रैम मेरे सिर का टोप, यहूदा मेरा राजदण्ड है।
[IRV | HI | OT | Psalms | Chapter 60 | Verse 8] मोआब मेरे धोने का पात्र है; मैं एदोम पर अपना जूता फेंकूँगा; हे पलिश्तीन, मेरे ही कारण जयजयकार कर।”
[IRV | HI | OT | Psalms | Chapter 60 | Verse 9] मुझे गढ़वाले नगर में कौन पहुँचाएगा? एदोम तक मेरी अगुआई किसने की है?
[IRV | HI | OT | Psalms | Chapter 60 | Verse 10] हे परमेश्वर, क्या तूने हमको त्याग नहीं दिया? हे परमेश्वर, तू हमारी सेना के साथ नहीं जाता।
[IRV | HI | OT | Psalms | Chapter 60 | Verse 11] शत्रु के विरुद्ध हमारी सहायता कर, क्योंकि मनुष्य की सहायता व्यर्थ है।
[IRV | HI | OT | Psalms | Chapter 60 | Verse 12] परमेश्वर की सहायता से हम वीरता दिखाएँगे, क्योंकि हमारे शत्रुओं को वही रौंदेगा।
