[IRV | HI | OT | Psalms | Chapter 119 | Verse 1] क्या ही धन्य हैं वे जो चाल के खरे हैं, और यहोवा की व्यवस्था पर चलते हैं!
[IRV | HI | OT | Psalms | Chapter 119 | Verse 2] क्या ही धन्य हैं वे जो उसकी चितौनियों को मानते हैं, और पूर्ण मन से उसके पास आते हैं!
[IRV | HI | OT | Psalms | Chapter 119 | Verse 3] फिर वे कुटिलता का काम नहीं करते, वे उसके मार्गों में चलते हैं।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 4] तूने अपने उपदेश इसलिए दिए हैं, कि हम उसे यत्न से माने।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 5] भला होता कि तेरी विधियों को मानने के लिये मेरी चाल चलन दृढ़ हो जाए!
[IRV | HI | OT | Psalms | Chapter 119 | Verse 6] तब मैं तेरी सब आज्ञाओं की ओर चित्त लगाए रहूँगा, और मैं लज्जित न होऊँगा।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 7] जब मैं तेरे धर्ममय नियमों को सीखूँगा, तब तेरा धन्यवाद सीधे मन से करूँगा।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 8] मैं तेरी विधियों को मानूँगा: मुझे पूरी रीति से न तज! बेथ
[IRV | HI | OT | Psalms | Chapter 119 | Verse 9] जवान अपनी चाल को किस उपाय से शुद्ध रखे? तेरे वचन का पालन करने से।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 10] मैं पूरे मन से तेरी खोज में लगा हूँ; मुझे तेरी आज्ञाओं की बाट से भटकने न दे!
[IRV | HI | OT | Psalms | Chapter 119 | Verse 11] मैंने तेरे वचन को अपने हृदय में रख छोड़ा है, कि तेरे विरुद्ध पाप न करूँ।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 12] हे यहोवा, तू धन्य है; मुझे अपनी विधियाँ सिखा!
[IRV | HI | OT | Psalms | Chapter 119 | Verse 13] तेरे सब कहे हुए नियमों का वर्णन, मैंने अपने मुँह से किया है।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 14] मैं तेरी चितौनियों के मार्ग से, मानो सब प्रकार के धन से हर्षित हुआ हूँ।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 15] मैं तेरे उपदेशों पर ध्यान करूँगा, और तेरे मार्गों की ओर दृष्टि रखूँगा।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 16] मैं तेरी विधियों से सुख पाऊँगा; और तेरे वचन को न भूलूँगा। गिमेल
[IRV | HI | OT | Psalms | Chapter 119 | Verse 17] अपने दास का उपकार कर कि मैं जीवित रहूँ, और तेरे वचन पर चलता रहूँ।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 18] मेरी आँखें खोल दे, कि मैं तेरी व्यवस्था की अद्भुत बातें देख सकूँ।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 19] मैं तो पृथ्वी पर परदेशी हूँ; अपनी आज्ञाओं को मुझसे छिपाए न रख!
[IRV | HI | OT | Psalms | Chapter 119 | Verse 20] मेरा मन तेरे नियमों की अभिलाषा के कारण हर समय खेदित रहता है।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 21] तूने अभिमानियों को, जो श्रापित हैं, घुड़का है, वे तेरी आज्ञाओं से भटके हुए हैं।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 22] मेरी नामधराई और अपमान दूर कर, क्योंकि मैं तेरी चितौनियों को पकड़े हूँ।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 23] हाकिम भी बैठे हुए आपस में मेरे विरुद्ध बातें करते थे, परन्तु तेरा दास तेरी विधियों पर ध्यान करता रहा।
[IRV | HI | OT | Psalms | Chapter 119 | Verse 24] तेरी चितौनियाँ मेरा सुखमूल और मेरे मंत्री हैं। दाल्थ
