[IRV | HI | OT | Psalms | Chapter 80 | Verse 1] हे इस्राएल के चरवाहे, तू जो यूसुफ की अगुआई भेड़ों की सी करता है, कान लगा! तू जो करूबों पर विराजमान है, अपना तेज दिखा!
[IRV | HI | OT | Psalms | Chapter 80 | Verse 2] एप्रैम, बिन्यामीन, और मनश्शे के सामने अपना पराक्रम दिखाकर, हमारा उद्धार करने को आ!
[IRV | HI | OT | Psalms | Chapter 80 | Verse 3] हे परमेश्वर, हमको ज्यों के त्यों कर दे; और अपने मुख का प्रकाश चमका, तब हमारा उद्धार हो जाएगा!
[IRV | HI | OT | Psalms | Chapter 80 | Verse 4] हे सेनाओं के परमेश्वर यहोवा, तू कब तक अपनी प्रजा की प्रार्थना पर क्रोधित रहेगा?
[IRV | HI | OT | Psalms | Chapter 80 | Verse 5] तूने आँसुओं को उनका आहार बना दिया, और मटके भर भरकर उन्हें आँसू पिलाए हैं।
[IRV | HI | OT | Psalms | Chapter 80 | Verse 6] तू हमें हमारे पड़ोसियों के झगड़ने का कारण बना देता है; और हमारे शत्रु मनमाना ठट्ठा करते हैं।
[IRV | HI | OT | Psalms | Chapter 80 | Verse 7] हे सेनाओं के परमेश्वर, हमको ज्यों के त्यों कर दे; और अपने मुख का प्रकाश हम पर चमका, तब हमारा उद्धार हो जाएगा।
[IRV | HI | OT | Psalms | Chapter 80 | Verse 8] तू मिस्र से एक दाखलता ले आया; और अन्यजातियों को निकालकर उसे लगा दिया।
[IRV | HI | OT | Psalms | Chapter 80 | Verse 9] तूने उसके लिये स्थान तैयार किया है; और उसने जड़ पकड़ी और फैलकर देश को भर दिया।
[IRV | HI | OT | Psalms | Chapter 80 | Verse 10] उसकी छाया पहाड़ों पर फैल गई, और उसकी डालियाँ महा देवदारों के समान हुई;
[IRV | HI | OT | Psalms | Chapter 80 | Verse 11] उसकी शाखाएँ समुद्र तक बढ़ गई, और उसके अंकुर फरात तक फैल गए।
[IRV | HI | OT | Psalms | Chapter 80 | Verse 12] फिर तूने उसके बाड़ों को क्यों गिरा दिया, कि सब बटोही उसके फलों को तोड़ते है?
[IRV | HI | OT | Psalms | Chapter 80 | Verse 13] जंगली सूअर उसको नाश किए डालता है, और मैदान के सब पशु उसे चर जाते हैं।
[IRV | HI | OT | Psalms | Chapter 80 | Verse 14] हे सेनाओं के परमेश्वर, फिर आ! स्वर्ग से ध्यान देकर देख, और इस दाखलता की सुधि ले,
[IRV | HI | OT | Psalms | Chapter 80 | Verse 15] ये पौधा तूने अपने दाहिने हाथ से लगाया, और जो लता की शाखा तूने अपने लिये दृढ़ की है।
[IRV | HI | OT | Psalms | Chapter 80 | Verse 16] वह जल गई, वह कट गई है; तेरी घुड़की से तेरे शत्रु नाश हो जाए।
[IRV | HI | OT | Psalms | Chapter 80 | Verse 17] तेरे दाहिने हाथ के सम्भाले हुए पुरुष पर तेरा हाथ रखा रहे, उस आदमी पर, जिसे तूने अपने लिये दृढ़ किया है।
[IRV | HI | OT | Psalms | Chapter 80 | Verse 18] तब हम लोग तुझ से न मुड़ेंगे: तू हमको जिला, और हम तुझ से प्रार्थना कर सकेंगे।
[IRV | HI | OT | Psalms | Chapter 80 | Verse 19] हे सेनाओं के परमेश्वर यहोवा, हमको ज्यों का त्यों कर दे! और अपने मुख का प्रकाश हम पर चमका, तब हमारा उद्धार हो जाएगा!
