[IRV | HI | OT | Psalms | Chapter 42 | Verse 1] जैसे हिरनी नदी के जल के लिये हाँफती है, वैसे ही, हे परमेश्वर, मैं तेरे लिये हाँफता हूँ।
[IRV | HI | OT | Psalms | Chapter 42 | Verse 2] जीविते परमेश्वर, हाँ परमेश्वर, का मैं प्यासा हूँ, मैं कब जाकर परमेश्वर को अपना मुँह दिखाऊँगा? (भज. 63:1, प्रका. 22:4)
[IRV | HI | OT | Psalms | Chapter 42 | Verse 3] मेरे आँसू दिन और रात मेरा आहार हुए हैं; और लोग दिन भर मुझसे कहते रहते हैं, तेरा परमेश्वर कहाँ है?
[IRV | HI | OT | Psalms | Chapter 42 | Verse 4] मैं कैसे भीड़ के संग जाया करता था, मैं जयजयकार और धन्यवाद के साथ उत्सव करनेवाली भीड़ के बीच में परमेश्वर के भवन को धीरे धीरे जाया करता था; यह स्मरण करके मेरा प्राण शोकित हो जाता है।
[IRV | HI | OT | Psalms | Chapter 42 | Verse 5] हे मेरे प्राण, तू क्यों गिरा जाता है? और तू अन्दर ही अन्दर क्यों व्याकुल है? परमेश्वर पर आशा लगाए रह; क्योंकि मैं उसके दर्शन से उद्धार पाकर फिर उसका धन्यवाद करूँगा। (मत्ती 26:38, मर. 14:34, यूह. 12:27)
[IRV | HI | OT | Psalms | Chapter 42 | Verse 6] हे मेरे परमेश्वर; मेरा प्राण मेरे भीतर गिरा जाता है, इसलिए मैं यरदन के पास के देश से और हेर्मोन के पहाड़ों और मिसगार की पहाड़ी के ऊपर से तुझे स्मरण करता हूँ।
[IRV | HI | OT | Psalms | Chapter 42 | Verse 7] तेरी जलधाराओं का शब्द सुनकर जल, जल को पुकारता है; तेरी सारी तरंगों और लहरों में मैं डूब गया हूँ।
[IRV | HI | OT | Psalms | Chapter 42 | Verse 8] तो भी दिन को यहोवा अपनी शक्ति और करुणा प्रगट करेगा; और रात को भी मैं उसका गीत गाऊँगा, और अपने जीवनदाता परमेश्वर से प्रार्थना करूँगा।
[IRV | HI | OT | Psalms | Chapter 42 | Verse 9] मैं परमेश्वर से जो मेरी चट्टान है कहूँगा, “तू मुझे क्यों भूल गया? मैं शत्रु के अत्याचार के मारे क्यों शोक का पहरावा पहने हुए चलता फिरता हूँ?”
[IRV | HI | OT | Psalms | Chapter 42 | Verse 10] मेरे सतानेवाले जो मेरी निन्दा करते हैं, मानो उससे मेरी हड्डियाँ चूर-चूर होती हैं, मानो कटार से छिदी जाती हैं, क्योंकि वे दिन भर मुझसे कहते रहते हैं, तेरा परमेश्वर कहाँ है?
[IRV | HI | OT | Psalms | Chapter 42 | Verse 11] हे मेरे प्राण तू क्यों गिरा जाता है? तू अन्दर ही अन्दर क्यों व्याकुल है? परमेश्वर पर भरोसा रख; क्योंकि वह मेरे मुख की चमक और मेरा परमेश्वर है, मैं फिर उसका धन्यवाद करूँगा। (भज. 43:5, मर. 14:34, यूह. 12:27)
