[IRV | HI | OT | Psalms | Chapter 90 | Verse 1] हे प्रभु, तू पीढ़ी से पीढ़ी तक हमारे लिये धाम बना है।
[IRV | HI | OT | Psalms | Chapter 90 | Verse 2] इससे पहले कि पहाड़ उत्पन्न हुए, या तूने पृथ्वी और जगत की रचना की, वरन् अनादिकाल से अनन्तकाल तक तू ही परमेश्वर है।
[IRV | HI | OT | Psalms | Chapter 90 | Verse 3] तू मनुष्य को लौटाकर मिट्टी में ले जाता है, और कहता है, “हे आदमियों, लौट आओ!”
[IRV | HI | OT | Psalms | Chapter 90 | Verse 4] क्योंकि हजार वर्ष तेरी दृष्टि में ऐसे हैं, जैसा कल का दिन जो बीत गया, या रात का एक पहर। (2 पत. 3:8)
[IRV | HI | OT | Psalms | Chapter 90 | Verse 5] तू मनुष्यों को धारा में बहा देता है; वे स्वप्न से ठहरते हैं, वे भोर को बढ़नेवाली घास के समान होते हैं।
[IRV | HI | OT | Psalms | Chapter 90 | Verse 6] वह भोर को फूलती और बढ़ती है, और साँझ तक कटकर मुर्झा जाती है।
[IRV | HI | OT | Psalms | Chapter 90 | Verse 7] क्योंकि हम तेरे क्रोध से भस्म हुए हैं; और तेरी जलजलाहट से घबरा गए हैं।
[IRV | HI | OT | Psalms | Chapter 90 | Verse 8] तूने हमारे अधर्म के कामों को अपने सम्मुख, और हमारे छिपे हुए पापों को अपने मुख की ज्योति में रखा है।
[IRV | HI | OT | Psalms | Chapter 90 | Verse 9] क्योंकि हमारे सब दिन तेरे क्रोध में बीत जाते हैं, हम अपने वर्ष शब्द के समान बिताते हैं।
[IRV | HI | OT | Psalms | Chapter 90 | Verse 10] हमारी आयु के वर्ष सत्तर तो होते हैं, और चाहे बल के कारण अस्सी वर्ष भी हो जाएँ, तो भी उनका घमण्ड केवल कष्ट और शोक ही शोक है; क्योंकि वह जल्दी कट जाती है, और हम जाते रहते हैं।
[IRV | HI | OT | Psalms | Chapter 90 | Verse 11] तेरे क्रोध की शक्ति को और तेरे भय के योग्य तेरे रोष को कौन समझता है?
[IRV | HI | OT | Psalms | Chapter 90 | Verse 12] हमको अपने दिन गिनने की समझ दे कि हम बुद्धिमान हो जाएँ।
[IRV | HI | OT | Psalms | Chapter 90 | Verse 13] हे यहोवा, लौट आ! कब तक? और अपने दासों पर तरस खा!
[IRV | HI | OT | Psalms | Chapter 90 | Verse 14] भोर को हमें अपनी करुणा से तृप्त कर, कि हम जीवन भर जयजयकार और आनन्द करते रहें।
[IRV | HI | OT | Psalms | Chapter 90 | Verse 15] जितने दिन तू हमें दुःख देता आया, और जितने वर्ष हम क्लेश भोगते आए हैं उतने ही वर्ष हमको आनन्द दे।
[IRV | HI | OT | Psalms | Chapter 90 | Verse 16] तेरा काम तेरे दासों को, और तेरा प्रताप उनकी सन्तान पर प्रगट हो।
[IRV | HI | OT | Psalms | Chapter 90 | Verse 17] हमारे परमेश्वर यहोवा की मनोहरता हम पर प्रगट हो, तू हमारे हाथों का काम हमारे लिये दृढ़ कर, हमारे हाथों के काम को दृढ़ कर।
