[IRV | HI | OT | Psalms | Chapter 73 | Verse 1] सचमुच इस्राएल के लिये अर्थात् शुद्ध मनवालों के लिये परमेश्वर भला है।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 2] मेरे डग तो उखड़ना चाहते थे, मेरे डग फिसलने ही पर थे।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 3] क्योंकि जब मैं दुष्टों का कुशल देखता था, तब उन घमण्डियों के विषय डाह करता था।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 4] क्योंकि उनकी मृत्यु में वेदनाएँ नहीं होतीं, परन्तु उनका बल अटूट रहता है।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 5] उनको दूसरे मनुष्यों के समान कष्ट नहीं होता; और अन्य मनुष्यों के समान उन पर विपत्ति नहीं पड़ती।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 6] इस कारण अहंकार उनके गले का हार बना है; उनका ओढ़ना उपद्रव है।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 7] उनकी आँखें चर्बी से झलकती हैं, उनके मन की भावनाएँ उमड़ती हैं।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 8] वे ठट्ठा मारते हैं, और दुष्टता से हिंसा की बात बोलते हैं; वे डींग मारते हैं।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 9] वे मानो स्वर्ग में बैठे हुए बोलते हैं, और वे पृथ्वी में बोलते फिरते हैं।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 10] इसलिए उसकी प्रजा इधर लौट आएगी, और उनको भरे हुए प्याले का जल मिलेगा।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 11] फिर वे कहते हैं, “परमेश्वर कैसे जानता है? क्या परमप्रधान को कुछ ज्ञान है?”
[IRV | HI | OT | Psalms | Chapter 73 | Verse 12] देखो, ये तो दुष्ट लोग हैं; तो भी सदा आराम से रहकर, धन-सम्पत्ति बटोरते रहते हैं।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 13] निश्चय, मैंने अपने हृदय को व्यर्थ शुद्ध किया और अपने हाथों को निर्दोषता में धोया है;
[IRV | HI | OT | Psalms | Chapter 73 | Verse 14] क्योंकि मैं दिन भर मार खाता आया हूँ और प्रति भोर को मेरी ताड़ना होती आई है।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 15] यदि मैंने कहा होता, “मैं ऐसा कहूँगा”, तो देख मैं तेरे सन्तानों की पीढ़ी के साथ छल करता।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 16] जब मैं सोचने लगा कि इसे मैं कैसे समझूँ, तो यह मेरी दृष्टि में अति कठिन समस्या थी,
[IRV | HI | OT | Psalms | Chapter 73 | Verse 17] जब तक कि मैंने परमेश्वर के पवित्रस्थान में जाकर उन लोगों के परिणाम को न सोचा।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 18] निश्चय तू उन्हें फिसलनेवाले स्थानों में रखता है; और गिराकर सत्यानाश कर देता है।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 19] वे क्षण भर में कैसे उजड़ गए हैं! वे मिट गए, वे घबराते-घबराते नाश हो गए हैं।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 20] जैसे जागनेवाला स्वप्न को तुच्छ जानता है, वैसे ही हे प्रभु जब तू उठेगा, तब उनको छाया सा समझकर तुच्छ जानेगा।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 21] मेरा मन तो कड़वा हो गया था, मेरा अन्तःकरण छिद गया था,
[IRV | HI | OT | Psalms | Chapter 73 | Verse 22] मैं अबोध और नासमझ था, मैं तेरे सम्मुख मूर्ख पशु के समान था।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 23] तो भी मैं निरन्तर तेरे संग ही था; तूने मेरे दाहिने हाथ को पकड़ रखा।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 24] तू सम्मति देता हुआ, मेरी अगुआई करेगा, और तब मेरी महिमा करके मुझ को अपने पास रखेगा।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 25] स्वर्ग में मेरा और कौन है? तेरे संग रहते हुए मैं पृथ्वी पर और कुछ नहीं चाहता।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 26] मेरे हृदय और मन दोनों तो हार गए हैं, परन्तु परमेश्वर सर्वदा के लिये मेरा भाग और मेरे हृदय की चट्टान बना है।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 27] जो तुझ से दूर रहते हैं वे तो नाश होंगे; जो कोई तेरे विरुद्ध व्यभिचार करता है, उसको तू विनाश करता है।
[IRV | HI | OT | Psalms | Chapter 73 | Verse 28] परन्तु परमेश्वर के समीप रहना, यही मेरे लिये भला है; मैंने प्रभु यहोवा को अपना शरणस्थान माना है, जिससे मैं तेरे सब कामों को वर्णन करूँ।
