[IRV | HI | OT | Psalms | Chapter 136 | Verse 1] यहोवा का धन्यवाद करो, क्योंकि वह भला है, और उसकी करुणा सदा की है।
[IRV | HI | OT | Psalms | Chapter 136 | Verse 2] जो ईश्वरों का परमेश्वर है, उसका धन्यवाद करो, उसकी करुणा सदा की है।
[IRV | HI | OT | Psalms | Chapter 136 | Verse 3] जो प्रभुओं का प्रभु है, उसका धन्यवाद करो, उसकी करुणा सदा की है।
[IRV | HI | OT | Psalms | Chapter 136 | Verse 4] उसको छोड़कर कोई बड़े-बड़े आश्चर्यकर्म नहीं करता, उसकी करुणा सदा की है।
[IRV | HI | OT | Psalms | Chapter 136 | Verse 5] उसने अपनी बुद्धि से आकाश बनाया, उसकी करुणा सदा की है।
[IRV | HI | OT | Psalms | Chapter 136 | Verse 6] उसने पृथ्वी को जल के ऊपर फैलाया है, उसकी करुणा सदा की है।
[IRV | HI | OT | Psalms | Chapter 136 | Verse 7] उसने बड़ी-बड़ी ज्योतियाँ बनाईं, उसकी करुणा सदा की है।
[IRV | HI | OT | Psalms | Chapter 136 | Verse 8] दिन पर प्रभुता करने के लिये सूर्य को बनाया, उसकी करुणा सदा की है।
[IRV | HI | OT | Psalms | Chapter 136 | Verse 9] और रात पर प्रभुता करने के लिये चन्द्रमा और तारागण को बनाया, उसकी करुणा सदा की है।
[IRV | HI | OT | Psalms | Chapter 136 | Verse 10] उसने मिस्रियों के पहिलौठों को मारा, उसकी करुणा सदा की है।
[IRV | HI | OT | Psalms | Chapter 136 | Verse 11] और उनके बीच से इस्राएलियों को निकाला, उसकी करुणा सदा की है।
[IRV | HI | OT | Psalms | Chapter 136 | Verse 12] बलवन्त हाथ और बढ़ाई हुई भुजा से निकाल लाया, उसकी करुणा सदा की है।
[IRV | HI | OT | Psalms | Chapter 136 | Verse 13] उसने लाल समुद्र को विभाजित कर दिया, उसकी करुणा सदा की है।
[IRV | HI | OT | Psalms | Chapter 136 | Verse 14] और इस्राएल को उसके बीच से पार कर दिया, उसकी करुणा सदा की है;
[IRV | HI | OT | Psalms | Chapter 136 | Verse 15] और फ़िरौन को उसकी सेना समेत लाल समुद्र में डाल दिया, उसकी करुणा सदा की है।
[IRV | HI | OT | Psalms | Chapter 136 | Verse 16] वह अपनी प्रजा को जंगल में ले चला, उसकी करुणा सदा की है।
[IRV | HI | OT | Psalms | Chapter 136 | Verse 17] उसने बड़े-बड़े राजा मारे, उसकी करुणा सदा की है।
[IRV | HI | OT | Psalms | Chapter 136 | Verse 18] उसने प्रतापी राजाओं को भी मारा, उसकी करुणा सदा की है;
[IRV | HI | OT | Psalms | Chapter 136 | Verse 19] एमोरियों के राजा सीहोन को, उसकी करुणा सदा की है;
[IRV | HI | OT | Psalms | Chapter 136 | Verse 20] और बाशान के राजा ओग को घात किया, उसकी करुणा सदा की है।
[IRV | HI | OT | Psalms | Chapter 136 | Verse 21] और उनके देश को भाग होने के लिये, उसकी करुणा सदा की है;
[IRV | HI | OT | Psalms | Chapter 136 | Verse 22] अपने दास इस्राएलियों के भाग होने के लिये दे दिया, उसकी करुणा सदा की है।
[IRV | HI | OT | Psalms | Chapter 136 | Verse 23] उसने हमारी दुर्दशा में हमारी सुधि ली, उसकी करुणा सदा की है;
[IRV | HI | OT | Psalms | Chapter 136 | Verse 24] और हमको द्रोहियों से छुड़ाया है, उसकी करुणा सदा की है।
[IRV | HI | OT | Psalms | Chapter 136 | Verse 25] वह सब प्राणियों को आहार देता है, उसकी करुणा सदा की है।
[IRV | HI | OT | Psalms | Chapter 136 | Verse 26] स्वर्ग के परमेश्वर का धन्यवाद करो, उसकी करुणा सदा की है।
