[IRV | HI | OT | Psalms | Chapter 55 | Verse 1] हे परमेश्वर, मेरी प्रार्थना की ओर कान लगा; और मेरी गिड़गिड़ाहट से मुँह न मोड़!
[IRV | HI | OT | Psalms | Chapter 55 | Verse 2] मेरी ओर ध्यान देकर, मुझे उत्तर दे; विपत्तियों के कारण मैं व्याकुल होता हूँ।
[IRV | HI | OT | Psalms | Chapter 55 | Verse 3] क्योंकि शत्रु कोलाहल और दुष्ट उपद्रव कर रहें हैं; वे मुझ पर दोषारोपण करते हैं, और क्रोध में आकर सताते हैं।
[IRV | HI | OT | Psalms | Chapter 55 | Verse 4] मेरा मन भीतर ही भीतर संकट में है, और मृत्यु का भय मुझ में समा गया है।
[IRV | HI | OT | Psalms | Chapter 55 | Verse 5] भय और कंपन ने मुझे पकड़ लिया है, और भय ने मुझे जकड़ लिया है।
[IRV | HI | OT | Psalms | Chapter 55 | Verse 6] तब मैंने कहा, “भला होता कि मेरे कबूतर के से पंख होते तो मैं उड़ जाता और विश्राम पाता!
[IRV | HI | OT | Psalms | Chapter 55 | Verse 7] देखो, फिर तो मैं उड़ते-उड़ते दूर निकल जाता और जंगल में बसेरा लेता, (सेला)
[IRV | HI | OT | Psalms | Chapter 55 | Verse 8] मैं प्रचण्ड बयार और आँधी के झोंके से बचकर किसी शरणस्थान में भाग जाता।”
[IRV | HI | OT | Psalms | Chapter 55 | Verse 9] हे प्रभु, उनका सत्यानाश कर, और उनकी भाषा में गड़बड़ी डाल दे; क्योंकि मैंने नगर में उपद्रव और झगड़ा देखा है।
[IRV | HI | OT | Psalms | Chapter 55 | Verse 10] रात-दिन वे उसकी शहरपनाह पर चढ़कर चारों ओर घूमते हैं; और उसके भीतर दुष्टता और उत्पात होता है।
[IRV | HI | OT | Psalms | Chapter 55 | Verse 11] उसके भीतर दुष्टता ने बसेरा डाला है; और अत्याचार और छल उसके चौक से दूर नहीं होते।
[IRV | HI | OT | Psalms | Chapter 55 | Verse 12] जो मेरी नामधराई करता है वह शत्रु नहीं था, नहीं तो मैं उसको सह लेता; जो मेरे विरुद्ध बड़ाई मारता है वह मेरा बैरी नहीं है, नहीं तो मैं उससे छिप जाता।
[IRV | HI | OT | Psalms | Chapter 55 | Verse 13] परन्तु वह तो तू ही था जो मेरी बराबरी का मनुष्य मेरा परम मित्र और मेरी जान-पहचान का था।
[IRV | HI | OT | Psalms | Chapter 55 | Verse 14] हम दोनों आपस में कैसी मीठी-मीठी बातें करते थे; हम भीड़ के साथ परमेश्वर के भवन को जाते थे।
[IRV | HI | OT | Psalms | Chapter 55 | Verse 15] उनको मृत्यु अचानक आ दबाए; वे जीवित ही अधोलोक में उतर जाएँ; क्योंकि उनके घर और मन दोनों में बुराइयाँ और उत्पात भरा है।
[IRV | HI | OT | Psalms | Chapter 55 | Verse 16] परन्तु मैं तो परमेश्वर को पुकारूँगा; और यहोवा मुझे बचा लेगा।
[IRV | HI | OT | Psalms | Chapter 55 | Verse 17] साँझ को, भोर को, दोपहर को, तीनों पहर मैं दुहाई दूँगा और कराहता रहूँगा और वह मेरा शब्द सुन लेगा।
[IRV | HI | OT | Psalms | Chapter 55 | Verse 18] जो लड़ाई मेरे विरुद्ध मची थी उससे उसने मुझे कुशल के साथ बचा लिया है। उन्होंने तो बहुतों को संग लेकर मेरा सामना किया था।
[IRV | HI | OT | Psalms | Chapter 55 | Verse 19] परमेश्वर जो आदि से विराजमान है यह सुनकर उनको उत्तर देगा। (सेला) ये वे है जिनमें कोई परिवर्तन नहीं, और उनमें परमेश्वर का भय है ही नहीं।
[IRV | HI | OT | Psalms | Chapter 55 | Verse 20] उसने अपने मेल रखनेवालों पर भी हाथ उठाया है, उसने अपनी वाचा को तोड़ दिया है।
[IRV | HI | OT | Psalms | Chapter 55 | Verse 21] उसके मुँह की बातें तो मक्खन सी चिकनी थी परन्तु उसके मन में लड़ाई की बातें थीं; उसके वचन तेल से अधिक नरम तो थे परन्तु नंगी तलवारें थीं।
[IRV | HI | OT | Psalms | Chapter 55 | Verse 22] अपना बोझ यहोवा पर डाल दे वह तुझे सम्भालेगा; वह धर्मी को कभी टलने न देगा। (1 पत. 5:7, भज. 37:24)
[IRV | HI | OT | Psalms | Chapter 55 | Verse 23] परन्तु हे परमेश्वर, तू उन लोगों को विनाश के गड्ढे में गिरा देगा; हत्यारे और छली मनुष्य अपनी आधी आयु तक भी जीवित न रहेंगे। परन्तु मैं तुझ पर भरोसा रखे रहूँगा।
