[IRV | HI | OT | Psalms | Chapter 48 | Verse 1] हमारे परमेश्वर के नगर में, और अपने पवित्र पर्वत पर यहोवा महान और अति स्तुति के योग्य है! (सेला)
[IRV | HI | OT | Psalms | Chapter 48 | Verse 2] सिय्योन पर्वत ऊँचाई में सुन्दर और सारी पृथ्वी के हर्ष का कारण है, राजाधिराज का नगर उत्तरी सिरे पर है। (मत्ती 5:35, यिर्म. 3:19)
[IRV | HI | OT | Psalms | Chapter 48 | Verse 3] उसके महलों में परमेश्वर ऊँचा गढ़ माना गया है।
[IRV | HI | OT | Psalms | Chapter 48 | Verse 4] क्योंकि देखो, राजा लोग इकट्ठे हुए, वे एक संग आगे बढ़ गए।
[IRV | HI | OT | Psalms | Chapter 48 | Verse 5] उन्होंने आप ही देखा और देखते ही विस्मित हुए, वे घबराकर भाग गए।
[IRV | HI | OT | Psalms | Chapter 48 | Verse 6] वहाँ कँपकँपी ने उनको आ पकड़ा, और जच्चा की सी पीड़ाएँ उन्हें होने लगीं।
[IRV | HI | OT | Psalms | Chapter 48 | Verse 7] तू पूर्वी वायु से तर्शीश के जहाजों को तोड़ डालता है।
[IRV | HI | OT | Psalms | Chapter 48 | Verse 8] सेनाओं के यहोवा के नगर में, अपने परमेश्वर के नगर में, जैसा हमने सुना था, वैसा देखा भी है; परमेश्वर उसको सदा दृढ़ और स्थिर रखेगा।
[IRV | HI | OT | Psalms | Chapter 48 | Verse 9] हे परमेश्वर हमने तेरे मन्दिर के भीतर तेरी करुणा पर ध्यान किया है।
[IRV | HI | OT | Psalms | Chapter 48 | Verse 10] हे परमेश्वर तेरे नाम के योग्य तेरी स्तुति पृथ्वी की छोर तक होती है। तेरा दाहिना हाथ धार्मिकता से भरा है;
[IRV | HI | OT | Psalms | Chapter 48 | Verse 11] तेरे न्याय के कामों के कारण सिय्योन पर्वत आनन्द करे, और यहूदा के नगर की पुत्रियाँ मगन हों!
[IRV | HI | OT | Psalms | Chapter 48 | Verse 12] सिय्योन के चारों ओर चलो, और उसकी परिक्रमा करो, उसके गुम्मटों को गिन लो,
[IRV | HI | OT | Psalms | Chapter 48 | Verse 13] उसकी शहरपनाह पर दृष्टि लगाओ, उसके महलों को ध्यान से देखो; जिससे कि तुम आनेवाली पीढ़ी के लोगों से इस बात का वर्णन कर सको।
[IRV | HI | OT | Psalms | Chapter 48 | Verse 14] क्योंकि वह परमेश्वर सदा सर्वदा हमारा परमेश्वर है, वह मृत्यु तक हमारी अगुआई करेगा।
