[IRV | HI | OT | Psalms | Chapter 107 | Verse 1] यहोवा का धन्यवाद करो, क्योंकि वह भला है; और उसकी करुणा सदा की है!
[IRV | HI | OT | Psalms | Chapter 107 | Verse 2] यहोवा के छुड़ाए हुए ऐसा ही कहें, जिन्हें उसने शत्रु के हाथ से दाम देकर छुड़ा लिया है,
[IRV | HI | OT | Psalms | Chapter 107 | Verse 3] और उन्हें देश-देश से, पूरब-पश्चिम, उत्तर और दक्षिण से इकट्ठा किया है। (भज. 106:47)
[IRV | HI | OT | Psalms | Chapter 107 | Verse 4] वे जंगल में मरूभूमि के मार्ग पर भटकते फिरे, और कोई बसा हुआ नगर न पाया;
[IRV | HI | OT | Psalms | Chapter 107 | Verse 5] भूख और प्यास के मारे, वे विकल हो गए।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 6] तब उन्होंने संकट में यहोवा की दुहाई दी, और उसने उनको सकेती से छुड़ाया;
[IRV | HI | OT | Psalms | Chapter 107 | Verse 7] और उनको ठीक मार्ग पर चलाया, ताकि वे बसने के लिये किसी नगर को जा पहुँचे।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 8] लोग यहोवा की करुणा के कारण, और उन आश्चर्यकर्मों के कारण, जो वह मनुष्यों के लिये करता है, उसका धन्यवाद करें!
[IRV | HI | OT | Psalms | Chapter 107 | Verse 9] क्योंकि वह अभिलाषी जीव को सन्तुष्ट करता है, और भूखे को उत्तम पदार्थों से तृप्त करता है। (लूका 1:53, यिर्म. 31:25)
[IRV | HI | OT | Psalms | Chapter 107 | Verse 10] जो अंधियारे और मृत्यु की छाया में बैठे, और दुःख में पड़े और बेड़ियों से जकड़े हुए थे,
[IRV | HI | OT | Psalms | Chapter 107 | Verse 11] इसलिए कि वे परमेश्वर के वचनों के विरुद्ध चले, और परमप्रधान की सम्मति को तुच्छ जाना।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 12] तब उसने उनको कष्ट के द्वारा दबाया; वे ठोकर खाकर गिर पड़े, और उनको कोई सहायक न मिला।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 13] तब उन्होंने संकट में यहोवा की दुहाई दी, और उसने सकेती से उनका उद्धार किया;
[IRV | HI | OT | Psalms | Chapter 107 | Verse 14] उसने उनको अंधियारे और मृत्यु की छाया में से निकाल लिया; और उनके बन्धनों को तोड़ डाला।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 15] लोग यहोवा की करुणा के कारण, और उन आश्चर्यकर्मों के कारण जो वह मनुष्यों के लिये करता है, उसका धन्यवाद करें!
[IRV | HI | OT | Psalms | Chapter 107 | Verse 16] क्योंकि उसने पीतल के फाटकों को तोड़ा, और लोहे के बेंड़ों को टुकड़े-टुकड़े किया।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 17] मूर्ख अपनी कुचाल, और अधर्म के कामों के कारण अति दुःखित होते हैं।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 18] उनका जी सब भाँति के भोजन से मिचलाता है, और वे मृत्यु के फाटक तक पहुँचते हैं।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 19] तब वे संकट में यहोवा की दुहाई देते हैं, और वह सकेती से उनका उद्धार करता है;
[IRV | HI | OT | Psalms | Chapter 107 | Verse 20] वह अपने वचन के द्वारा उनको चंगा करता और जिस गड्ढे में वे पड़े हैं, उससे निकालता है। (भज. 147:15)
[IRV | HI | OT | Psalms | Chapter 107 | Verse 21] लोग यहोवा की करुणा के कारण और उन आश्चर्यकर्मों के कारण जो वह मनुष्यों के लिये करता है, उसका धन्यवाद करें!
[IRV | HI | OT | Psalms | Chapter 107 | Verse 22] और वे धन्यवाद-बलि चढ़ाएँ, और जयजयकार करते हुए, उसके कामों का वर्णन करें।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 23] जो लोग जहाजों में समुद्र पर चलते हैं, और महासागर पर होकर व्यापार करते हैं;
[IRV | HI | OT | Psalms | Chapter 107 | Verse 24] वे यहोवा के कामों को, और उन आश्चर्यकर्मों को जो वह गहरे समुद्र में करता है, देखते हैं।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 25] क्योंकि वह आज्ञा देता है, तब प्रचण्ड वायु उठकर तरंगों को उठाती है।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 26] वे आकाश तक चढ़ जाते, फिर गहराई में उतर आते हैं; और क्लेश के मारे उनके जी में जी नहीं रहता;
[IRV | HI | OT | Psalms | Chapter 107 | Verse 27] वे चक्कर खाते, और मतवालों की भाँति लड़खड़ाते हैं, और उनकी सारी बुद्धि मारी जाती है।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 28] तब वे संकट में यहोवा की दुहाई देते हैं, और वह उनको सकेती से निकालता है।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 29] वह आँधी को थाम देता है और तरंगें बैठ जाती हैं।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 30] तब वे उनके बैठने से आनन्दित होते हैं, और वह उनको मन चाहे बन्दरगाह में पहुँचा देता है।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 31] लोग यहोवा की करुणा के कारण, और उन आश्चर्यकर्मों के कारण जो वह मनुष्यों के लिये करता है, उसका धन्यवाद करें।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 32] और सभा में उसको सराहें, और पुरनियों के बैठक में उसकी स्तुति करें।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 33] वह नदियों को जंगल बना डालता है, और जल के सोतों को सूखी भूमि कर देता है।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 34] वह फलवन्त भूमि को बंजर बनाता है, यह वहाँ के रहनेवालों की दुष्टता के कारण होता है।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 35] वह जंगल को जल का ताल, और निर्जल देश को जल के सोते कर देता है।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 36] और वहाँ वह भूखों को बसाता है, कि वे बसने के लिये नगर तैयार करें;
[IRV | HI | OT | Psalms | Chapter 107 | Verse 37] और खेती करें, और दाख की बारियाँ लगाएँ, और भाँति-भाँति के फल उपजा लें।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 38] और वह उनको ऐसी आशीष देता है कि वे बहुत बढ़ जाते हैं, और उनके पशुओं को भी वह घटने नहीं देता।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 39] फिर विपत्ति और शोक के कारण, वे घटते और दब जाते हैं।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 40] और वह हाकिमों को अपमान से लादकर मार्ग रहित जंगल में भटकाता है;
[IRV | HI | OT | Psalms | Chapter 107 | Verse 41] वह दरिद्रों को दुःख से छुड़ाकर ऊँचे पर रखता है, और उनको भेड़ों के झुण्ड के समान परिवार देता है।
[IRV | HI | OT | Psalms | Chapter 107 | Verse 42] सीधे लोग देखकर आनन्दित होते हैं; और सब कुटिल लोग अपने मुँह बन्द करते हैं।
