[SBLGNT | EL | NT | Mark | Chapter 11 | Verse 1] Καὶ ὅτε ἐγγίζουσιν εἰς Ἱεροσόλυμα εἰς Βηθφαγὴ καὶ Βηθανίαν πρὸς τὸ Ὄρος τῶν Ἐλαιῶν, ἀποστέλλει δύο τῶν μαθητῶν αὐτοῦ
[SBLGNT | EL | NT | Mark | Chapter 11 | Verse 2] καὶ λέγει αὐτοῖς· Ὑπάγετε εἰς τὴν κώμην τὴν κατέναντι ὑμῶν, καὶ ⸀εὐθὺς εἰσπορευόμενοι εἰς αὐτὴν εὑρήσετε πῶλον δεδεμένον ἐφʼ ὃν οὐδεὶς ⸀οὔπω ἀνθρώπων ⸀ἐκάθισεν· ⸂λύσατε αὐτὸν καὶ φέρετε⸃.
[SBLGNT | EL | NT | Mark | Chapter 11 | Verse 3] καὶ ἐάν τις ὑμῖν εἴπῃ· Τί ποιεῖτε τοῦτο; εἴπατε ⸀ὅτι Ὁ κύριος αὐτοῦ χρείαν ἔχει· καὶ ⸀εὐθὺς αὐτὸν ἀποστέλλει ⸀πάλιν ὧδε.
[SBLGNT | EL | NT | Mark | Chapter 11 | Verse 4] ⸂καὶ ἀπῆλθον⸃ καὶ εὗρον πῶλον δεδεμένον ⸀πρὸς θύραν ἔξω ἐπὶ τοῦ ἀμφόδου, καὶ λύουσιν αὐτόν.
[SBLGNT | EL | NT | Mark | Chapter 11 | Verse 5] καί τινες τῶν ἐκεῖ ἑστηκότων ἔλεγον αὐτοῖς· Τί ποιεῖτε λύοντες τὸν πῶλον;
[SBLGNT | EL | NT | Mark | Chapter 11 | Verse 6] οἱ δὲ εἶπαν αὐτοῖς καθὼς ⸀εἶπεν ὁ Ἰησοῦς· καὶ ἀφῆκαν αὐτούς.
[SBLGNT | EL | NT | Mark | Chapter 11 | Verse 7] καὶ ⸀φέρουσιν τὸν πῶλον πρὸς τὸν Ἰησοῦν, καὶ ⸀ἐπιβάλλουσιν αὐτῷ τὰ ἱμάτια αὐτῶν, καὶ ἐκάθισεν ἐπʼ ⸀αὐτόν.
[SBLGNT | EL | NT | Mark | Chapter 11 | Verse 8] ⸂καὶ πολλοὶ⸃ τὰ ἱμάτια αὐτῶν ἔστρωσαν εἰς τὴν ὁδόν, ἄλλοι δὲ στιβάδας ⸂κόψαντες ἐκ τῶν ἀγρῶν⸃.
[SBLGNT | EL | NT | Mark | Chapter 11 | Verse 9] καὶ οἱ προάγοντες καὶ οἱ ἀκολουθοῦντες ⸀ἔκραζον· Ὡσαννά· Εὐλογημένος ὁ ἐρχόμενος ἐν ὀνόματι κυρίου·
[SBLGNT | EL | NT | Mark | Chapter 11 | Verse 10] Εὐλογημένη ἡ ἐρχομένη ⸀βασιλεία τοῦ πατρὸς ἡμῶν Δαυίδ· Ὡσαννὰ ἐν τοῖς ὑψίστοις.
[SBLGNT | EL | NT | Mark | Chapter 11 | Verse 11] Καὶ εἰσῆλθεν εἰς ⸀Ἱεροσόλυμα εἰς τὸ ἱερόν· καὶ περιβλεψάμενος πάντα ⸀ὀψὲ ἤδη οὔσης τῆς ὥρας ἐξῆλθεν εἰς Βηθανίαν μετὰ τῶν δώδεκα.
