[SBLGNT | EL | NT | Mark | Chapter 15 | Verse 1] Καὶ ⸀εὐθὺς πρωῒ συμβούλιον ποιήσαντες οἱ ἀρχιερεῖς μετὰ τῶν πρεσβυτέρων καὶ γραμματέων καὶ ὅλον τὸ συνέδριον δήσαντες τὸν Ἰησοῦν ἀπήνεγκαν καὶ ⸀παρέδωκαν Πιλάτῳ.
[SBLGNT | EL | NT | Mark | Chapter 15 | Verse 2] καὶ ἐπηρώτησεν αὐτὸν ὁ Πιλᾶτος· Σὺ εἶ ὁ βασιλεὺς τῶν Ἰουδαίων; ὁ δὲ ἀποκριθεὶς ⸂αὐτῷ λέγει⸃· Σὺ λέγεις.
[SBLGNT | EL | NT | Mark | Chapter 15 | Verse 3] καὶ κατηγόρουν αὐτοῦ οἱ ἀρχιερεῖς πολλά.
[SBLGNT | EL | NT | Mark | Chapter 15 | Verse 4] ὁ δὲ Πιλᾶτος πάλιν ⸀ἐπηρώτα αὐτὸν λέγων· Οὐκ ἀποκρίνῃ οὐδέν; ἴδε πόσα σου ⸀κατηγοροῦσιν.
[SBLGNT | EL | NT | Mark | Chapter 15 | Verse 5] ὁ δὲ Ἰησοῦς οὐκέτι οὐδὲν ἀπεκρίθη, ὥστε θαυμάζειν τὸν Πιλᾶτον.
[SBLGNT | EL | NT | Mark | Chapter 15 | Verse 6] Κατὰ δὲ ἑορτὴν ἀπέλυεν αὐτοῖς ἕνα δέσμιον ⸂ὃν παρῃτοῦντο⸃.
[SBLGNT | EL | NT | Mark | Chapter 15 | Verse 7] ἦν δὲ ὁ λεγόμενος Βαραββᾶς μετὰ τῶν ⸀στασιαστῶν δεδεμένος οἵτινες ἐν τῇ στάσει φόνον πεποιήκεισαν.
[SBLGNT | EL | NT | Mark | Chapter 15 | Verse 8] καὶ ⸀ἀναβὰς ὁ ὄχλος ἤρξατο αἰτεῖσθαι ⸀καθὼς ἐποίει αὐτοῖς.
[SBLGNT | EL | NT | Mark | Chapter 15 | Verse 9] ὁ δὲ Πιλᾶτος ἀπεκρίθη αὐτοῖς λέγων· Θέλετε ἀπολύσω ὑμῖν τὸν βασιλέα τῶν Ἰουδαίων;
[SBLGNT | EL | NT | Mark | Chapter 15 | Verse 10] ἐγίνωσκεν γὰρ ὅτι διὰ φθόνον παραδεδώκεισαν αὐτὸν οἱ ἀρχιερεῖς.
[SBLGNT | EL | NT | Mark | Chapter 15 | Verse 11] οἱ δὲ ἀρχιερεῖς ἀνέσεισαν τὸν ὄχλον ἵνα μᾶλλον τὸν Βαραββᾶν ἀπολύσῃ αὐτοῖς.
[SBLGNT | EL | NT | Mark | Chapter 15 | Verse 12] ὁ δὲ Πιλᾶτος ⸂πάλιν ἀποκριθεὶς ἔλεγεν⸃ αὐτοῖς· Τί οὖν ⸀θέλετε ποιήσω ⸂ὃν λέγετε⸃ ⸀τὸν βασιλέα τῶν Ἰουδαίων;
[SBLGNT | EL | NT | Mark | Chapter 15 | Verse 13] οἱ δὲ πάλιν ἔκραξαν· Σταύρωσον αὐτόν.
[SBLGNT | EL | NT | Mark | Chapter 15 | Verse 14] ὁ δὲ Πιλᾶτος ἔλεγεν αὐτοῖς· Τί γὰρ ⸂ἐποίησεν κακόν⸃; οἱ δὲ ⸀περισσῶς ἔκραξαν· Σταύρωσον αὐτόν.
