[SBLGNT | EL | NT | Mark | Chapter 14 | Verse 1] Ἦν δὲ τὸ πάσχα καὶ τὰ ἄζυμα μετὰ δύο ἡμέρας. καὶ ἐζήτουν οἱ ἀρχιερεῖς καὶ οἱ γραμματεῖς πῶς αὐτὸν ἐν δόλῳ κρατήσαντες ἀποκτείνωσιν,
[SBLGNT | EL | NT | Mark | Chapter 14 | Verse 2] ἔλεγον ⸀γάρ· Μὴ ἐν τῇ ἑορτῇ, μήποτε ⸂ἔσται θόρυβος⸃ τοῦ λαοῦ.
[SBLGNT | EL | NT | Mark | Chapter 14 | Verse 3] Καὶ ὄντος αὐτοῦ ἐν Βηθανίᾳ ἐν τῇ οἰκίᾳ Σίμωνος τοῦ λεπροῦ κατακειμένου αὐτοῦ ἦλθεν γυνὴ ἔχουσα ἀλάβαστρον μύρου νάρδου πιστικῆς πολυτελοῦς· ⸀συντρίψασα ⸀τὴν ἀλάβαστρον κατέχεεν ⸀αὐτοῦ τῆς κεφαλῆς.
[SBLGNT | EL | NT | Mark | Chapter 14 | Verse 4] ἦσαν δέ τινες ἀγανακτοῦντες πρὸς ⸀ἑαυτούς· Εἰς τί ἡ ἀπώλεια αὕτη τοῦ μύρου γέγονεν;
[SBLGNT | EL | NT | Mark | Chapter 14 | Verse 5] ἠδύνατο γὰρ τοῦτο ⸂τὸ μύρον⸃ πραθῆναι ἐπάνω ⸂δηναρίων τριακοσίων⸃ καὶ δοθῆναι τοῖς πτωχοῖς· καὶ ἐνεβριμῶντο αὐτῇ.
[SBLGNT | EL | NT | Mark | Chapter 14 | Verse 6] ὁ δὲ Ἰησοῦς εἶπεν· Ἄφετε αὐτήν· τί αὐτῇ κόπους παρέχετε; καλὸν ἔργον ἠργάσατο ἐν ἐμοί·
[SBLGNT | EL | NT | Mark | Chapter 14 | Verse 7] πάντοτε γὰρ τοὺς πτωχοὺς ἔχετε μεθʼ ἑαυτῶν, καὶ ὅταν θέλητε δύνασθε ⸀αὐτοῖς εὖ ποιῆσαι, ἐμὲ δὲ οὐ πάντοτε ἔχετε·
[SBLGNT | EL | NT | Mark | Chapter 14 | Verse 8] ὃ ⸀ἔσχεν ἐποίησεν, προέλαβεν μυρίσαι ⸂τὸ σῶμά μου⸃ εἰς τὸν ἐνταφιασμόν.
[SBLGNT | EL | NT | Mark | Chapter 14 | Verse 9] ἀμὴν ⸀δὲ λέγω ὑμῖν, ὅπου ⸀ἐὰν κηρυχθῇ τὸ ⸀εὐαγγέλιον εἰς ὅλον τὸν κόσμον, καὶ ὃ ἐποίησεν αὕτη λαληθήσεται εἰς μνημόσυνον αὐτῆς.
[SBLGNT | EL | NT | Mark | Chapter 14 | Verse 10] ⸀Καὶ Ἰούδας ⸂Ἰσκαριὼθ ὁ⸃ εἷς τῶν δώδεκα ἀπῆλθεν πρὸς τοὺς ἀρχιερεῖς ἵνα αὐτὸν ⸂παραδοῖ αὐτοῖς⸃.
[SBLGNT | EL | NT | Mark | Chapter 14 | Verse 11] οἱ δὲ ἀκούσαντες ἐχάρησαν καὶ ἐπηγγείλαντο αὐτῷ ἀργύριον δοῦναι. καὶ ἐζήτει πῶς ⸂αὐτὸν εὐκαίρως παραδοῖ⸃.
[SBLGNT | EL | NT | Mark | Chapter 14 | Verse 12] Καὶ τῇ πρώτῃ ἡμέρᾳ τῶν ἀζύμων, ὅτε τὸ πάσχα ἔθυον, λέγουσιν αὐτῷ οἱ μαθηταὶ αὐτοῦ· Ποῦ θέλεις ἀπελθόντες ἑτοιμάσωμεν ἵνα φάγῃς τὸ πάσχα;
[SBLGNT | EL | NT | Mark | Chapter 14 | Verse 13] καὶ ἀποστέλλει δύο τῶν μαθητῶν αὐτοῦ καὶ λέγει αὐτοῖς· Ὑπάγετε εἰς τὴν πόλιν, καὶ ἀπαντήσει ὑμῖν ἄνθρωπος κεράμιον ὕδατος βαστάζων· ἀκολουθήσατε αὐτῷ,
[SBLGNT | EL | NT | Mark | Chapter 14 | Verse 14] καὶ ὅπου ⸀ἐὰν εἰσέλθῃ εἴπατε τῷ οἰκοδεσπότῃ ὅτι Ὁ διδάσκαλος λέγει· Ποῦ ἐστιν τὸ κατάλυμά ⸀μου ὅπου τὸ πάσχα μετὰ τῶν μαθητῶν μου φάγω;
[SBLGNT | EL | NT | Mark | Chapter 14 | Verse 15] καὶ αὐτὸς ὑμῖν δείξει ἀνάγαιον μέγα ἐστρωμένον ἕτοιμον· ⸀καὶ ἐκεῖ ἑτοιμάσατε ἡμῖν.
