[SBLGNT | EL | NT | Mark | Chapter 5 | Verse 1] Καὶ ἦλθον εἰς τὸ πέραν τῆς θαλάσσης εἰς τὴν χώραν τῶν ⸀Γερασηνῶν.
[SBLGNT | EL | NT | Mark | Chapter 5 | Verse 2] καὶ ⸂ἐξελθόντος αὐτοῦ⸃ ἐκ τοῦ πλοίου ⸂εὐθὺς ὑπήντησεν⸃ αὐτῷ ἐκ τῶν μνημείων ἄνθρωπος ἐν πνεύματι ἀκαθάρτῳ,
[SBLGNT | EL | NT | Mark | Chapter 5 | Verse 3] ὃς τὴν κατοίκησιν εἶχεν ἐν τοῖς μνήμασιν, καὶ ⸂οὐδὲ ἁλύσει οὐκέτι⸃ οὐδεὶς ἐδύνατο αὐτὸν δῆσαι
[SBLGNT | EL | NT | Mark | Chapter 5 | Verse 4] διὰ τὸ αὐτὸν πολλάκις πέδαις καὶ ἁλύσεσι δεδέσθαι καὶ διεσπάσθαι ὑπʼ αὐτοῦ τὰς ἁλύσεις καὶ τὰς πέδας συντετρῖφθαι, καὶ οὐδεὶς ⸂ἴσχυεν αὐτὸν⸃ δαμάσαι·
[SBLGNT | EL | NT | Mark | Chapter 5 | Verse 5] καὶ διὰ παντὸς νυκτὸς καὶ ἡμέρας ἐν τοῖς ⸂μνήμασιν καὶ ἐν τοῖς ὄρεσιν⸃ ἦν κράζων καὶ κατακόπτων ἑαυτὸν λίθοις.
[SBLGNT | EL | NT | Mark | Chapter 5 | Verse 6] ⸂καὶ ἰδὼν⸃ τὸν Ἰησοῦν ἀπὸ μακρόθεν ἔδραμεν καὶ προσεκύνησεν ⸀αὐτόν,
[SBLGNT | EL | NT | Mark | Chapter 5 | Verse 7] καὶ κράξας φωνῇ μεγάλῃ ⸀λέγει· Τί ἐμοὶ καὶ σοί, Ἰησοῦ υἱὲ τοῦ θεοῦ τοῦ ὑψίστου; ὁρκίζω σε τὸν θεόν, μή με βασανίσῃς.
[SBLGNT | EL | NT | Mark | Chapter 5 | Verse 8] ἔλεγεν γὰρ αὐτῷ· Ἔξελθε τὸ πνεῦμα τὸ ἀκάθαρτον ἐκ τοῦ ἀνθρώπου.
[SBLGNT | EL | NT | Mark | Chapter 5 | Verse 9] καὶ ἐπηρώτα αὐτόν· Τί ⸂ὄνομά σοι⸃; καὶ ⸂λέγει αὐτῷ⸃· ⸀Λεγιὼν ὄνομά μοι, ὅτι πολλοί ἐσμεν·
[SBLGNT | EL | NT | Mark | Chapter 5 | Verse 10] καὶ παρεκάλει αὐτὸν πολλὰ ἵνα μὴ ⸀αὐτὰ ἀποστείλῃ ἔξω τῆς χώρας.
[SBLGNT | EL | NT | Mark | Chapter 5 | Verse 11] ἦν δὲ ἐκεῖ πρὸς τῷ ὄρει ἀγέλη χοίρων μεγάλη βοσκομένη·
[SBLGNT | EL | NT | Mark | Chapter 5 | Verse 12] καὶ παρεκάλεσαν ⸀αὐτὸν λέγοντες· Πέμψον ἡμᾶς εἰς τοὺς χοίρους, ἵνα εἰς αὐτοὺς εἰσέλθωμεν.
[SBLGNT | EL | NT | Mark | Chapter 5 | Verse 13] καὶ ἐπέτρεψεν ⸀αὐτοῖς. καὶ ἐξελθόντα τὰ πνεύματα τὰ ἀκάθαρτα εἰσῆλθον εἰς τοὺς χοίρους, καὶ ὥρμησεν ἡ ἀγέλη κατὰ τοῦ κρημνοῦ εἰς τὴν θάλασσαν, ⸀ὡς δισχίλιοι, καὶ ἐπνίγοντο ἐν τῇ θαλάσσῃ.
