[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 1] Ἐν ἐκείναις ταῖς ἡμέραις ⸂πάλιν πολλοῦ⸃ ὄχλου ὄντος καὶ μὴ ἐχόντων τί φάγωσιν, ⸀προσκαλεσάμενος τοὺς ⸀μαθητὰς λέγει αὐτοῖς·
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 2] Σπλαγχνίζομαι ἐπὶ τὸν ὄχλον ὅτι ἤδη ἡμέραι τρεῖς προσμένουσίν μοι καὶ οὐκ ἔχουσιν τί φάγωσιν·
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 3] καὶ ἐὰν ἀπολύσω αὐτοὺς νήστεις εἰς οἶκον αὐτῶν, ἐκλυθήσονται ἐν τῇ ὁδῷ· ⸂καί τινες⸃ αὐτῶν ⸀ἀπὸ μακρόθεν ⸀ἥκασιν.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 4] καὶ ἀπεκρίθησαν αὐτῷ οἱ μαθηταὶ αὐτοῦ ⸀ὅτι Πόθεν τούτους δυνήσεταί τις ὧδε χορτάσαι ἄρτων ἐπʼ ἐρημίας;
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 5] καὶ ⸀ἠρώτα αὐτούς· Πόσους ἔχετε ἄρτους; οἱ δὲ εἶπαν· Ἑπτά.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 6] καὶ ⸀παραγγέλλει τῷ ὄχλῳ ἀναπεσεῖν ἐπὶ τῆς γῆς· καὶ λαβὼν τοὺς ἑπτὰ ἄρτους εὐχαριστήσας ἔκλασεν καὶ ἐδίδου τοῖς μαθηταῖς αὐτοῦ ἵνα ⸀παρατιθῶσιν καὶ παρέθηκαν τῷ ὄχλῳ.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 7] καὶ εἶχον ἰχθύδια ὀλίγα· καὶ εὐλογήσας ⸀αὐτὰ εἶπεν ⸂καὶ ταῦτα παρατιθέναι⸃.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 8] ⸂καὶ ἔφαγον⸃ καὶ ἐχορτάσθησαν, καὶ ἦραν περισσεύματα κλασμάτων ἑπτὰ σπυρίδας.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 9] ἦσαν ⸀δὲ ὡς τετρακισχίλιοι. καὶ ἀπέλυσεν αὐτούς.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 10] καὶ ⸀εὐθὺς ἐμβὰς εἰς τὸ πλοῖον μετὰ τῶν μαθητῶν αὐτοῦ ἦλθεν εἰς τὰ μέρη Δαλμανουθά.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 11] Καὶ ἐξῆλθον οἱ Φαρισαῖοι καὶ ἤρξαντο συζητεῖν αὐτῷ, ζητοῦντες παρʼ αὐτοῦ σημεῖον ἀπὸ τοῦ οὐρανοῦ, πειράζοντες αὐτόν.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 12] καὶ ἀναστενάξας τῷ πνεύματι αὐτοῦ λέγει· Τί ἡ γενεὰ αὕτη ⸂ζητεῖ σημεῖον⸃; ἀμὴν λέγω ⸀ὑμῖν, εἰ δοθήσεται τῇ γενεᾷ ταύτῃ σημεῖον.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 13] καὶ ἀφεὶς αὐτοὺς ⸂πάλιν ἐμβὰς⸃ ἀπῆλθεν εἰς τὸ πέραν.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 14] Καὶ ἐπελάθοντο λαβεῖν ἄρτους, καὶ εἰ μὴ ἕνα ἄρτον οὐκ εἶχον μεθʼ ἑαυτῶν ἐν τῷ πλοίῳ.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 15] καὶ διεστέλλετο αὐτοῖς λέγων· Ὁρᾶτε, βλέπετε ἀπὸ τῆς ζύμης τῶν Φαρισαίων καὶ τῆς ζύμης Ἡρῴδου.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 16] καὶ διελογίζοντο πρὸς ⸀ἀλλήλους ὅτι ἄρτους οὐκ ⸀ἔχουσιν.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 17] καὶ ⸀γνοὺς λέγει αὐτοῖς· Τί διαλογίζεσθε ὅτι ἄρτους οὐκ ἔχετε; οὔπω νοεῖτε οὐδὲ συνίετε; ⸀πεπωρωμένην ἔχετε τὴν καρδίαν ὑμῶν;
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 18] ὀφθαλμοὺς ἔχοντες οὐ βλέπετε καὶ ὦτα ἔχοντες οὐκ ἀκούετε; καὶ οὐ μνημονεύετε
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 19] ὅτε τοὺς πέντε ἄρτους ἔκλασα εἰς τοὺς πεντακισχιλίους, πόσους κοφίνους ⸂κλασμάτων πλήρεις⸃ ἤρατε; λέγουσιν αὐτῷ· Δώδεκα.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 20] ὅτε ⸀καὶ τοὺς ἑπτὰ εἰς τοὺς τετρακισχιλίους, πόσων σπυρίδων πληρώματα κλασμάτων ἤρατε; ⸂καὶ λέγουσιν αὐτῷ⸃· Ἑπτά.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 21] καὶ ἔλεγεν αὐτοῖς· ⸀Οὔπω συνίετε;
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 22] Καὶ ⸀ἔρχονται εἰς Βηθσαϊδάν. καὶ φέρουσιν αὐτῷ τυφλὸν καὶ παρακαλοῦσιν αὐτὸν ἵνα αὐτοῦ ἅψηται.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 23] καὶ ἐπιλαβόμενος τῆς χειρὸς τοῦ τυφλοῦ ⸀ἐξήνεγκεν αὐτὸν ἔξω τῆς κώμης, καὶ πτύσας εἰς τὰ ὄμματα αὐτοῦ, ἐπιθεὶς τὰς χεῖρας αὐτῷ, ἐπηρώτα αὐτόν· Εἴ τι ⸀βλέπεις;
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 24] καὶ ἀναβλέψας ἔλεγεν· Βλέπω τοὺς ἀνθρώπους ὅτι ὡς δένδρα ὁρῶ περιπατοῦντας.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 25] εἶτα πάλιν ⸀ἐπέθηκεν τὰς χεῖρας ἐπὶ τοὺς ὀφθαλμοὺς αὐτοῦ, καὶ ⸂διέβλεψεν καὶ ἀπεκατέστη καὶ ἐνέβλεπεν⸃ τηλαυγῶς ⸀ἅπαντα.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 26] καὶ ἀπέστειλεν αὐτὸν ⸀εἰς οἶκον αὐτοῦ λέγων· Μηδὲ εἰς τὴν κώμην ⸀εἰσέλθῃς.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 27] Καὶ ἐξῆλθεν ὁ Ἰησοῦς καὶ οἱ μαθηταὶ αὐτοῦ εἰς τὰς κώμας Καισαρείας τῆς Φιλίππου· καὶ ἐν τῇ ὁδῷ ἐπηρώτα τοὺς μαθητὰς αὐτοῦ λέγων αὐτοῖς· Τίνα με λέγουσιν οἱ ἄνθρωποι εἶναι;
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 28] οἱ δὲ ⸂εἶπαν αὐτῷ λέγοντες⸃ ⸀ὅτι Ἰωάννην τὸν βαπτιστήν, καὶ ἄλλοι Ἠλίαν, ἄλλοι δὲ ⸂ὅτι εἷς⸃ τῶν προφητῶν.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 29] καὶ αὐτὸς ⸂ἐπηρώτα αὐτούς⸃· Ὑμεῖς δὲ τίνα με λέγετε εἶναι; ⸀ἀποκριθεὶς ὁ Πέτρος λέγει αὐτῷ· Σὺ εἶ ὁ χριστός.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 30] καὶ ἐπετίμησεν αὐτοῖς ἵνα μηδενὶ λέγωσιν περὶ αὐτοῦ.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 31] Καὶ ἤρξατο διδάσκειν αὐτοὺς ὅτι δεῖ τὸν υἱὸν τοῦ ἀνθρώπου πολλὰ παθεῖν καὶ ἀποδοκιμασθῆναι ⸀ὑπὸ τῶν πρεσβυτέρων καὶ τῶν ἀρχιερέων καὶ τῶν γραμματέων καὶ ἀποκτανθῆναι καὶ μετὰ τρεῖς ἡμέρας ἀναστῆναι·
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 32] καὶ παρρησίᾳ τὸν λόγον ἐλάλει. καὶ προσλαβόμενος ⸂ὁ Πέτρος αὐτὸν⸃ ἤρξατο ἐπιτιμᾶν αὐτῷ.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 33] ὁ δὲ ἐπιστραφεὶς καὶ ἰδὼν τοὺς μαθητὰς αὐτοῦ ἐπετίμησεν ⸀Πέτρῳ ⸂καὶ λέγει⸃· Ὕπαγε ὀπίσω μου, Σατανᾶ, ὅτι οὐ φρονεῖς τὰ τοῦ θεοῦ ἀλλὰ τὰ τῶν ἀνθρώπων.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 34] Καὶ προσκαλεσάμενος τὸν ὄχλον σὺν τοῖς μαθηταῖς αὐτοῦ εἶπεν αὐτοῖς· ⸂Εἴ τις⸃ θέλει ὀπίσω μου ⸀ἐλθεῖν, ἀπαρνησάσθω ἑαυτὸν καὶ ἀράτω τὸν σταυρὸν αὐτοῦ καὶ ἀκολουθείτω μοι.
[SBLGNT | EL | NT | Mark | Chapter 8 | Verse 35] ὃς γὰρ ⸀ἐὰν θέλῃ τὴν ⸂ψυχὴν αὐτοῦ⸃ σῶσαι ἀπολέσει αὐτήν· ὃς δʼ ἂν ⸀ἀπολέσει τὴν ⸄ψυχὴν αὐτοῦ⸅ ἕνεκεν ἐμοῦ καὶ τοῦ εὐαγγελίου ⸀σώσει αὐτήν.
