[SBLGNT | EL | NT | Mark | Chapter 3 | Verse 1] Καὶ εἰσῆλθεν πάλιν ⸀εἰς συναγωγήν, καὶ ἦν ἐκεῖ ἄνθρωπος ἐξηραμμένην ἔχων τὴν χεῖρα.
[SBLGNT | EL | NT | Mark | Chapter 3 | Verse 2] καὶ παρετήρουν αὐτὸν εἰ τοῖς σάββασιν θεραπεύσει αὐτόν, ἵνα ⸀κατηγορήσωσιν αὐτοῦ.
[SBLGNT | EL | NT | Mark | Chapter 3 | Verse 3] καὶ λέγει τῷ ἀνθρώπῳ τῷ ⸂τὴν χεῖρα ἔχοντι ξηράν⸃· ⸀Ἔγειρε εἰς τὸ μέσον.
[SBLGNT | EL | NT | Mark | Chapter 3 | Verse 4] καὶ λέγει αὐτοῖς· Ἔξεστιν τοῖς σάββασιν ⸀ἀγαθοποιῆσαι ἢ κακοποιῆσαι, ψυχὴν σῶσαι ἢ ἀποκτεῖναι; οἱ δὲ ἐσιώπων.
[SBLGNT | EL | NT | Mark | Chapter 3 | Verse 5] καὶ περιβλεψάμενος αὐτοὺς μετʼ ὀργῆς, συλλυπούμενος ἐπὶ τῇ πωρώσει τῆς καρδίας αὐτῶν, λέγει τῷ ἀνθρώπῳ· Ἔκτεινον τὴν ⸀χεῖρα· καὶ ἐξέτεινεν, καὶ ἀπεκατεστάθη ἡ χεὶρ ⸀αὐτοῦ.
[SBLGNT | EL | NT | Mark | Chapter 3 | Verse 6] καὶ ἐξελθόντες οἱ Φαρισαῖοι ⸀εὐθὺς μετὰ τῶν Ἡρῳδιανῶν συμβούλιον ⸀ἐδίδουν κατʼ αὐτοῦ ὅπως αὐτὸν ἀπολέσωσιν.
[SBLGNT | EL | NT | Mark | Chapter 3 | Verse 7] Καὶ ὁ Ἰησοῦς ⸂μετὰ τῶν μαθητῶν αὐτοῦ ἀνεχώρησεν⸃ πρὸς τὴν θάλασσαν· καὶ πολὺ πλῆθος ἀπὸ τῆς Γαλιλαίας ⸀ἠκολούθησεν, καὶ ἀπὸ τῆς Ἰουδαίας
[SBLGNT | EL | NT | Mark | Chapter 3 | Verse 8] καὶ ἀπὸ Ἱεροσολύμων καὶ ἀπὸ τῆς Ἰδουμαίας ⸀καὶ πέραν τοῦ Ἰορδάνου ⸁καὶ περὶ Τύρον καὶ Σιδῶνα, πλῆθος πολύ, ⸀ἀκούοντες ὅσα ⸀ἐποίει ἦλθον πρὸς αὐτόν.
[SBLGNT | EL | NT | Mark | Chapter 3 | Verse 9] καὶ εἶπεν τοῖς μαθηταῖς αὐτοῦ ἵνα πλοιάριον προσκαρτερῇ αὐτῷ διὰ τὸν ὄχλον ἵνα μὴ θλίβωσιν αὐτόν·
[SBLGNT | EL | NT | Mark | Chapter 3 | Verse 10] πολλοὺς γὰρ ἐθεράπευσεν, ὥστε ἐπιπίπτειν αὐτῷ ἵνα αὐτοῦ ἅψωνται ὅσοι εἶχον μάστιγας.
[SBLGNT | EL | NT | Mark | Chapter 3 | Verse 11] καὶ τὰ πνεύματα τὰ ἀκάθαρτα, ὅταν αὐτὸν ⸂ἐθεώρουν, προσέπιπτον⸃ αὐτῷ καὶ ⸀ἔκραζον ⸀λέγοντα ὅτι Σὺ εἶ ὁ υἱὸς τοῦ θεοῦ.
