[LXX | EL | OT | 1 Chronicles | Chapter 18 | Verse 1] Καὶ ἐγένετο μετὰ ταῦτα, καὶ ἐπάταξε Δαυὶδ τοὺς ἀλλοφύλους καὶ ἐτροπώσατο αὐτοὺς, καὶ ἔλαβε τὴν Γὲθ καὶ τὰς κώμας αὐτῆς ἐκ χειρὸς ἀλλοφύλων.
[LXX | EL | OT | 1 Chronicles | Chapter 18 | Verse 2] Καὶ ἐπάταξε τὴν Μωὰβ, καὶ ἦσαν Μωὰβ παῖδες τῷ Δαυὶδ φέροντες δῶρα·
[LXX | EL | OT | 1 Chronicles | Chapter 18 | Verse 3] Καὶ ἐπάταξε Δαυὶδ τὸν Ἀδρααζὰρ βασιλέα Σουβὰ Ἠμάθ, πορευομένου αὐτοῦ ἐπιστῆσαι χεῖρα αὐτοῦ ἐπὶ ποταμὸν Εὐφράτην·
[LXX | EL | OT | 1 Chronicles | Chapter 18 | Verse 4] Καὶ προκατελάβετο Δαυὶδ αὐτῶν χίλια ἅρματα καὶ ἑπτὰ χιλιάδας ἵππων καὶ εἴκοσι χιλιάδας ἀνδρῶν πεζῶν· καὶ παρέλυσεν Δαυεὶδ πάντα τὰ ἅρματα, καὶ ὑπελίπετο ἐξ αὐτῶν ἑκατὸν ἅρματα.
[LXX | EL | OT | 1 Chronicles | Chapter 18 | Verse 5] Καὶ ἦλθεν Σύρος ἐκ Δαμασκοῦ βοηθῆσαι Ἀδρααζὰρ βασιλεῖ Σουβά, καὶ ἐπάταξε Δαυὶδ ἐν τῷ Σύρῳ εἴκοσι καὶ δύο χιλιάδας ἀνδρῶν.
[LXX | EL | OT | 1 Chronicles | Chapter 18 | Verse 6] Καὶ ἔθετο Δαυὶδ φρουρὰν ἐν Συρίᾳ τῇ κατὰ Δαμασκὸν, καὶ ἦσαν τῷ Δαυεὶδ εἰς παῖδας φέροντας δῶρα· καὶ ἔσωσε Κύριος Δαυίδ ἐν πᾶσιν οἷς ἐπορεύετο.
[LXX | EL | OT | 1 Chronicles | Chapter 18 | Verse 7] Καὶ ἔλαβεν Δαυεὶδ τοὺς κλοιοὺς τοὺς χρυσοῦς οἳ ἦσαν ἐπὶ τοὺς παῖδας Ἁδραάζαρ, καὶ ἤνεγκεν αὐτοὺς εἰς Ἰερουσαλήμ.
[LXX | EL | OT | 1 Chronicles | Chapter 18 | Verse 8] Καὶ ἐκ τῆς Μαγαβὲθ καὶ ἐκ τῶν ἐκλεκτῶν πόλεων τῶν Ἀδρααζὰρ ἔλαβε Δαυὶδ χαλκὸν πολὺν σφόδρα· ἐξ αὐτοῦ ἐποίησε Σαλωμὼν τὴν θάλασσαν τὴν χαλκῆν, καὶ τοὺς στύλους καὶ τὰ σκεύη τὰ χαλκᾶ.
[LXX | EL | OT | 1 Chronicles | Chapter 18 | Verse 9] καὶ ἤκουσε Θωὰ βασιλεὺς Ἠμὰθ, ὅτι ἐπάταξε Δαυὶδ τὴν πᾶσαν δύναμιν Ἀδρααζὰρ βασιλέως Σουβά·
[LXX | EL | OT | 1 Chronicles | Chapter 18 | Verse 10] Καὶ ἀπέστειλεν τὸν Ἀδουρὰμ υἱὸν αὐτοῦ πρὸς τὸν βασιλέα Δαυὶδ τοῦ ἐρωτῆσαι αὐτὸν τὰ εἰς εἰρήνην, καὶ του εὐλογῆσαι αὐτὸν ὑπὲρ οὗ ἐπολέμησε τὸν Ἁδρααζαρ, καὶ ἐπάταξεν αὐτόν, ὅτι ἀνὴρ πολέμιος Θῶα ἦν τῷ Ἁδραάζαρ· καὶ πάντα τὰ σκεύη τὰ χρυσᾶ, καὶ τὰ ἀργυρᾶ,
[LXX | EL | OT | 1 Chronicles | Chapter 18 | Verse 11] Καὶ τὰ χαλκᾶ, καὶ ταῦτα ἡγίασεν ὁ βασιλεὺς Δαυὶδ τῷ κυρίῳ, μετὰ τοῦ ἀργυρίου καὶ τοῦ χρυσίου οὗ ἔλαβεν ἐκ πάντων τῶν ἐθνῶν, ἐξ Ἰδουμαίας, καὶ Μωὰβ, καὶ ἐξ υἱῶν Ἀμμὼν, καὶ ἐκ τῶν ἀλλοφύλων, καὶ ἐξ Ἀμαλήκ.
