[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 1] Καὶ ἐποίησεν αὐτῷ οἰκίας ἐν πόλει Δαυὶδ, καὶ ἡτοίμασε τὸν τόπον τῇ κιβωτῷ τοῦ Θεοῦ, καὶ ἐποίησεν αὐτῇ σκηνήν.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 2] Τότε εἶπε Δαυὶδ, οὐκ ἔστιν ἆραι τὴν κιβωτὸν τοῦ Θεοῦ, ἀλλʼ ἢ τοὺς Λευίτας, ὅτι αὐτοὺς ἐξελέξατο Κύριος αἴρειν τὴν κιβωτὸν Κυρίου, καὶ λειτουργεῖν αὐτῷ ἕως αἰῶνος.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 3] Καὶ ἐξεκκλησίασε Δαυὶδ τὸν πάντα Ἰσραὴλ ἐν Ἱερουσαλὴμ, τοῦ ἀνενέγκαι τὴν κιβωτὸν Κυρίου εἰς τὸν τόπον ὃν ἡτοίμασεν αὐτῇ.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 4] Καὶ συνήγαγε Δαυὶδ τοὺς υἱοὺς Ἀαρὼν τοὺς Λευίτας.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 5] Τῶν υἱῶν Καὰθ, Οὐριὴλ ὁ ἄρχων καὶ οἱ ἀδελφοὶ αὐτοῦ, ἑκατὸν εἴκοσι.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 6] Τῶν υἱῶν Μεραρὶ, Ἀσαΐα ὁ ἄρχων καὶ οἱ ἀδελφοὶ αὐτοῦ, διακόσιοι εἴκοσι.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 7] Τῶν υἱῶν Γεδσὼν, Ἰωὴλ ὁ ἄρχων καὶ οἱ ἀδελφοὶ αὐτοῦ, ἑκατὸν τριάκοντα·
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 8] Τῶν υἱῶν Ἐλισαφὰτ, Σεμεῒ ὁ ἄρχων καὶ οἱ ἀδελφοὶ αὐτοῦ, διακόσιοι.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 9] Τῶν υἱῶν Χεβρὼμ, Ἐλιὴλ ὁ ἄρχων καὶ οἱ ἀδελφοὶ αὐτοῦ, ὀγδοήκοντα.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 10] Τῶν υἱῶν Ὀζιὴλ, Ἀμιναδὰβ ὁ ἄρχων καὶ οἱ ἀδελφοὶ αὐτοῦ, ἑκατὸν δεκαδύο.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 11] Καὶ ἐκάλεσε Δαυὶδ τὸν Σαδὼκ καὶ Ἀβιάθαρ τοὺς ἱερεῖς, καὶ τοὺς Λευίτας, τὸν Οὐριὴλ, Ἀσαΐαν, καὶ Ἰωὴλ, καὶ Σεμαίαν, καὶ Ἐλιὴλ, καὶ Ἀμιναδὰβ,
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 12] καὶ εἶπεν αὐτοῖς, ὑμεῖς ἄρχοντες πατριῶν τῶν Λευιτῶν, ἁγνίσθητε ὑμεῖς καὶ οἱ ἀδελφοὶ ὑμῶν, καὶ ἀνοίσετε τὴν κιβωτὸν τοῦ Θεοῦ Ἰσραὴλ, οὗ ἡτοίμασα αὐτῇ·
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 13] Ὅτι οὐκ ἐν τῷ πρότερον ὑμᾶς εἶναι, διέκοψεν ὁ Θεὸς ἡμῶν ἐν ἡμῖν, ὅτι οὐκ ἐξεζητήσαμεν ἐν κρίματι.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 14] Καὶ ἡγνίσθησαν οἱ ἱερεῖς καὶ οἱ Λευῖται, τοῦ ἀνενέγκαι τὴν κιβωτὸν Θεοῦ Ἰσραήλ.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 15] Καὶ ἔλαβον οἱ υἱοὶ τῶν Λευιτῶν τὴν κιβωτὸν τοῦ Θεοῦ, ὡς ἐνετείλατο Μωυσῆς ἐν λόγῳ Θεοῦ κατὰ τὴν γραφὴν, ἐν ἀναφορεῦσιν ἐπʼ αὐτούς.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 16] Καὶ εἶπε Δανὶδ τοῖς ἄρχουσι τῶν Λευιτῶν, στήσατε τοὺς ἀδελφοὺς αὐτῶν τοὺς ψαλτῳδοὺς ἐν ὀργάνοις, νάβλαις, κινύραις, καὶ κυμβάλοις τοῦ φωνῆσαι εἰς ὕψος ἐν φωνῇ εὐφροσύνης.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 17] Καὶ ἔστησαν οἱ Λευῖται τὸν Αἰμὰν υἱὸν Ἰωήλ· ἐκ τῶν ἀδελφῶν αὐτοῦ Ἀσὰφ υἱὸς Βαραχία· καὶ ἐκ τῶν νἱῶν Μεραρὶ ἀδελφῶν αὐτοῦ Αἰθὰν υἱὸς Κισαίου·
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 18] Καὶ μετʼ αὐτῶν οἱ ἀδελφοὶ αὐτῶν οἱ δεύτεροι, Ζαχαρίας, καὶ Ὀζιὴλ, καὶ Σεμιραμὼθ, καὶ Ἰεϊὴλ, καὶ Ἐλιωὴλ, καὶ Ἐλιὰβ, καὶ Βαναία, καὶ Μαασαΐα, καὶ Ματθαθία, καὶ Ἐλιφενὰ, καὶ Μακελλία, καὶ Ἀβδεδὸμ, καὶ Ἰεϊὴλ, καὶ Ὀζίας, οἱ πυλωροί.·
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 19] Καὶ οἱ ψαλτῳδοὶ, Αἰμὰν, Ἀσὰφ, καὶ Αἰθὰν ἐν κυμβάλοις χαλκοῖς τοῦ ἀκουσθῆναι ποιῆσαι.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 20] Ζαχαρίας, καὶ Ὀζιὴλ, Σεμιραμὼθ, Ἰεϊὴλ, Ὠνι, Ἐλιὰβ, Μαασαίας, Βαναίας ἐν νάβλαις ἐπὶ ἀλαιμώθ.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 21] Καὶ Ματταθίας, καὶ Ἐλιφαλοὺ, καὶ Μακενία, καὶ Ἀβδεδὸμ, καὶ Ἰεϊὴλ, καὶ Ὀζίας ἐν κινύραις ἁμασενὶθ τοῦ ἐνισχῦσαι.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 22] Καὶ Χωνενία ἄρχων τῶν Λευιτῶν ἄρχων τῶν ᾠδῶν, ὅτι συνετὸς ἦν.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 23] Καὶ Βαραχία καὶ Ἐλκανὰ πυλωροὶ τῆς κιβωτοῦ.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 24] Καὶ Σομνία, καὶ Ἰωσαφὰτ, καὶ Ναθαναὴλ, καὶ Ἀμασαῒ, καὶ Ζαχαρία, καὶ Βαναΐα, καὶ Ἐλιέζερ οἱ ἱερεῖς σαλπίζοντες ταῖς σάλπιγξιν ἔμπροσθεν τῆς κιβωτοῦ τοῦ Θεοῦ· καὶ Ἀβδεδὸμ καὶ Ἰεΐα πυλωροὶ τῆς κιβωτοῦ τοῦ Θεοῦ.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 25] Καὶ ἦν Δαυὶδ καὶ οἱ πρεσβύτεροι Ἰσραὴλ καὶ οἱ χιλίαρχοι οἱ πορευόμενοι τοῦ ἀναγαγεῖν τὴν κιβωτὸν τῆς διαθήκης ἐξ οἴκου Ἀβδεδὸμ ἐν εὐφροσύνῃ.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 26] Καὶ ἐγένετο ἐν τῷ κατισχῦσαι τὸν Θεὸν τοὺς Λευίτας αἴροντας τὴν κιβωτὸν τῆς διαθήκης Κυρίου, καὶ ἔθυσαν ἀνʼ ἑπτὰ μόσχους, καὶ ἀνʼ ἑπτὰ κριούς.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 27] Καὶ Δαυὶδ περιεζωσμένος ἐν στολῇ βυσσίνῃ, καὶ πάντες οἱ Λευῖται αἴροντες τὴν κιβωτὸν διαθήκης Κυρίου, καὶ οἱ ψαλτῳδοὶ, καὶ Χωνενίας ὁ ἄρχων τῶν ᾠδῶν τῶν ᾀδόντων, καὶ ἐπὶ Δαυὶδ στολὴ βυσσίνη.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 28] Καὶ πᾶς Ἰσραὴλ ἀνάγοντες τὴν κιβωτὸν διαθήκης Κυρίου ἐν σημασίᾳ, καὶ ἐν φωνῇ σωφὲρ, καὶ ἐν σάλπιγξι, καὶ ἐν κυμβάλοις, ἀναφωνοῦντες ἐν νάβλαις καὶ ἐν κινύραις.
[LXX | EL | OT | 1 Chronicles | Chapter 15 | Verse 29] Καὶ ἐγένετο ἡ κιβωτὸς διαθήκης Κυρίου, καὶ ἦλθεν ἕως πόλεως Δαυίδ· καὶ Μελχὸλ ἡ θυγάτηρ Σαοὺλ παρέκυψε διὰ τῆς θυρίδος, καὶ εἶδε τὸν βασιλέα Δαυὶδ ὀρχούμενον καὶ παίζοντα, καὶ ἐξουδένωσεν αὐτὸν ἐν τῇ ψυχῇ αὐτῆς.
