[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 1] Καὶ ἔστησε Δαυεὶδ ὁ βασιλεὺς καὶ οἱ ἄρχοντες τῆς δυνάμεως εἰς τὰ ἔργα τοὺς υἱοὺς Ἀσὰφ, καὶ Αἰμὰν, καὶ Ἰδιθοὺν, τοὺς ἀποφεγγομένους ἐν κινύραις, καὶ ἐν νάβλαις, καὶ ἐν κυμβάλοις· καὶ ἐγένετο ὁ ἀριθμὸς αὐτῶν κατὰ κεφαλὴν αὐτῶν ἐργαζομένων ἐν τοῖς ἔργοις αὐτῶν.
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 2] Υἱοὶ Ἀσάφ, Σακχοὺρ, Ἰωσὴφ, καὶ Ναθαυίας, καὶ Ἐραήλ· υἱοὶ Ἀσὰφ ἐχόμενοι τοῦ βασιλέως.
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 3] Τῷ Ἰδιθοὺν, υἱοὶ Ἰδιθοὺν, Τοδολίας, καὶ Σουρὶ, καὶ Ἰσέας, καὶ Ἀσαβίας, καὶ Ματθαθίας, ἕξ μετὰ τὸν πατέρα αὐτῶν Ἰδιθὺν, ἐν κινύρᾳ ἀνακρουόμενοι ἐξομολόγησιν καὶ αἴνεσιν τῷ κυρίῳ.
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 4] Τῷ Αἰμὰν, υἱοὶ Αἰμὰν, Βουκίας, καὶ Ματθανίας, καὶ Ὀζιὴλ, καὶ Σουβαὴλ, καὶ Ἰεριμὼθ, καὶ Ἀνανίας, καὶ Ἀνὰν, καὶ Ἑλιαθὰ, καὶ Γοδολλαθὶ, καὶ Ῥωμετθιέζερ, καὶ Ἰεσβασακὰ, καὶ Μαλλιθὶ, καὶ Ὠθηρὶ, καὶ Μεαζώθ.
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 5] Πάντες οὗτοι υἱοὶ τῷ Αἰμὰν τῷ ἀνακρουομένῳ τῷ βασιλεῖ ἐν λόγοις Θεοῦ, ὑψῶσαι κέρας· καὶ ἔδωκεν ὁ Θεὸς τῷ Αἰμὰν υἱοὺς τεσσαρεσκαίδεκα, καὶ θυγατέρας τρεῖς.
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 6] Πάντες οὗτοι μετὰ τοῦ πατρὸς αὐτῶν ὑμνῳδοῦντες ἐν οἴκῳ Θεοῦ, ἐν κυμβάλοις, καὶ ἐν νάβλαις, καὶ ἐν κινύραις εἰς τὴν δουλείαν οἴκου τοῦ Θεοῦ, ἐχόμενα τοῦ βασιλέως, καὶ Ἀσὰφ, καὶ Ἰδιθοὺν, καὶ Αἱμάν.
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 7] Καὶ ἐγένετο ὁ ἀριθμὸς αὐτῶν μετὰ τοὺς ἀδελφοὺς αὐτῶν δεδιδαγμένοι ᾄδειν Κυρίῳ πᾶς συνιὼν, διακόσιοι ὀγδοήκοντα καὶ ὀκτώ.
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 8] Καὶ ἔβαλον καὶ αὐτοὶ κλήρους ἐφημεριῶν κατὰ τὸν μικρὸν καὶ κατὰ τὸν μέγαν τελείων καὶ μανθανόντων.
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 9] Καὶ ἐξῆλθεν ὁ κλῆρος ὁ πρῶτος υἱῶν αὑτοῦ καὶ ἀδελφῶν αὐτοῦ τῷ Ἀσὰφ τοῦ Ἰωσὴφ, Γοδολίας· ὁ δεύτερος Ἡνεία, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 10] Ὁ τρίτος Ζακχοὺρ, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 11] Ὁ τέταρτος Ἰεσρὶ, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 12] Ὁ πέμπτος Νάθαν, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 13] Ὁ ἕκτος Βουκίας, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 14] Ὁ ἕβδομος Ἰσεριὴλ, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 15] Ὁ ὄγδοος Ἰωσία, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 16] Ὁ ἔννατος Ματθανίας, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 17] Ὁ δέκατος Σεμεΐα, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 18] Ὁ ἑνδέκατος Ἀσριὴλ, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 19] Ὁ δωδέκατος Ἀσαβία, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 20] Ὁ τρισκαιδέκατος Σουβαὴλ, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 21] Ὁ τεσσαρεσκαιδέκατος Ματθαθίας, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 22] Ὁ πεντεκαιδέκατος Ἰεριμὼθ, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 23] Ὁ ἑκκαιδέκατος Ἁνανίας, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 24] Ὁ ἑπτακαιδέκατος Ἰεσβασακὰ, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 25] Ὁ ὀκτωκαιδέκατος Ἀνανίας, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 26] Ὁ ἐννεακαιδέκατος Μαλλιθὶ, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 27] Ὁ εἰκοστὸς Ἑλιαθὰ, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 28] Ὁ εἰκοστὸς πρῶτος Ὠθηρὶ, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 29] Ὁ εἰκοστὸς δεύτερος Γοδολλαθὶ, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 30] Ὁ εἰκοστὸς τρίτος Μεαζὼθ, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
[LXX | EL | OT | 1 Chronicles | Chapter 25 | Verse 31] Ὁ εἰκοστὸς τέταρτος Ῥωμετθιέζερ, υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαδύο·
