[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 1] Καὶ τοῖς υἱοῖς Ἰσσάχαρ, Θωλὰ, καὶ Φουὰ, καὶ Ἰασοὺβ, καὶ Σεμερὼν, τέσσαρες.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 2] Καὶ υἱοὶ Θωλὰ, Ὀζὶ, Ῥαφαΐα, καὶ ʼΙεριὴλ, καὶ ʼΙαμαῒ, καὶ ʼΙεμασὰν, καὶ Σαμουὴλ, ἄρχοντες οἴκων πατριῶν αὐτῶν τῷ Θωλὰ, ἰσχυροὶ δυνάμει κατὰ γενέσεις αὐτῶν, ὁ ἀριθμὸς αὐτῶν ἐν ἡμέραις Δαυὶδ, εἴκοσι καὶ δύο χιλιάδες καὶ ἑξακόσιοι.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 3] Καὶ υἱοὶ ʼΟζὶ, ʼΙεζραῒα· καὶ υἱοὶ ʼΙεζραΐ, Μιχαὴλ, ʼΑβδιοὺ, καὶ ʼΙωὴλ, καὶ ʼΙεσία, πέντε, ἄρχοντες πάντες.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 4] Καὶ ἐπʼ αὐτῶν, κατὰ γενέσεις αὐτῶν, κατʼ οἴκους πατριῶν αὐτῶν, ἰσχυροὶ παρατάξασθαι εἰς πόλεμον, τριάκοντα καὶ ἓξ χιλιάδες, ὅτι ἐπλήθυναν γυναῖκας καὶ υἱούς.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 5] Καὶ ἀδελφοὶ αὐτῶν εἰς πάσας πατριὰς Ἰσσάχαρ, καὶ ἰσχυροὶ δυνάμει, ὀγδοήκοντα καὶ ἑπτὰ χιλιάδες, ὁ ἀριθμὸς αὐτῶν τῶν πάντων.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 6] Υἱοὶ Βενιαμὶν, καὶ Βαλὲ, καὶ Βαχὶρ, καὶ ʼΙεδιὴλ, τρεῖς.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 7] Καὶ υἱοὶ Βαλὲ, ʼΕσεβὼν, καὶ Ὀζὶ, καὶ Ὀζιὴλ, καὶ Ἰεριμοὺθ, καὶ Οὐρὶ, πέντε, ἄρχοντες οἴκων πατρικῶν ἰσχυροὶ δυνάμει· καὶ ὁ ἀριθμὸς αὐτῶν, εἴκοσι καὶ δύο χιλιάδες καὶ τριακοντατέσσαρες.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 8] Καὶ υἱοὶ Βαχὶρ, Ζεμιρὰ, καὶ Ἰωὰς, καὶ Ἐλιέζερ, καὶ Ἐλιθενὰν, καὶ Ἀμαρία, καὶ ʼΙεριμοὺθ, καὶ Ἀβιοὺδ, καὶ Ἀναθὼθ, καὶ ʼΕληεμέθ· πάντες οὗτοι υἱοὶ Βαχίρ.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 9] Καὶ ὁ ἀριθμὸς αὐτῶν κατὰ γενέσεις αὐτῶν, ἄρχοντες οἴκων πατριῶν αὐτῶν ἰσχυροὶ δυνάμει, εἴκοσι χιλιάδες καὶ διακόσιοι.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 10] Καὶ υἱοὶ ʼΙεδιὴλ, Βαλαάν· καὶ υἱοὶ Βαλαὰν, Ἰαοὺς, καὶ Βενιαμὶν, καὶ Ἀὼθ, καὶ Χανανὰ, καὶ Ζαιθὰν, καὶ Θαρσὶ, καὶ Ἀχισαάρ.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 11] Πάντες οὗτοι υἱοὶ ʼΙεδιὴλ, ἄρχοντες τῶν πατριῶν ἰσχυροὶ δυνάμει, ἑπτα καίδεκα χιλιάδες καὶ διακόσιοι, ἐκπορευόμενοι δυνάμει πολεμεῖν.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 12] Καὶ Σαπφὶν, καὶ Ἀπφὶν, καὶ υἱοὶ Ὢρ, ʼΑσὼμ, υἱὸς αὐτοῦ Ἀόρ.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 13] Υἱοὶ Νεφθαλὶ, Ἰασιὴλ, Γωνὶ, καὶ Ἀσὴρ, καὶ Σελλοὺμ, υἱοὶ αὐτοῦ, Βαλὰμ υἱὸς αὐτοῦ.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 14] Υἱοὶ Μανασσῆ, Ἐσριὴλ, ὃν ἔτεκεν ἡ παλλακὴ αὐτοῦ ἡ Σύρα, ἔτεκε δὲ αὐτῷ καὶ Μαχὶρ πατέρα Γαλαάδ.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 15] Καὶ Μαχὶρ ἔλαβε γυναῖκα τῷ Ἀπφὶν καὶ Σαπφίν· καὶ ὄνομα ἀδελφῆς αὐτοῦ Μοωχὰ, καὶ ὄνομα τῷ δευτέρῳ Σαπφαάδ· ἐγεννήθησαν δὲ τῷ Σαπφαὰδ θυγατέρες.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 16] Καὶ ἔτεκε Μοωχὰ γυνὴ Μαχὶρ υἱὸν, καὶ ἐκάλεσε τὸ ὄνομα αὐτοῦ Φαρές· καὶ ὄνομα ἀδελφοῦ αὐτοῦ Σοῦρος· υἱοὶ αὐτοῦ Οὐλὰμ, καὶ ʼΡοκόμ.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 17] Καὶ υἱοὶ Οὐλὰμ, Βαδάμ· οὗτοι υἱοὶ Γαλαὰδ, υἱοῦ Μαχὶρ, υἱοῦ Μανασσῆ.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 18] Καὶ ἡ ἀδελφὴ αὐτοῦ ἡ Μαλεχὲθ ἔτεκε τὸν Ἰσοὺδ, καὶ τὸν Ἀβιέζερ, καὶ τὸν Μαελά.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 19] Καὶ ἦσαν υἱοὶ Σεμιρὰ, ʼΑῒμ, καὶ Συχὲμ, καὶ Λακὶμ, καὶ Ἀνιάν.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 20] Καὶ υἱοὶ Ἐφραὶμ, Σωθαλὰθ, καὶ Βαρὰδ υἱὸς αὐτοῦ, καὶ Θαὰθ υἱὸς αὐτοῦ, ʼΕλαδὰ υἱὸς αὐτοῦ, Σαὰθ υἱὸς αὐτοῦ,
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 21] καὶ Ζαβὰδ υἱὸς αὐτοῦ, Σωθελὲ υἱὸς αὐτοῦ, καὶ ʼΑζὲρ, καὶ ʼΕλεάδ· καὶ ἀπέκτειναν αὐτοὺς οἱ ἄνδρες Γὲθ οἱ τεχθέντες ἐν τῇ γῇ, ὅτι κατέβησαν τοῦ λαβεῖν τὰ κτήνη αὐτῶν.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 22] Καὶ ἐπένθησεν Ἐφραὶμ ὁ πατὴρ αὐτῶν ἡμέρας πολλάς· καὶ ἦλθον ἀδελφοὶ αὐτοῦ τοῦ παρακαλέσαι αὐτόν.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 23] Καὶ εἰσῆλθε πρὸς τὴν γυναῖκα αὐτοῦ, καὶ ἔλαβεν ἐν γαστρὶ, καὶ ἔτεκεν υἱόν· καὶ ἐκάλεσε τὸ ὄνομα αὐτοῦ Βεριὰ, ὅτι ἐν κακοῖς ἐγένετο ἐν οἴκῳ μου.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 24] Καὶ ἡ θυγάτηρ αὐτοῦ Σαραά· καὶ ἐν ἐκείνοις τοῖς καταλοίποις· καὶ ᾠκοδόμησε τὴν Βαιθωρὼν τὴν κάτω καὶ τὴν ἄνω· καὶ υἱοὶ Ὀζὰν Σεηρὰ,
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 25] καὶ Ῥαφὴ υἱὸς αὐτοῦ, Σαρὰφ καὶ Θαλεὲς υἱοὶ αὐτοῦ, Θαὲν υἱὸς αὐτοῦ.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 26] Τῷ Λααδὰν υἱῷ αὐτοῦ υἱὸς Ἀμιοὺδ, υἱὸς Ἐλισαμαῒ,
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 27] υἱὸς Νοὺν, υἱὸς Ἰησουὲ, υἱοὶ αὐτοῦ.
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 28] Καὶ κατάσχεσις αὐτῶν καὶ κατοικία αὐτῶν Βαιθὴλ καὶ αἱ κῶμαι αὐτῆς, κατʼ ἀνατολὰς Νοαρὰν, πρὸς δυσμαῖς Γάζερ καὶ αἱ κῶμαι αὐτῆς, καὶ Συχὲμ καὶ αἱ κῶμαι αὐτῆς ἕως Γάζης, καὶ αἱ κῶμαι αὐτῆς,
[LXX | EL | OT | 1 Chronicles | Chapter 7 | Verse 29] καὶ ἕως ὁρίων υἱῶν Μανασσῆ, Βαιθσαὰν καὶ αἱ κῶμαι αὐτῆς, Θανὰχ καὶ αἱ κῶμαι αὐτῆς, Μαγεδδὼ καὶ αἱ κῶμαι αὐτῆς, Δὼρ καὶ αἱ κῶμαι αὐτῆς· ἐν ταύτῃ κατῴκησαν υἱοὶ Ἰωσὴφ υἱοῦ Ἰσραήλ.
