[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 1] Καὶ εἰς διαιρέσεις τῶν πυλῶν, υἱοὶ Κορεῒμ Μοσελλεμία ἐκ τῶν υἱῶν Ἀσάφ.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 2] Καὶ τῷ Μοσελλαμίᾳ υἱὸς Ζαχαρίας ὁ πρωτότοκος, Ἰαδιὴλ ὁ δεύτερος, Ζαβαδία ὁ τρίτος, Ἰενουὴλ ὁ τέταρτος,
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 3] Ἰωλὰμ ὁ πέμπτος, Ἰωνάθαν ὁ ἕκτος, Ἐλιωναῒ ὁ ἕβδομος. Ἀβδεδὸμ ὁ ὄγδοος.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 4] Καὶ τῷ Ἀβδεδὸμ υἱοὶ, Σαμαίας ὁ πρωτότοκος, Ἰωζαβὰθ ὁ δεύτερος, Ἰωὰθ ὁ τρίος, Σαχὰρ ὁ τέταρτος, Ναθαναὴλ ὁ πέμπτος,
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 5] Ἀμιὴλ ὁ ἕκτος, Ἰσσάχαρ ὁ ἕβδομος, Φελαθὶ ὁ ὄγδοος, ὅτι εὐλόγησεν αὐτὸν ὁ Θεός.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 6] Καὶ τῷ Σαμαίᾳ υἱῶ αὑτοῦ ἐτέχθησαν υἱοὶ τοῦ πρωτοτόκου Ῥωσαὶ εἰς τὸν οἶκον τὸν πατρικὸν αὐτοῦ, ὅτι δυνατοὶ ἦσαν.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 7] Υἱοὶ Σαμαῒ, Ὀθνὶ καὶ Ῥαφαὴλ, καὶ Ὠβὴδ, καὶ Ἐλζαβὰθ, καὶ Ἀχιοὺδ, υἱοὶ δυνατοὶ, Ἑλιοῦ, καὶ Σαβαχία, καὶ Ἰσβακώμ.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 8] Πάντες ἀπὸ τῶν υἱῶν Ἀβδεδὸμ, αὐτοὶ καὶ οἱ υἱοὶ αὐτῶν καὶ οἱ ἀδελφοὶ αὐτῶν ποιοῦντες δυνατῶς ἐν τῇ ἐργασίᾳ, οἱ πάντες ἑξηκονταδύο τῷ Ἀβδεδόμ.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 9] Καὶ τῷ Μοσελλεμίᾳ υἱοὶ καὶ ἀδελφοὶ δεκακαιοκτὼ δυνατοί.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 10] Καὶ τῷ Ὀσᾷ τῶν υἱῶν Μεραρὶ υἱοὶ φυλάσσοντες τὴν ἀρχὴν, ὅτι οὐκ ἦν πρωτότοκος· καὶ ἐποίησεν αὐτὸν ὁ πατὴρ αὐτοῦ ἄρχοντα τῆς διαιρέσεως τῆς δευτέρας.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 11] Χελκίας ὁ δεύτερος, Ταβλαὶ ὁ τρίτος, Ζαχαρίας ὁ τέταρτος· πάντες οὗτοι υἱοὶ καὶ ἀδελφοὶ τῷ Ὀσᾷ τρισκαίδεκα.
[LXX | EL | OT | 1 Chronicles | Chapter 26 | Verse 12] Τούτοις αἱ διαιρέσεις τῶν πυλῶν τοῖς ἄρχουσι τῶν δυνατῶν ἐφημερίαι, καθὼς οἱ ἀδελφοὶ αὐτῶν λειτουργεῖν ἐν οἴκῳ Κυρίου.
