[LXX | EL | OT | 1 Chronicles | Chapter 6 | Verse 1] Υἱοὶ Λευὶ, Γεδσὼν, Καὰθ, καὶ Μεραρί.
[LXX | EL | OT | 1 Chronicles | Chapter 6 | Verse 2] Καὶ ταῦτα τὰ ὀνόματα τῶν υἱῶν Γεδσὼν, Λοβενὶ, καὶ Σεμεΐ.
[LXX | EL | OT | 1 Chronicles | Chapter 6 | Verse 3] Υἱοὶ Καὰθ, Ἄμβραμ, καὶ Ἰσσαὰρ, Χεβρὼν, καὶ Ὀζιήλ.
[LXX | EL | OT | 1 Chronicles | Chapter 6 | Verse 4] Υἱοὶ Μεραρὶ, Μοολὶ, καὶ ὁ Μουσί· καὶ αὗται αἱ πατριαὶ τοῦ Λευὶ κατὰ πατριὰς αὐτῶν.
[LXX | EL | OT | 1 Chronicles | Chapter 6 | Verse 5] Τῷ Γεδσὼν, τῷ Λοβενὶ υἱῷ αὐτοῦ, Ἰὲθ υἱὸς αὐτοῦ, Ζαμμὰθ υἱὸς αὐτοῦ,
[LXX | EL | OT | 1 Chronicles | Chapter 6 | Verse 6] Ἰωὰβ υἱὸς αὐτοῦ, Ἀδδὶ υἱὸς αὐτοῦ, Ζαρὰ υἱὸς αὐτοῦ, Ἰεθρὶ υἱὸς αὐτοῦ.
[LXX | EL | OT | 1 Chronicles | Chapter 6 | Verse 7] Υἱοὶ Καὰθ, Ἀμιναδὰβ υἱὸς αὐτοῦ, Κορὲ υἱὸς αὐτοῦ, Ἀσὴρ υἱὸς αὐτοῦ,
[LXX | EL | OT | 1 Chronicles | Chapter 6 | Verse 8] Ἑλκανὰ υἱὸς αὐτοῦ, Ἀβισὰφ υἱὸς αὐτοῦ, Ἀσὴρ υἱὸς αὐτοῦ,
[LXX | EL | OT | 1 Chronicles | Chapter 6 | Verse 9] Θαὰθ υἱὸς αὐτοῦ, Οὐριὴλ υἱὸς αὐτοῦ, Ὀζία υἱὸς αὐτοῦ, Σαοὺλ υἱὸς αὐτοῦ.
[LXX | EL | OT | 1 Chronicles | Chapter 6 | Verse 10] Καὶ υἱοὶ Ἑλκανὰ, Ἀμεσσὶ, καὶ Ἀχιμὼθ,
[LXX | EL | OT | 1 Chronicles | Chapter 6 | Verse 11] Ἑλκανὰ υἱὸς αὐτοῦ, Σουφὶ υἱὸς αὐτοῦ, Καιναὰθ υἱὸς αὐτοῦ,
[LXX | EL | OT | 1 Chronicles | Chapter 6 | Verse 12] Ἐλιὰβ υἱὸς αὐτοῦ, Ιεροβοὰμ υἱὸς αὐτοῦ, Ἑλκανὰ υἱὸς αὐτοῦ.
[LXX | EL | OT | 1 Chronicles | Chapter 6 | Verse 13] Υἱοὶ Σαμουὴλ, ὁ πρωτότοκος Σανὶ, καὶ Ἀβιά.
[LXX | EL | OT | 1 Chronicles | Chapter 6 | Verse 14] Υἱοὶ Μεραρὶ, Μοολὶ, Λοβενὶ υἱὸς αὐτοῦ, Σεμεῒ υἱὸς αὐτοῦ, Ὀζὰ υἱὸς αὐτοῦ,
[LXX | EL | OT | 1 Chronicles | Chapter 6 | Verse 15] Σαμαὰ υἱὸς αὐτοῦ, Ἀγγία υἱὸς αὐτοῦ, Ἀσαῒας υἱὸς αὐτοῦ.
[LXX | EL | OT | 1 Chronicles | Chapter 6 | Verse 16] Καὶ οὗτοι οὓς κατέστησε Δαυὶδ ἐπὶ χεῖρας ᾀδόντων ἐν οἴκῳ Κυρίου ἐν τῇ καταπαύσει τῆς κιβωτοῦ.
