[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 1] Καὶ εἶπε Δαυὶδ ὁ βασιλεὺς πάσῃ τῇ ἐκκλησίᾳ, Σαλωμὼν ὁ υἱός μου, εἰς ὃν ᾑρέτικεν ἐν αὐτῷ Κύριος, νέος καὶ ἁπαλὸς, καὶ τὸ ἔργον μέγα, ὅτι οὐκ ἀνθρώπῳ, ἀλλʼ ἢ Κυρίῳ Θεῷ.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 2] Κατὰ πᾶσαν τὴν δύναμιν ἡτοίμακα εἰς οἶκον Θεοῦ μου χρυσὶον, ἀργύριον, χαλκόν, σίδηρον, ξύλα, λίθους σοὰμ, καὶ πληρώσεως λίθους πολυτελεῖς καὶ ποικίλους, καὶ πάντα λίθον τίμιον, καὶ Πάριον πολύν.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 3] Καὶ ἔτι ἐν τῷ εὐδοκῆσαί με ἐν οἴκῳ Θεοῦ μου, ἔστι μοι ὃ περιπεποίημαι χρυσίον καὶ ἀργύριον, καὶ ἰδοὺ δέδωκα εἰς οἶκον Θεοῦ μου εἰς ὕψος, ἐκτὸς ὧν ἡτοίμακα εἰς τὸν οἶκον τῶν ἁγίων,
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 4] τρισχίλια τάλαντα χρυσίου τοῦ ἐκ Σουφὶρ, καὶ ἑπτακισχίλια τάλαντα ἀργυρίου δοκίμου, ἐξαλειφῆναι ἐν αὐτοῖς τοὺς τοίχους τοῦ ἱεροῦ,
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 5] εἰς τὸ χρυσίον τῷ χρυσίῳ, καὶ εἰς τὸ ἀργύριον τῷ ἀργυρίῳ, καὶ εἰς πᾶν ἔργον διὰ χειρὸς τῶν τεχνιτῶν· καὶ τίς ὁ προθυμούμενος πληρῶσαι τὰς χεῖρας αὐτοῦ σήμερον Κυρίῳ;
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 6] Καὶ προεθυμήθησαν ἄρχοντες πατριῶν, καὶ οἱ ἄρχοντες τῶν υἱῶν Ἰσραὴλ, καὶ οἱ χιλίαρχοι καὶ οἱ ἑκατόνταρχοι, καὶ οἱ προστάται τῶν ἔργων, καὶ οἱ οἰκοδόμοι τοῦ βασιλέως.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 7] Καὶ ἔδωκαν εἰς τὰ ἔργα τοῦ οἴκου Κυρίου χρυσίου τάλαντα πεντακισχίλια, καὶ χρυσοῦς μυρίους, καὶ ἀργυρίου ταλάντων δέκα χιλιάδας, καὶ χαλκοῦ τάλαντα μύρια ὀκτακισχίλια, καὶ σιδήρου ταλάντων χιλιάδας ἑκατόν.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 8] Καὶ οἷς εὑρέθη παρʼ αὐτοῖς λίθος, ἔδωκαν εἰς τὰς ἀποθήκας οἴκου Κυρίου διὰ χειρὸς Ἰεϊὴλ τοῦ Γεδσωνί.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 9] Καὶ εὐφράνθη ὁ λαὸς ὑπὲρ τοῦ προθυμηθῆναι, ὅτι ἐν καρδίᾳ πλήρει προεθυμήθησαν τῷ Κυρίῳ· καὶ Δαυὶδ ὁ βασιλεὺς εὐφράνθη μεγάλως.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 10] Καὶ εὐλόγησεν ὁ βασιλεὺς Δαυὶδ τὸν Κύριον ἐνώπιον τῆς ἐκκλησίας, λέγων,
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 11] Εὐλογητὸς εἶ Κύριε ὁ Θεὸς Ἰσραὴλ, ὁ πατὴρ ἡμῶν, ἀπὸ τοῦ αἰῶνος καὶ ἕως τοῦ αἰῶνος. Σοὶ Κύριε ἡ μεγαλωσύνη, καὶ ἡ δύναμις, καὶ τὸ καύχημα, καὶ ἡ νίκη, καὶ ἡ ἰσχὺς, ὅτι σὺ πάντων τῶν ἐν τῷ οὐρανῷ καὶ ἐπὶ τῆς γῆς δεσπόζεις· ἀπὸ προσώπου σου ταράσσεται πᾶς βασιλεὺς, καὶ ἔθνος.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 12] Παρὰ σοῦ ὁ πλοῦτος καὶ ἡ δόξα, σὺ πάντων ἄρχεις Κύριε, ὁ ἄρχων πάσης ἀρχῆς, καὶ ἐν χειρί σου ἰσχὺς καὶ δυναστεία, καὶ ἐν χειρί σου παντοκράτωρ μεγαλῦναι καὶ κατισχύσαι τὰ πάντα.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 13] Καὶ νῦν, Κύριε ἐξομολογούμεθά σοι, καὶ αἰνοῦμεν τὸ ὄνομα τῆς καυχήσεώς σου.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 14] Καὶ τίς εἰμι ἐγὼ, καὶ τίς ὁ λαός μου ὅτι ἰσχύσαμεν προθυμηθῆναί σοι κατὰ ταῦτα; ὅτι σὰ τὰ πάντα, καὶ ἐκ τῶν σῶν δεδώκαμέν σοι.
[LXX | EL | OT | 1 Chronicles | Chapter 29 | Verse 15] Ὅτι πάροικοι ἐσμὲν ἐναντίον σου, καὶ παροικοῦντες ὡς πάντες οἱ πατέρες ἡμων· ὡς σκιὰ αἱ ἡμέραι ἡμῶν ἐπὶ γῆς, καὶ οὐκ ἔστιν ὑπομονή.
