[LXX | EL | OT | 1 Chronicles | Chapter 11 | Verse 1] Καὶ ἦλθε πᾶς Ἰσραὴλ πρὸς Δαυὶδ ἐν Χεβρὼν, λέγοντες, ἰδοὺ ὀστᾶ σου καὶ σάρκες σου ἡμεῖς,
[LXX | EL | OT | 1 Chronicles | Chapter 11 | Verse 2] καὶ ἐχθὲς καὶ τρίτην ὄντος Σαοὺλ βασιλέως, σὺ ἦσθα ὁ ἐξάγων καὶ εἰσάγων τὸν Ἰσραήλ· καὶ εἶπεν Ἰσραὴλ Κύριός σοι, σὺ ποιμανεῖς τὸν λαόν μου τὸν Ἰσραὴλ, καὶ σὺ ἔσῃ εἰς ἡγούμενον ἐπὶ Ἰσραήλ.
[LXX | EL | OT | 1 Chronicles | Chapter 11 | Verse 3] Καὶ ἦλθον πάντες πρεσβύτεροι Ἰσραὴλ πρὸς τὸν βασιλέα εἰς Χεβρών· καὶ διέθετο αὐτοῖς ὁ βασιλεὺς Δαυὶδ διαθήκην ἐν Χεβρὼν ἔναντι Κυρίου· καὶ ἔχρισαν τὸν Δαυὶδ εἰς βασιλέα ἐπὶ Ἰσραὴλ κατὰ τὸν λόγον Κυρίου διὰ χειρὸς Σαμουήλ.
[LXX | EL | OT | 1 Chronicles | Chapter 11 | Verse 4] Καὶ ἐπορεύθη ὁ βασιλεὺς καὶ ἄνδρες αὐτοῦ εἰς Ἱερουσαλὴμ, αὕτη Ἰεβοὺς, καὶ ἐκεῖ οἱ κατοικοῦντες τὴν γῆν εἶπον τῷ Δανιδ, οὐκ εἰσελεύση ὧδε·
[LXX | EL | OT | 1 Chronicles | Chapter 11 | Verse 5] καὶ προκατελάβετο τὴν περιοχὴν Σιών· αὕτη ἡ πόλις Δαυίδ.
[LXX | EL | OT | 1 Chronicles | Chapter 11 | Verse 6] Καὶ εἶπε Δαυὶδ, πᾶς τύπτων Ἰεβουσαῖον ἐν πρώτοις, καὶ ἔσται εἰς ἄρχοντα καὶ εἰς στρατηγόν· καὶ ἀνέβη ἐπʼ αὐτὴν ἐν πρώτοις Ἰωὰβ υἱὸς Σαρουία, καὶ ἐγένετο εἰς ἄρχοντα.
[LXX | EL | OT | 1 Chronicles | Chapter 11 | Verse 7] Καὶ ἐκάθισε Δαυὶδ ἐν τῇ περιοχῇ· διὰ τοῦτο ἐκάλεσεν αὐτὴν πόλιν Δαυίδ.
[LXX | EL | OT | 1 Chronicles | Chapter 11 | Verse 8] Καὶ ᾠκοδόμησε τὴν πόλιν κύκλῳ.
[LXX | EL | OT | 1 Chronicles | Chapter 11 | Verse 9] Καὶ ἐπορεύετο Δαυὶδ πορευόμενος καὶ μεγαλυνόμενος, καὶ Κύριος παντοκράτωρ μετʼ αὐτοῦ.
[LXX | EL | OT | 1 Chronicles | Chapter 11 | Verse 10] καὶ οὗτοι οἱ ἄρχοντες τῶν δυνατῶν, οἳ ἦσαν τῷ Δαυὶδ, οἱ κατισχύοντες μετʼ αὐτοῦ ἐν τῇ βασιλείᾳ αὐτοῦ μετὰ παντὸς Ἰσραὴλ, τοῦ βασιλεῦσαι αὐτὸν κατὰ τὸν λόγον Κυρίου ἐπὶ Ἰσραήλ.
[LXX | EL | OT | 1 Chronicles | Chapter 11 | Verse 11] Καὶ οὗτος ὁ ἀριθμὸς τῶν δυνατῶν τοῦ Δαυίδ· Ἰεσεβαδὰ υἱὸς ʼΑχαμὰν πρῶτος τῶν τριάκοντα· οὗτος ἐσπάσατο τὴν ῥομφαίαν αὐτοῦ ἅπαξ ἐπὶ τριακοσίους τραυματίας ἐν καιρῷ ἑνί.
[LXX | EL | OT | 1 Chronicles | Chapter 11 | Verse 12] Καὶ μετʼ αὐτὸν Ἐλεάζαρ υἱὸς Δωδαῒ ὁ Ἀχωχί· οὗτος ἦν ἐν τοῖς τρισὶ δυνατοῖς.
[LXX | EL | OT | 1 Chronicles | Chapter 11 | Verse 13] Οὗτος ἦν μετὰ Δαυὶδ ἐν Φασσδαμὶν, καὶ οἱ ἀλλόφυλοι συνήχθησαν ἐκεῖ εἰς πόλεμον, καὶ ἦν μερὶς τοῦ ἀγροῦ πλήρης κριθῶν, καὶ ὁ λαὸς ἔφυγεν ἀπὸ προσώπου ἀλλοφύλων.
