[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 1] Καὶ Δαυὶδ πρεσβύτης καὶ πλήρης ἡμερῶν, καὶ ἐβασίλευσε Σαλωμὼν τὸν υἱὸν αὐτοῦ ἀνθʼ αὐτοῦ ἐπὶ Ἰσραήλ.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 2] καὶ συνήγαγε τοὺς πάντας ἄρχοντας Ἰσραὴλ καὶ τοὺς ἱερεῖς καὶ τοὺς Λευείτας.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 3] Καὶ ἠρίθμησαν οἱ Λευῖται ἀπὸ τριακονταετοῦς καὶ ἐπάνω, καὶ ἐγένετο ὁ ἀριθμὸς αὐτῶν κατὰ κεφαλὴν αὐτῶν εἰς ἄνδρας τριάκοντα καὶ ὀκτὼ χιλιάδας.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 4] Ἀπὸ τῶν ἐργοδιωκτῶν ἐπὶ τὰ ἔργα οἴκου Κυρίου εἴκοσι τέσσαρες χιλιάδες, καὶ γραμματεῖς καὶ κριταὶ ἑξακισχίλιοι,
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 5] καὶ τέσσαρες χιλιάδες πυλωροὶ καὶ τώσσαρες χιλιάδες αἰνοῦντες τῷ κυρίῳ ἐν ὀργάνοιν οἷς ἐποίησε τοῦ αἰνεῖν τῷ κυρίῳ.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 6] καὶ διεῖλεν αὐτοὺς Δαυὶδ ἐφημερίας τοῖς υἱοῖς Λευῖ, τῷ Γεδσών, Καάθ, καὶ Μαραρί·
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 7] καὶ τῷ Γεδσὼν, Ἐδὰν, καὶ Σεμεΐ.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 8] γἱοὶ τῷ Ἐδάν, ἄρχων Ἰεϊὴλ, καὶ Ζηθὸμ, καὶ Ἰωήλ, καὶ τρεῖς.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 9] γἱοὶ Σεμεῒ, Σαλωμὶθ, Ἰεϊὴλ, καὶ Δὰν, τρεῖς· οὗτοι ἄρχοντες πατριῶν τῶν Ἐδάν·
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 10] καὶ τοῖς υἱοῖς Σεμεΐ· Ἰὲθ, καὶ Ζιζὰ, καὶ Ἰῶας, καὶ Βεριά· οὗτοι υἱοὶ Σεμεΐ, τέσσαρες.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 11] καὶ ἦν Ἰὲθ ὁ ἄρχων· καὶ Ζιζὰ ὁ δεύτερος· καὶ Ἰωὰς καὶ Βεριὰ οὐκ ἐπλήθυναν υἱοὺς, καὶ ἐγένετο εἰς οἶκον πατριᾶς εἰς ἐπίσκεψιν μίαν.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 12] γἱοὶ Καάθ, Ἀμβρὰμ, Ἰσαάρ, Χεβρών, Ὀζιὴλ, τέσσαρες.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 13] γἱοὶ Ἀμβρὰμ, Ἀαρὼν καὶ Μωυσῆς· καὶ διεστάλη Ἀαρὼν τοῦ ἁγιασθῆναι ἅγια ἁγίων, αὐτὸς καὶ οἱ υἱοὶ αὐτοῦ ἕως αἰῶνος, τοῦ θυμιᾷν ἐναντίον τοῦ κυρίου, λειτουργεῖν καὶ ἐπεύχεσθαι ἐπὶ τῷ ὀνόματι αὐτοῦ ἕως αἰῶνος.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 14] Καὶ Μωυσῆς ἄνθρωπος τοῦ Θεοῦ, υἱοὶ αὐτοῦ ἐκλήθησαν εἰς φυλὴν τοῦ Λευεί.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 15] γἱοὶ Μωυσῆ, Γηρσὰμ, καὶ Ἐλιέζερ.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 16] γἱοὶ Γηρσὰμ, Σουβαὴλ ὁ ἄρχων.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 17] Καὶ ἦσαν υἱοὶ τῷ Ἐλιέζερ, Ῥαβιὰ ὁ ἄρχων· καὶ οὐκ ἦσαν τῷ Ἐλιέζερ υἱοὶ ἕτεροι· καὶ υἱοὶ Ῥαβιὰ ηὐξήθησαν εἰς ὕψος.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 18] γἱοὶ Ἰσαάρ, Σαλωμὼθ ὁ ἄρχων.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 19] γἱοὶ Χεβρὼν, Ἰεριὰ ὁ ἄρχων, Ἀμαριὰ ὁ δεύτερος, Ἱεζιὴλ ὁ τρίτος, Ἰκεμίας ὁ τέταρτος.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 20] γἱοὶ Ὀζιὴλ, Μιχὰ ὁ ἄρχων, καὶ Ἰσιὰ ὁ δεύτερος.
[LXX | EL | OT | 1 Chronicles | Chapter 23 | Verse 21] γἱοὶ Μεραρί, Μοολὶ καὶ Ὁ Μουσί· υἱοὶ Μοολὶ, Ἐλεαζαρ, καὶ Κείς. καὶ Κίς.
