[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 1] Καὶ υἱοὶ Ἰσραὴλ κατὰ ἀριθμὸν αὐτῶν ἄρχοντες τῶν πατριῶν, χιλίαρχοι καὶ ἑκατόνταρχοι, καὶ γραμματεῖς οἱ λειτουργοῦντες τῷ βασιλεῖ καὶ εἰς πᾶν λόγον τοῦ βασιλέως κατὰ διαιρέσεις, πᾶν λόγον τοῦ εἰσπορευομένου καὶ ἐκπορευομένου μῆνα ἐκ μηνὸς, εἰς πάντας τοὺς μῆνας τοῦ ἐνιαυτοῦ, διαίρεσις μία εἴκοσι καὶ τέσσαρες χιλιάδες.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 2] Καὶ ἐπὶ τῆς διαιρέσεως τῆς πρώτης τοῦ μηνὸς τοῦ πρώτου, Ἰσβοὰζ ὁ τοῦ Ζαβδιὴλ, ἐπὶ τῆς διαιρέσεως αὐτοῦ εἴκοσι καὶ τέσσαρες χιλιάδες·
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 3] Ἀπὸ τῶν υἱῶν Φαρὲς, ἄρχων πάντων τῶν ἀρχόντων τῆς δυνάμεως τοῦ μηνὸς τοῦ πρώτου.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 4] Καὶ ἐπὶ τῆς διαιρέσεως τοῦ μηνὸς τοῦ δευτέρου Δωδία ὁ Ἐκχὼκ, καὶ ἐπὶ τῆς διαιρέσεως αὐτοῦ, καὶ Μακελλὼθ ὁ ἡγούμενος, καὶ ἐπὶ τῆς διαιρέσεως αὐτοῦ εἴκοσι καὶ τέσσαρες χιλιάδες ἄρχοντες δυνάμεως.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 5] Ὁ τρίτος τὸν μῆνα τὸν τρίτον Βαναίας ὁ τοῦ Ἰωδαὲ ὁ ἱερεὺς ὁ ἄρχων, καὶ ἐπὶ τῆς διαιρέσεως αὐτοῦ εἴκοσι καὶ τέσσαρες χιλιάδες.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 6] Αὐτὸς Βαναίας ὁ δυνατώτερος τῶν τριάκοντα καὶ ἐπὶ τῶν τριάκοντα· καὶ ἐπὶ τῆς διαιρέσεως αὐτοῦ Ζαβὰδ ὁ υἱὸς αὐτοῦ.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 7] Ὁ τέταρτος εἰς τὸν μῆνα τὸν τέταρτον Ἀσαὴλ ὁ ἀδελφὸς Ἰωὰβ, καὶ Ζαβαδίας υἱὸς αὐτοῦ, καὶ οἱ ἀδελφοὶ, καὶ ἐπὶ τῆς διαιρέσεως αὐτοῦ εἴκοσι καὶ τέσσαρες χιλιάδες.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 8] Ὁ πέμπτος τῷ μηνὶ τῷ πέμπτῳ ὁ ἡγούμενος Σαμαὼθ ὁ Ἰεσραὲ, καὶ ἐπὶ τῆς διαιρέσεως αὐτοῦ εἴκοσι καὶ τέσσαρες χιλιάδες.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 9] Ὁ ἕκτος τῷ μηνὶ τῷ ἕκτῳ Ὁδουίας ὁ τοῦ Ἐκκῆς ὁ Θεκωΐτης, καὶ ἐπὶ τῆς διαιρέσεως αὐτοῦ εἴκοσι καὶ τέσσαρες χιλιάδες.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 10] Ὁ ἕβδομος τῷ μηνὶ τῷ ἐβδόμῳ Χελλὴς ὁ ἐκ Φαλλοῦς ἀπὸ τῶν υἱῶν Ἐφραὶμ, καὶ ἑπὶ τῆς διαιρέσεως αὐτοῦ εἴκοσι καὶ τέσσαρες χιλιάδες.
[LXX | EL | OT | 1 Chronicles | Chapter 27 | Verse 11] Ὁ ὄγδοος τῷ μηνὶ τῷ ὀγδόῳ Σοβοχαῒ ὁ Οὐσαθὶ τῷ Ζαραῒ, καὶ ἐπὶ τῆς διαιρέσεως αὐτοῦ εἴκοσι καὶ τέσσαρες χιλιάδες.
