[ERV | EN | OT | Exodus | Chapter 7 | Verse 1] And the LORD said unto Moses, See, I have made thee a god to Pharaoh: and Aaron thy brother shall be thy prophet.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 2] Thou shalt speak all that I command thee: and Aaron thy brother shall speak unto Pharaoh, that he let the children of Israel go out of his land.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 3] And I will harden Pharaoh’s heart, and multiply my signs and my wonders in the land of Egypt.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 4] But Pharaoh will not hearken unto you, and I will lay my hand upon Egypt, and bring forth my hosts, my people the children of Israel, out of the land of Egypt by great judgments.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 5] And the Egyptians shall know that I am the LORD, when I stretch forth mine hand upon Egypt, and bring out the children of Israel from among them.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 6] And Moses and Aaron did so; as the LORD commanded them, so did they.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 7] And Moses was fourscore years old, and Aaron fourscore and three years old, when they spake unto Pharaoh.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 8] And the LORD spake unto Moses and unto Aaron, saying,
[ERV | EN | OT | Exodus | Chapter 7 | Verse 9] When Pharaoh shall speak unto you, saying, Shew a wonder for you: then thou shalt say unto Aaron, Take thy rod, and cast it down before Pharaoh, that it become a serpent.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 10] And Moses and Aaron went in unto Pharaoh, and they did so, as the LORD had commanded: and Aaron cast down his rod before Pharaoh and before his servants, and it became a serpent.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 11] Then Pharaoh also called for the wise men and the sorcerers: and they also, the magicians of Egypt, did in like manner with their enchantments.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 12] For they cast down every man his rod, and they became serpents: but Aaron’s rod swallowed up their rods.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 13] And Pharaoh’s heart was hardened, and he hearkened not unto them; as the LORD had spoken.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 14] And the LORD said unto Moses, Pharaoh’s heart is stubborn, he refuseth to let the people go.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 15] Get thee unto Pharaoh in the morning; lo, he goeth out unto the water; and thou shalt stand by the river’s brink to meet him; and the rod which was turned to a serpent shalt thou take in thine hand.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 16] And thou shalt say unto him, The LORD, the God of the Hebrews, hath sent me unto thee, saying, Let my people go, that they may serve me in the wilderness: and, behold, hitherto thou hast not hearkened.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 17] Thus saith the LORD, In this thou shalt know that I am the LORD: behold, I will smite with the rod that is in mine hand upon the waters which are in the river, and they shall be turned to blood.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 18] And the fish that is in the river shall die, and the river shall stink; and the Egyptians shall loathe to drink water from the river.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 19] And the LORD said unto Moses, Say unto Aaron, Take thy rod, and stretch out thine hand over the waters of Egypt, over their rivers, over their streams, and over their pools, and over all their ponds of water, that they may become blood; and there shall be blood throughout all the land of Egypt, both in vessels of wood and in vessels of stone.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 20] And Moses and Aaron did so, as the LORD commanded; and he lifted up the rod, and smote the waters that were in the river, in the sight of Pharaoh, and in the sight of his servants; and all the waters that were in the river were turned to blood.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 21] And the fish that was in the river died; and the river stank, and the Egyptians could not drink water from the river; and the blood was throughout all the land of Egypt.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 22] And the magicians of Egypt did in like manner with their enchantments: and Pharaoh’s heart was hardened, and he hearkened not unto them; as the LORD had spoken.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 23] And Pharaoh turned and went into his house, neither did he lay even this to heart.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 24] And all the Egyptians digged round about the river for water to drink; for they could not drink of the water of the river.
[ERV | EN | OT | Exodus | Chapter 7 | Verse 25] And seven days were fulfilled, after that the LORD had smitten the river.
