[ERV | EN | OT | Exodus | Chapter 9 | Verse 1] Then the LORD said unto Moses, Go in unto Pharaoh, and tell him, Thus saith the LORD, the God of the Hebrews, Let my people go, that they may serve me.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 2] For if thou refuse to let them go, and wilt hold them still,
[ERV | EN | OT | Exodus | Chapter 9 | Verse 3] behold, the hand of the LORD is upon thy cattle which is in the field, upon the horses, upon the asses, upon the camels, upon the herds, and upon the flocks: there shall be a very grievous murrain.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 4] And the LORD shall sever between the cattle of Israel and the cattle of Egypt: and there shall nothing die of all that belongeth to the children of Israel.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 5] And the LORD appointed a set time, saying, Tomorrow the LORD shall do this thing in the land.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 6] And the LORD did that thing on the morrow, and all the cattle of Egypt died: but of the cattle of the children of Israel died not one.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 7] And Pharaoh sent, and, behold, there was not so much as one of the cattle of the Israelites dead. But the heart of Pharaoh was stubborn, and he did not let the people go.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 8] And the LORD said unto Moses and unto Aaron, Take to you handfuls of ashes of the furnace, and let Moses sprinkle it toward the heaven in the sight of Pharaoh.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 9] And it shall become small dust over all the land of Egypt, and shall be a boil breaking forth with blains upon man and upon beast, throughout all the land of Egypt.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 10] And they took ashes of the furnace, and stood before Pharaoh; and Moses sprinkled it up toward heaven; and it became a boil breaking forth with blains upon man and upon beast.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 11] And the magicians could not stand before Moses because of the boils; for the boils were upon the magicians, and upon all the Egyptians.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 12] And the LORD hardened the heart of Pharaoh, and he hearkened not unto them; as the LORD had spoken unto Moses.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 13] And the LORD said unto Moses, Rise up early in the morning, and stand before Pharaoh, and say unto him, Thus saith the LORD, the God of the Hebrews, Let my people go, that they may serve me.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 14] For I will this time send all my plagues upon thine heart, and upon thy servants, and upon thy people; that thou mayest know that there is none like me in all the earth.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 15] For now I had put forth my hand, and smitten thee and thy people with pestilence, and thou hadst been cut off from the earth:
[ERV | EN | OT | Exodus | Chapter 9 | Verse 16] but in very deed for this cause have I made thee to stand, for to shew thee my power, and that my name may be declared throughout all the earth.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 17] As yet exaltest thou thyself against my people, that thou wilt not let them go?
[ERV | EN | OT | Exodus | Chapter 9 | Verse 18] Behold, tomorrow about this time I will cause it to rain a very grievous hail, such as hath not been in Egypt since the day it was founded even until now.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 19] Now therefore send, hasten in thy cattle and all that thou hast in the field; for every man and beast which shall be found in the field, and shall not be brought home, the hail shall come down upon them, and they shall die.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 20] He that feared the word of the LORD among the servants of Pharaoh made his servants and his cattle flee into the houses:
[ERV | EN | OT | Exodus | Chapter 9 | Verse 21] and he that regarded not the word of the LORD left his servants and his cattle in the field.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 22] And the LORD said unto Moses, Stretch forth thine hand toward heaven, that there may be hail in all the land of Egypt, upon man, and upon beast, and upon every herb of the field, throughout the land of Egypt.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 23] And Moses stretched forth his rod toward heaven: and the LORD sent thunder and hail, and fire ran down unto the earth; and the LORD rained hail upon the land of Egypt.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 24] So there was hail, and fire mingled with the hail, very grievous, such as had not been in all the land of Egypt since it became a nation.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 25] And the hail smote throughout all the land of Egypt all that was in the field, both man and beast; and the hail smote every herb of the field, and brake every tree of the field.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 26] Only in the land of Goshen, where the children of Israel were, was there no hail.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 27] And Pharaoh sent, and called for Moses and Aaron, and said unto them, I have sinned this time: the LORD is righteous, and I and my people are wicked.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 28] Entreat the LORD; for there hath been enough of these mighty thunderings and hail; and I will let you go, and ye shall stay no longer.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 29] And Moses said unto him, As soon as I am gone out of the city, I will spread abroad my hands unto the LORD; the thunders shall cease, neither shall there be any more hail; that thou mayest know that the earth is the LORD’S.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 30] But as for thee and thy servants, I know that ye will not yet fear the LORD God.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 31] And the flax and the barley were smitten: for the barley was in the ear, and the flax was bolled.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 32] But the wheat and the spelt were not smitten: for they were not grown up.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 33] And Moses went out of the city from Pharaoh, and spread abroad his hands unto the LORD: and the thunders and hail ceased, and the rain was not poured upon the earth.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 34] And when Pharaoh saw that the rain and the hail and the thunders were ceased, he sinned yet more, and hardened his heart, he and his servants.
[ERV | EN | OT | Exodus | Chapter 9 | Verse 35] And the heart of Pharaoh was hardened, and he did not let the children of Israel go; as the LORD had spoken by Moses.
