[ERV | EN | OT | Exodus | Chapter 25 | Verse 1] And the LORD spake unto Moses, saying,
[ERV | EN | OT | Exodus | Chapter 25 | Verse 2] Speak unto the children of Israel, that they take for me an offering: of every man whose heart maketh him willing ye shall take my offering.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 3] And this is the offering which ye shall take of them; gold, and silver, and brass;
[ERV | EN | OT | Exodus | Chapter 25 | Verse 4] and blue, and purple, and scarlet, and fine linen, and goats’ hair;
[ERV | EN | OT | Exodus | Chapter 25 | Verse 5] and rams’ skins dyed red, and sealskins, and acacia wood;
[ERV | EN | OT | Exodus | Chapter 25 | Verse 6] oil for the light, spices for the anointing oil, and for the sweet incense;
[ERV | EN | OT | Exodus | Chapter 25 | Verse 7] onyx stones, and stones to be set, for the ephod, and for the breastplate.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 8] And let them make me a sanctuary; that I may dwell among them.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 9] According to all that I shew thee, the pattern of the tabernacle, and the pattern of all the furniture thereof, even so shall ye make it.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 10] And they shall make an ark of acacia wood: two cubits and a half shall be the length thereof, and a cubit and a half the breadth thereof, and a cubit and a half the height thereof.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 11] And thou shalt overlay it with pure gold, within and without shalt thou overlay it, and shalt make upon it a crown of gold round about.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 12] And thou shalt cast four rings of gold for it, and put them in the four feet thereof; and two rings shall be on the one side of it, and two rings on the other side of it.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 13] And thou shalt make staves of acacia wood, and overlay them with gold.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 14] And thou shalt put the staves into the rings on the sides of the ark, to bear the ark withal.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 15] The staves shall be in the rings of the ark: they shall not be taken from it.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 16] And thou shalt put into the ark the testimony which I shall give thee.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 17] And thou shalt make a mercy-seat of pure gold: two cubits and a half shall be the length thereof, and a cubit and a half the breadth thereof.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 18] And thou shalt make two cherubim of gold; of beaten work shalt thou make them, at the two ends of the mercy-seat.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 19] And make one cherub at the one end, and one cherub at the other end: of one piece with the mercy-seat shall ye make the cherubim on the two ends thereof.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 20] And the cherubim shall spread out their wings on high, covering the mercy-seat with their wings, with their faces one to another; toward the mercy-seat shall the faces of the cherubim be.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 21] And thou shalt put the mercy-seat above upon the ark; and in the ark thou shalt put the testimony that I shall give thee.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 22] And there I will meet with thee, and I will commune with thee from above the mercy-seat, from between the two cherubim which are upon the ark of the testimony, of all things which I will give thee in commandment unto the children of Israel.
[ERV | EN | OT | Exodus | Chapter 25 | Verse 23] And thou shalt make a table of acacia wood: two cubits shall be the length thereof, and a cubit the breadth thereof, and a cubit and a half the height thereof.
