[BBE | EN | OT | Exodus | Chapter 19 | Verse 1] In the third month after the children of Israel went out from Egypt, on the same day, they came into the waste land of Sinai.
[BBE | EN | OT | Exodus | Chapter 19 | Verse 2] And when they had gone away from Rephidim and had come into the waste land of Sinai, they put up their tents in the waste land before the mountain: there Israel put up its tents.
[BBE | EN | OT | Exodus | Chapter 19 | Verse 3] And Moses went up to God, and the voice of the Lord came to him from the mountain, saying, Say to the family of Jacob, and give word to the children of Israel:
[BBE | EN | OT | Exodus | Chapter 19 | Verse 4] You have seen what I did to the Egyptians, and how I took you, as on eagles' wings, guiding you to myself.
[BBE | EN | OT | Exodus | Chapter 19 | Verse 5] If now you will truly give ear to my voice and keep my agreement, you will be my special property out of all the peoples: for all the earth is mine:
[BBE | EN | OT | Exodus | Chapter 19 | Verse 6] And you will be a kingdom of priests to me, and a holy nation. These are the words which you are to say to the children of Israel.
[BBE | EN | OT | Exodus | Chapter 19 | Verse 7] And Moses came and sent for the chiefs of the people and put before them all these words which the Lord had given him orders to say.
[BBE | EN | OT | Exodus | Chapter 19 | Verse 8] And all the people, answering together, said, Whatever the Lord has said we will do. And Moses took back to the Lord the words of the people.
[BBE | EN | OT | Exodus | Chapter 19 | Verse 9] And the Lord said to Moses, See, I will come to you in a thick cloud, so that what I say to you may come to the ears of the people and they may have belief in you for ever. And Moses gave the Lord word of what the people had said.
[BBE | EN | OT | Exodus | Chapter 19 | Verse 10] And the Lord said to Moses, Go to the people and make them holy today and tomorrow, and let their clothing be washed.
[BBE | EN | OT | Exodus | Chapter 19 | Verse 11] And by the third day let them be ready: for on the third day the Lord will come down on Mount Sinai, before the eyes of all the people.
[BBE | EN | OT | Exodus | Chapter 19 | Verse 12] And let limits be marked out for the people round the mountain, and say to them, Take care not to go up the mountain or near the sides of it: whoever puts his foot on the mountain will certainly come to his death:
[BBE | EN | OT | Exodus | Chapter 19 | Verse 13] He is not to be touched by a hand, but is to be stoned or have an arrow put through him; man or beast, he is to be put to death: at the long sounding of a horn they may come up to the mountain.
[BBE | EN | OT | Exodus | Chapter 19 | Verse 14] Then Moses went down from the mountain to the people, and made the people holy; and their clothing was washed.
[BBE | EN | OT | Exodus | Chapter 19 | Verse 15] And he said to the people, Be ready by the third day: do not come near a woman.
[BBE | EN | OT | Exodus | Chapter 19 | Verse 16] And when morning came on the third day, there were thunders and flames and a thick cloud on the mountain, and a horn sounding very loud; and all the people in the tents were shaking with fear.
[BBE | EN | OT | Exodus | Chapter 19 | Verse 17] And Moses made the people come out of their tents and take their places before God; and they came to the foot of the mountain,
[BBE | EN | OT | Exodus | Chapter 19 | Verse 18] And all the mountain of Sinai was smoking, for the Lord had come down on it in fire: and the smoke of it went up like the smoke of a great burning; and all the mountain was shaking.
[BBE | EN | OT | Exodus | Chapter 19 | Verse 19] And when the sound of the horn became louder and louder, Moses' words were answered by the voice of God.
[BBE | EN | OT | Exodus | Chapter 19 | Verse 20] Then the Lord came down on to Mount Sinai, to the top of the mountain, and the Lord sent for Moses to come up to the top of the mountain, and Moses went up.
[BBE | EN | OT | Exodus | Chapter 19 | Verse 21] And the Lord said to Moses, Go down and give the people orders to keep back, for fear that a great number of them, forcing their way through to see the Lord, may come to destruction.
[BBE | EN | OT | Exodus | Chapter 19 | Verse 22] And let the priests who come near to the Lord make themselves holy, for fear that the Lord may come on them suddenly.
[BBE | EN | OT | Exodus | Chapter 19 | Verse 23] And Moses said to the Lord, The people will not be able to come up the mountain, for you gave us orders to put limits round the mountain, marking it out and making it holy.
[BBE | EN | OT | Exodus | Chapter 19 | Verse 24] And the Lord said to him, Go down, and you and Aaron may come up; but let not the priests and the people make their way through to the Lord, or he will come on them suddenly.
[BBE | EN | OT | Exodus | Chapter 19 | Verse 25] So Moses went down to the people and said this to them.
