[BBE | EN | OT | Exodus | Chapter 5 | Verse 1] And after that, Moses and Aaron came to Pharaoh, and said, The Lord, the God of Israel, says, Let my people go so that they may keep a feast to me in the waste land.
[BBE | EN | OT | Exodus | Chapter 5 | Verse 2] And Pharaoh said, Who is the Lord, to whose voice I am to give ear and let Israel go? I have no knowledge of the Lord and I will not let Israel go.
[BBE | EN | OT | Exodus | Chapter 5 | Verse 3] And they said, The God of the Hebrews has come to us: let us then go three days' journey into the waste land to make an offering to the Lord our God, so that he may not send death on us by disease or the sword.
[BBE | EN | OT | Exodus | Chapter 5 | Verse 4] And the king of Egypt said to them, Why do you, Moses and Aaron, take the people away from their work? get back to your work.
[BBE | EN | OT | Exodus | Chapter 5 | Verse 5] And Pharaoh said, Truly, the people of the land are increasing in number, and you are keeping them back from their work.
[BBE | EN | OT | Exodus | Chapter 5 | Verse 6] The same day Pharaoh gave orders to the overseers and those who were responsible for the work, saying,
[BBE | EN | OT | Exodus | Chapter 5 | Verse 7] Give these men no more dry stems for their brick-making as you have been doing; let them go and get the material for themselves.
[BBE | EN | OT | Exodus | Chapter 5 | Verse 8] But see that they make the same number of bricks as before, and no less: for they have no love for work; and so they are crying out and saying, Let us go and make an offering to our God.
[BBE | EN | OT | Exodus | Chapter 5 | Verse 9] Give the men harder work, and see that they do it; let them not give attention to false words.
[BBE | EN | OT | Exodus | Chapter 5 | Verse 10] And the overseers of the people and their responsible men went out and said to the people, Pharaoh says, I will give you no more dry stems.
[BBE | EN | OT | Exodus | Chapter 5 | Verse 11] Go yourselves and get dry stems wherever you are able; for your work is not to be any less.
[BBE | EN | OT | Exodus | Chapter 5 | Verse 12] So the people were sent in all directions through the land of Egypt to get dry grass for stems.
[BBE | EN | OT | Exodus | Chapter 5 | Verse 13] And the overseers went on driving them and saying, Do your full day's work as before when there were dry stems for you.
[BBE | EN | OT | Exodus | Chapter 5 | Verse 14] And the responsible men of the children of Israel, whom Pharaoh's overseers had put over them, were given blows, and they said to them, Why have you not done your regular work, in making bricks as before?
[BBE | EN | OT | Exodus | Chapter 5 | Verse 15] Then the responsible men of the children of Israel came to Pharaoh, protesting and saying, Why are you acting in this way to your servants?
[BBE | EN | OT | Exodus | Chapter 5 | Verse 16] They give us no dry stems and they say to us, Make bricks: and they give your servants blows; but it is your people who are in the wrong.
[BBE | EN | OT | Exodus | Chapter 5 | Verse 17] But he said, You have no love for work: that is why you say, Let us go and make an offering to the Lord.
[BBE | EN | OT | Exodus | Chapter 5 | Verse 18] Go now, get back to your work; no dry stems will be given to you, but you are to make the full number of bricks.
[BBE | EN | OT | Exodus | Chapter 5 | Verse 19] Then the responsible men of the children of Israel saw that they were purposing evil when they said, The number of bricks which you have to make every day will be no less than before.
[BBE | EN | OT | Exodus | Chapter 5 | Verse 20] And they came face to face with Moses and Aaron, who were in their way when they came out from Pharaoh:
[BBE | EN | OT | Exodus | Chapter 5 | Verse 21] And they said to them, May the Lord take note of you and be your judge; for you have given Pharaoh and his servants a bad opinion of us, putting a sword in their hands for our destruction.
[BBE | EN | OT | Exodus | Chapter 5 | Verse 22] And Moses went back to the Lord and said, Lord, why have you done evil to this people? why have you sent me?
[BBE | EN | OT | Exodus | Chapter 5 | Verse 23] For from the time when I came to Pharaoh to put your words before him, he has done evil to this people, and you have given them no help.
