[BBE | EN | OT | Exodus | Chapter 28 | Verse 1] Now let Aaron your brother, and his sons with him, come near from among the children of Israel, so that they may be my priests, even Aaron, and Nadab, Abihu, Eleazar, and Ithamar, his sons.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 2] And make holy robes for Aaron your brother, so that he may be clothed with glory and honour.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 3] Give orders to all the wise-hearted workmen, whom I have made full of the spirit of wisdom, to make robes for Aaron, so that he may be made holy as my priest.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 4] This is what they are to make: a priest's bag, an ephod, and a robe, and a coat of coloured needlework, a head-dress, and a linen band; they are to make holy robes for Aaron your brother and for his sons, so that they may do the work of priests for me.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 5] They are to take the gold and blue and purple and red and the best linen,
[BBE | EN | OT | Exodus | Chapter 28 | Verse 6] And make the ephod of gold and blue and purple and red and the best linen, the work of a designer.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 7] It is to have two bands stitched to it at the top of the arms, joining it together.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 8] And the beautifully worked band, which goes on it, is to be of the same work and the same material, of gold and blue and purple and red and twisted linen-work.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 9] You are to take two beryl stones, on which the names of the children of Israel are to be cut:
[BBE | EN | OT | Exodus | Chapter 28 | Verse 10] Six names on the one stone and six on the other, in the order of their birth.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 11] With the work of a jeweller, like the cutting of a stamp, the names of the children of Israel are to be cut on them, and they are to be fixed in twisted frames of gold.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 12] And the two stones are to be placed on the ephod, over the arm-holes, to be stones of memory for the children of Israel: Aaron will have their names on his arms when he goes in before the Lord, to keep the Lord in mind of them.
[BBE | EN | OT | Exodus | Chapter 28 | Verse 13] And you are to make twisted frames of gold;
[BBE | EN | OT | Exodus | Chapter 28 | Verse 14] And two chains of the best gold, twisted like cords; and have the chains fixed on to the frames.
