[BBE | EN | OT | Exodus | Chapter 20 | Verse 1] And God said all these words:
[BBE | EN | OT | Exodus | Chapter 20 | Verse 2] I am the Lord your God who took you out of the land of Egypt, out of the prison-house.
[BBE | EN | OT | Exodus | Chapter 20 | Verse 3] You are to have no other gods but me.
[BBE | EN | OT | Exodus | Chapter 20 | Verse 4] You are not to make an image or picture of anything in heaven or on the earth or in the waters under the earth:
[BBE | EN | OT | Exodus | Chapter 20 | Verse 5] You may not go down on your faces before them or give them worship: for I, the Lord your God, am a God who will not give his honour to another; and I will send punishment on the children for the wrongdoing of their fathers, to the third and fourth generation of my haters;
[BBE | EN | OT | Exodus | Chapter 20 | Verse 6] And I will have mercy through a thousand generations on those who have love for me and keep my laws.
[BBE | EN | OT | Exodus | Chapter 20 | Verse 7] You are not to make use of the name of the Lord your God for an evil purpose; whoever takes the Lord's name on his lips for an evil purpose will be judged a sinner by the Lord
[BBE | EN | OT | Exodus | Chapter 20 | Verse 8] Keep in memory the Sabbath and let it be a holy day.
[BBE | EN | OT | Exodus | Chapter 20 | Verse 9] On six days do all your work:
[BBE | EN | OT | Exodus | Chapter 20 | Verse 10] But the seventh day is a Sabbath to the Lord your God; on that day you are to do no work, you or your son or your daughter, your man-servant or your woman-servant, your cattle or the man from a strange country who is living among you:
[BBE | EN | OT | Exodus | Chapter 20 | Verse 11] For in six days the Lord made heaven and earth, and the sea, and everything in them, and he took his rest on the seventh day: for this reason the Lord has given his blessing to the seventh day and made it holy.
[BBE | EN | OT | Exodus | Chapter 20 | Verse 12] Give honour to your father and to your mother, so that your life may be long in the land which the Lord your God is giving you.
[BBE | EN | OT | Exodus | Chapter 20 | Verse 13] Do not put anyone to death without cause.
[BBE | EN | OT | Exodus | Chapter 20 | Verse 14] Do not be false to the married relation.
[BBE | EN | OT | Exodus | Chapter 20 | Verse 15] Do not take the property of another.
[BBE | EN | OT | Exodus | Chapter 20 | Verse 16] Do not give false witness against your neighbour.
[BBE | EN | OT | Exodus | Chapter 20 | Verse 17] Let not your desire be turned to your neighbour's house, or his wife or his man-servant or his woman-servant or his ox or his ass or anything which is his.
[BBE | EN | OT | Exodus | Chapter 20 | Verse 18] And all the people were watching the thunderings and the flames and the sound of the horn and the mountain smoking; and when they saw it, they kept far off, shaking with fear.
[BBE | EN | OT | Exodus | Chapter 20 | Verse 19] And they said to Moses, To your words we will give ear, but let not the voice of God come to our ears, for fear death may come on us.
[BBE | EN | OT | Exodus | Chapter 20 | Verse 20] And Moses said to the people, Have no fear: for God has come to put you to the test, so that fearing him you may be kept from sin.
[BBE | EN | OT | Exodus | Chapter 20 | Verse 21] And the people kept their places far off, but Moses went near to the dark cloud where God was.
[BBE | EN | OT | Exodus | Chapter 20 | Verse 22] And the Lord said to Moses, Say to the children of Israel, You yourselves have seen that my voice has come to you from heaven
[BBE | EN | OT | Exodus | Chapter 20 | Verse 23] Gods of silver and gods of gold you are not to make for yourselves.
[BBE | EN | OT | Exodus | Chapter 20 | Verse 24] Make for me an altar of earth, offering on it your burned offerings and your peace-offerings, your sheep and your oxen: in every place where I have put the memory of my name, I will come to you and give you my blessing.
[BBE | EN | OT | Exodus | Chapter 20 | Verse 25] And if you make me an altar of stone do not make it of cut stones: for the touch of an instrument will make it unclean.
[BBE | EN | OT | Exodus | Chapter 20 | Verse 26] And do not go up by steps to my altar, for fear that your bodies may be seen uncovered.
