[IRV | PA | NT | Revelation | Chapter 22 | Verse 1] ਉਸ ਨੇ ਅੰਮ੍ਰਿਤ ਜਲ ਦੀ ਇੱਕ ਨਦੀ ਬਲੌਰ ਵਾਂਗੂੰ ਸਾਫ਼ ਪਰਮੇਸ਼ੁਰ ਅਤੇ ਲੇਲੇ ਦੇ ਸਿੰਘਾਸਣ ਵਿੱਚੋਂ ਨਿੱਕਲਦੀ, ਉਸ ਨਗਰੀ ਦੇ ਚੌਂਕ ਦੇ ਵਿਚਕਾਰ ਮੈਨੂੰ ਵਿਖਾਈ।
[IRV | PA | NT | Revelation | Chapter 22 | Verse 2] ਉਸ ਨਦੀ ਦੇ ਦੋਨਾਂ ਕਿਨਾਰਿਆਂ ਉੱਤੇ ਜੀਵਨ ਦਾ ਬਿਰਛ ਹੈ, ਜਿਸ ਨੂੰ ਬਾਰਾਂ ਪਰਕਾਰ ਦੇ ਫਲ ਲੱਗਦੇ ਹਨ ਅਤੇ ਉਹ ਹਰ ਮਹੀਨੇ ਆਪਣਾ ਫਲ ਦਿੰਦਾ ਹੈ, ਅਤੇ ਉਸ ਬਿਰਛ ਦੇ ਪੱਤੇ ਕੌਮਾਂ ਦੇ ਇਲਾਜ ਦੇ ਲਈ ਹਨ।
[IRV | PA | NT | Revelation | Chapter 22 | Verse 3] ਅਤੇ ਹੁਣ ਅਗਾਹਾਂ ਨੂੰ ਕੋਈ ਸਰਾਪ ਨਾ ਹੋਵੇਗਾ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਅਤੇ ਲੇਲੇ ਦਾ ਸਿੰਘਾਸਣ ਉਸ ਵਿੱਚ ਹੋਵੇਗਾ ਅਤੇ ਉਹ ਦੇ ਦਾਸ ਉਹ ਦੀ ਬੰਦਗੀ ਕਰਨਗੇ।
[IRV | PA | NT | Revelation | Chapter 22 | Verse 4] ਅਤੇ ਉਹ ਦਾ ਦਰਸ਼ਣ ਪਾਉਣਗੇ ਅਤੇ ਉਹ ਦਾ ਨਾਮ ਉਹਨਾਂ ਦੇ ਮੱਥਿਆਂ ਉੱਤੇ ਹੋਵੇਗਾ।
[IRV | PA | NT | Revelation | Chapter 22 | Verse 5] ਅਤੇ ਹੁਣ ਅਗਾਹਾਂ ਨੂੰ ਰਾਤ ਨਾ ਹੋਵੇਗੀ ਅਤੇ ਉਹਨਾਂ ਨੂੰ ਦੀਵੇ ਦੀ ਰੋਸ਼ਨੀ ਸਗੋਂ ਸੂਰਜ ਦੇ ਚਾਨਣ ਦੀ ਕੁਝ ਜ਼ਰੂਰਤ ਨਹੀਂ ਕਿਉਂ ਜੋ ਪ੍ਰਭੂ ਪਰਮੇਸ਼ੁਰ ਉਹਨਾਂ ਨੂੰ ਚਾਨਣ ਦੇਵੇਗਾ, ਅਤੇ ਉਹ ਜੁੱਗੋ-ਜੁੱਗ ਰਾਜ ਕਰਨਗੇ।
[IRV | PA | NT | Revelation | Chapter 22 | Verse 6] ਫੇਰ ਉਸ ਨੇ ਮੈਨੂੰ ਆਖਿਆ, ਇਹ ਬਚਨ ਵਿਸ਼ਵਾਸਯੋਗ ਅਤੇ ਸੱਚ ਹਨ ਅਤੇ ਪ੍ਰਭੂ ਨੇ ਜਿਹੜਾ ਨਬੀਆਂ ਦੇ ਆਤਮਿਆਂ ਦਾ ਪਰਮੇਸ਼ੁਰ ਹੈ ਆਪਣਾ ਦੂਤ ਭੇਜਿਆ, ਜੋ ਜਿਹੜੀਆਂ ਗੱਲਾਂ ਛੇਤੀ ਹੋਣੀਆਂ ਹਨ ਸੋ ਆਪਣਿਆਂ ਦਾਸਾਂ ਨੂੰ ਵਿਖਾਵੇ।
[IRV | PA | NT | Revelation | Chapter 22 | Verse 7] ਵੇਖ, ਮੈਂ ਛੇਤੀ ਆਉਂਦਾ ਹਾਂ! ਧੰਨ ਉਹ ਜਿਹੜਾ ਇਸ ਪੋਥੀ ਦੇ ਅਗੰਮ ਵਾਕ ਦੀਆਂ ਗੱਲਾਂ ਦੀ ਪਾਲਨਾ ਕਰਦਾ ਹੈ!
[IRV | PA | NT | Revelation | Chapter 22 | Verse 8] ਮੈਂ ਯੂਹੰਨਾ ਉਹ ਹਾਂ ਜਿਸ ਨੇ ਇਨ੍ਹਾਂ ਗੱਲਾਂ ਨੂੰ ਸੁਣਿਆ ਅਤੇ ਵੇਖਿਆ, ਅਤੇ ਜਦੋਂ ਮੈਂ ਸੁਣਿਆ ਅਤੇ ਵੇਖਿਆ ਤਾਂ ਮੈਂ ਮੱਥਾ ਟੇਕਣ ਲਈ ਡਿੱਗ ਕੇ ਉਸ ਦੂਤ ਦੇ ਪੈਰਾਂ ਉੱਤੇ ਜਾ ਪਿਆ ਜਿਸ ਨੇ ਮੈਨੂੰ ਇਹ ਗੱਲਾਂ ਵਿਖਾਈਆਂ ਸਨ।
[IRV | PA | NT | Revelation | Chapter 22 | Verse 9] ਤਾਂ ਉਸ ਮੈਨੂੰ ਆਖਿਆ ਭਈ ਇਸ ਤਰ੍ਹਾਂ ਨਾ ਕਰ! ਮੈਂ ਤਾਂ ਤੇਰੇ ਅਤੇ ਨਬੀਆਂ ਦੇ ਜੋ ਤੇਰੇ ਭਰਾ ਹਨ ਅਤੇ ਉਹਨਾਂ ਦੇ ਜਿਹੜੇ ਇਸ ਪੋਥੀ ਦੀਆਂ ਗੱਲਾਂ ਦੀ ਪਾਲਨਾ ਕਰਦੇ ਹਨ, ਨਾਲ ਦਾ ਦਾਸ ਹਾਂ। ਪਰਮੇਸ਼ੁਰ ਨੂੰ ਮੱਥਾ ਟੇਕ!
[IRV | PA | NT | Revelation | Chapter 22 | Verse 10] ਤਾਂ ਉਸ ਮੈਨੂੰ ਆਖਿਆ ਕਿ ਇਸ ਪੋਥੀ ਦੇ ਅਗੰਮ ਵਾਕ ਦੀਆਂ ਬਾਣੀਆਂ ਉੱਤੇ ਮੋਹਰ ਨਾ ਲਾ, ਕਿਉਂ ਜੋ ਸਮਾਂ ਨੇੜੇ ਹੈ!
[IRV | PA | NT | Revelation | Chapter 22 | Verse 11] ਜਿਹੜਾ ਕੁਧਰਮੀ ਹੈ ਉਹ ਅਗਾਹਾਂ ਨੂੰ ਕੁਧਰਮ ਕਰੀ ਜਾਏ ਅਤੇ ਜਿਹੜਾ ਅਸ਼ੁੱਧ ਹੈ ਉਹ ਅਗਾਹਾਂ ਨੂੰ ਅਸ਼ੁੱਧ ਹੋਈ ਜਾਏ ਅਤੇ ਜਿਹੜਾ ਧਰਮੀ ਹੈ ਉਹ ਅਗਾਹਾਂ ਨੂੰ ਧਰਮ ਕਰੀ ਜਾਏ ਅਤੇ ਜਿਹੜਾ ਪਵਿੱਤਰ ਹੈ ਉਹ ਅਗਾਹਾਂ ਨੂੰ ਪਵਿੱਤਰ ਹੋਈ ਜਾਏ।
