[WEB | EN | OT | Nahum | Chapter 2 | Verse 1] He who dashes in pieces has come up against you. Keep the fortress! Watch the way! Strengthen your waist! Fortify your power mightily!
[WEB | EN | OT | Nahum | Chapter 2 | Verse 2] For the LORD restores the excellency of Jacob as the excellency of Israel, for the destroyers have destroyed them and ruined their vine branches.
[WEB | EN | OT | Nahum | Chapter 2 | Verse 3] The shield of his mighty men is made red. The valiant men are in scarlet. The chariots flash with steel in the day of his preparation, and the pine spears are brandished.
[WEB | EN | OT | Nahum | Chapter 2 | Verse 4] The chariots rage in the streets. They rush back and forth in the wide ways. Their appearance is like torches. They run like the lightnings.
[WEB | EN | OT | Nahum | Chapter 2 | Verse 5] He summons his picked troops. They stumble on their way. They dash to its wall, and the protective shield is put in place.
[WEB | EN | OT | Nahum | Chapter 2 | Verse 6] The gates of the rivers are opened, and the palace is dissolved.
[WEB | EN | OT | Nahum | Chapter 2 | Verse 7] It is decreed: she is uncovered, she is carried away; and her servants moan as with the voice of doves, beating on their breasts.
[WEB | EN | OT | Nahum | Chapter 2 | Verse 8] But Nineveh has been from of old like a pool of water, yet they flee away. “Stop! Stop!” they cry, but no one looks back.
[WEB | EN | OT | Nahum | Chapter 2 | Verse 9] Take the plunder of silver. Take the plunder of gold, for there is no end of treasure, an abundance of every precious thing.
[WEB | EN | OT | Nahum | Chapter 2 | Verse 10] She is empty, void, and waste. The heart melts, the knees knock together, their bodies and faces have grown pale.
[WEB | EN | OT | Nahum | Chapter 2 | Verse 11] Where is the den of the lions, and the feeding place of the young lions, where the lion and the lioness walked with the lion’s cubs, and no one made them afraid?
[WEB | EN | OT | Nahum | Chapter 2 | Verse 12] The lion tore in pieces enough for his cubs, and strangled prey for his lionesses, and filled his caves with the kill and his dens with prey.
[WEB | EN | OT | Nahum | Chapter 2 | Verse 13] “Behold, I am against you,” says the LORD of Armies, “and I will burn her chariots in the smoke, and the sword will devour your young lions; and I will cut off your prey from the earth, and the voice of your messengers will no longer be heard.”
