[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 1] And Eliashib the high priest riseth, and his brethren the priests, and they build the sheep-gate; they have sanctified it, and set up its doors, even unto the tower of Meah they have sanctified it, unto the tower of Hananeel;
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 2] and by his hand have men of Jericho built; and by their hand hath Zaccur son of Imri built;
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 3] and the fish-gate have sons of Hassenaah built, they have walled it, and set up its doors, its locks, and its bars.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 4] And by their hand hath Merimoth son of Urijah, son of Koz, strengthened; and by his hand hath Meshullam son of Berechiah, son of Meshezabeel, strengthened; and by his hand hath Zadok son of Baana strengthened;
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 5] and by his hand have the Tekoites strengthened, and their honourable ones have not brought in their neck to the service of their Lord.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 6] And the old gate have Jehoiada son of Paseah, and Meshullam son of Besodeiah, strengthened; they have walled it, and set up its doors, and its locks, and its bars.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 7] And by their hand hath Melatiah the Gibeonite strengthened, and Jadon the Meronothite, men of Gibeon and of Mizpah, to the throne of the governor beyond the River.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 8] By his hand hath Uzziel son of Harhaiah of the refiners strengthened; and by his hand hath Hananiah son of [one of] the compounders strengthened; and they leave Jerusalem unto the broad wall.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 9] And by their hand hath Rephaiah son of Hur, head of the half of the district of Jerusalem, strengthened.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 10] And by their hand hath Jedaiah son of Harumaph strengthened, and over-against his own house; and by his hand hath Hattush son of Hashabniah strengthened.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 11] A second measure hath Malchijah son of Harim strengthened, and Hashub son of Pahath-Moab, even the tower of the furnaces.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 12] And by his hand hath Shallum son of Halohesh, head of the half of the district of Jerusalem, strengthened, he and his daughters.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 13] The gate of the valley hath Hanun strengthened, and the inhabitants of Zanoah; they have built it, and set up its doors, its locks, and its bars, and a thousand cubits in the wall unto the dung-gate.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 14] And the dung-gate hath Malchijah son of Rechab, head of the district of Beth-Haccerem, strengthened; he doth built it, and set up its doors, its locks, and its bars.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 15] And the gate of the fountain hath Shallum son of Col-Hozeh, head of the district of Mizpah, strengthened: he doth build it, and cover it, and set up its doors, its locks, and its bars, and the wall of the pool of Siloah, to the garden of the king, and unto the steps that are going down from the city of David.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 16] After him hath Nehemiah son of Azbuk, head of the half of the district of Beth-Zur, strengthened, unto over-against the graves of David, and unto the pool that is made, and unto the house of the mighty ones.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 17] After him have the Levites strengthened, [and] Rehum son of Bani: by his hand hath Hashabiah, head of the half of the district of Keilah, strengthened, for his district.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 18] After him have their brethren strengthened, [and] Bavvai son of Henadad, head of the half of the district of Keilah.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 19] And Ezer son of Jeshua, head of Mizpah, doth strengthen, by his hand, a second measure, from over-against the ascent of the armoury at the angle.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 20] After him hath Baruch son of Zabbai hastened to strengthen a second measure from the angle unto the opening of the house of Eliashib the high priest.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 21] After him hath Meremoth son of Urijah, son of Koz, strengthened, a second measure, from the opening of the house of Eliashib even unto the completion of the house of Eliashib.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 22] And after him have the priests, men of the circuit, strengthened.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 23] After them hath Benjamin strengthened, and Hashub, over-against their house; after him hath Azariah son of Maaseiah, son of Ananiah, strengthened, near his house.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 24] After him hath Binnui son of Henadad strengthened, a second measure, from the house of Azariah unto the angle, and unto the corner.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 25] Palal son of Uzai, from over-against the angle, and the tower that is going out from the upper house of the king that [is] at the court of the prison; after him Pedaiah son of Parosh.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 26] And the Nethinim have been dwelling in Ophel, unto over-against the water-gate at the east, and the tower that goeth out.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 27] After him have the Tekoites strengthened, a second measure, from over-against the great tower that goeth out, and unto the wall of Ophel.
[YLT | EN | OT | Nehemiah | Chapter 3 | Verse 28] From above the horse-gate have the priests strengthened, each over-against his house.
