[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 1] And it cometh to pass, when the wall hath been built, that I set up the doors, and the gatekeepers are appointed, and the singers, and the Levites,
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 2] and I charge Hanani my brother, and Hananiah head of the palace, concerning Jerusalem — for he [is] as a man of truth, and fearing God above many —
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 3] and I say to them, 'Let not the gates of Jerusalem be opened till the heat of the sun, and while they are standing by let them shut the doors, and fasten, and appoint guards of the inhabitants of Jerusalem, each in his guard, and each over-against his house.'
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 4] And the city [is] broad on both sides, and great, and the people [are] few in its midst, and there are no houses builded;
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 5] and my God putteth it unto my heart, and I gather the freeman, and the prefects, and the people, for the genealogy, and I find a book of the genealogy of those coming up at the beginning, and I find written in it: —
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 6] These [are] sons of the province, those coming up of the captives of the removal that Nebuchadnezzar king of Babylon removed — and they turn back to Jerusalem and to Judah, each to his city —
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 7] who are coming in with Zerubbabel, Jeshua, Nehemiah, Azariah, Raamiah, Nahamani, Mordecai, Bilshan, Mispereth, Bigvai, Nehum, Baanah. Number of the men of the people of Israel:
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 8] Sons of Parosh: two thousand a hundred and seventy and two.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 9] Sons of Shephatiah: three hundred seventy and two.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 10] Sons of Arah: six hundred fifty and two.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 11] Sons of Pahath-Moab, of the sons of Jeshua and Joab: two thousand and eight hundred [and] eighteen.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 12] Sons of Elam: a thousand two hundred fifty and four.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 13] Sons of Zattu: eight hundred forty and five.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 14] Sons of Zaccai: seven hundred and sixty.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 15] Sons of Binnui: six hundred forty and eight.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 16] Sons of Bebai: six hundred twenty and eight.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 17] Sons of Azgad: two thousand three hundred twenty and two.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 18] Sons of Adonikam: six hundred sixty and seven.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 19] Sons of Bigvai: two thousand sixty and seven.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 20] Sons of Adin: six hundred fifty and five.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 21] Sons of Ater of Hezekiah: ninety and eight.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 22] Sons of Hashum: three hundred twenty and eight.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 23] Sons of Bezai: three hundred twenty and four.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 24] Sons of Hariph: a hundred [and] twelve.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 25] Sons of Gibeon: ninety and five.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 26] Men of Beth-Lehem and Netophah: a hundred eighty and eight.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 27] Men of Anathoth: a hundred twenty and eight.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 28] Men of Beth-Azmaveth: forty and two.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 29] Men of Kirjath-Jearim, Chephirah, and Beeroth: seven hundred forty and three.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 30] Men of Ramah and Gaba: six hundred twenty and one.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 31] Men of Michmas: a hundred and twenty and two.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 32] Men of Bethel and Ai: a hundred twenty and three.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 33] Men of the other Nebo: fifty and two.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 34] Sons of the other Elam: a thousand two hundred fifty and four.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 35] Sons of Harim: three hundred and twenty.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 36] Sons of Jericho: three hundred forty and five.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 37] Sons of Lod, Hadid, and Ono: seven hundred and twenty and one.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 38] Sons of Senaah: three thousand nine hundred and thirty.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 39] The priests: sons of Jedaiah: of the house of Jeshua: nine hundred seventy and three;
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 40] sons of Immer: a thousand fifty and two;
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 41] sons of Pashur: a thousand two hundred forty and seven;
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 42] sons of Harim: a thousand and seventeen.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 43] The Levites: sons of Jeshua, of Kadmiel: of sons of Hodevah: seventy and four.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 44] The singers: sons of Asaph: a hundred forty and eight.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 45] The gatekeepers: sons of Shallum, sons of Ater, sons of Talmon, sons of Akkub, sons of Hatita, sons of Shobai: a hundred thirty and eight.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 46] The Nethinim: sons of Ziha, sons of Hasupha, sons of Tabbaoth,
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 47] sons of Keros, sons of Sia, sons of Padon,
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 48] sons of Lebanah, sons of Hagaba, sons of Shalmai,
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 49] sons of Hanan, sons of Giddel, sons of Gahar,
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 50] sons of Reaiah, sons of Rezin, sons of Nekoda,
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 51] sons of Gazzam, sons of Uzza, sons of Phaseah,
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 52] sons of Bezai, sons of Meunim, sons of Nephishesim,
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 53] sons of Bakbuk, sons of Hakupha, sons of Harhur,
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 54] sons of Bazlith, sons of Mehida, sons of Harsha,
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 55] sons of Barkos, sons of Sisera, sons of Tamah,
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 56] sons of Neziah, sons of Hatipha.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 57] Sons of the servants of Solomon: sons of Sotai, sons of Sophereth, sons of Perida,
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 58] sons of Jaala, sons of Darkon, sons of Giddel,
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 59] sons of Shephatiah, sons of Hattil, sons of Pochereth of Zebaim, sons of Amon.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 60] All the Nethinim and the sons of the servants of Solomon [are] three hundred ninety and two.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 61] And these [are] those coming up from Tel-Melah, Tel-Harsha, Cherub, Addon, and Immer — and they have not been able to declare the house of their fathers, and their seed, whether they [are] of Israel —
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 62] sons of Delaiah, sons of Tobiah, sons of Nekoda, six hundred forty and two.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 63] And of the priests: sons of Habaiah sons of Koz, sons of Barzillai, who hath taken from the daughters of Barzillai the Gileadite a wife, and is called by their name.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 64] These have sought their register among those reckoning themselves by genealogy, and it hath not been found, and they are redeemed from the priesthood,
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 65] and the Tirshatha saith to them that they eat not of the most holy things till the standing up of the priest with Urim and Thummim.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 66] All the assembly together [is] four myriads two thousand three hundred and sixty,
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 67] apart from their servants and their handmaids — these [are] seven thousand three hundred thirty and seven; and of them [are] singers and songstresses, two hundred forty and five.
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 68] Their horses [are] seven hundred thirty and six; their mules, two hundred [and] forty and five;
[YLT | EN | OT | Nehemiah | Chapter 7 | Verse 69] camels, four hundred thirty and five; asses, six thousand seven hundred and twenty.
