[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 1] Now when the building of the wall was complete and I had put up the doors, and the door-keepers and the music-makers and the Levites had been given their places,
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 2] I made my brother Hanani, and Hananiah, the ruler of the tower, responsible for the government of Jerusalem: for he was a man of good faith, fearing God more than most.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 3] And I said to them, Do not let the doors of Jerusalem be open till the sun is high; and while the watchmen are in their places, let the doors be shut and locked: and let the people of Jerusalem be put on watch, every one in his watch, opposite his house.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 4] Now the town was wide and great: but the people in it were only a small number, and the houses had not been put up.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 5] And my God put it into my heart to get together the rulers and the chiefs and the people so that they might be listed by families. And I came across a record of the names of those who came up at the first, and in it I saw these words:
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 6] These are the people of the divisions of the kingdom, among those who had been made prisoners by Nebuchadnezzar, the king of Babylon, and taken away by him, who went back to Jerusalem and Judah, every one to his town;
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 7] Who came with Zerubbabel, Jeshua, Nehemiah, Azariah, Raamiah, Nahamani, Mordecai, Bilshan, Mispereth, Bigvai, Nehum, Baanah. The number of the men of the people of Israel:
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 8] The children of Parosh, two thousand, one hundred and seventy-two.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 9] The children of Shephatiah, three hundred and seventy-two.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 10] The children of Arah, six hundred and fifty-two.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 11] The children of Pahath-moab, of the children of Jeshua and Joab, two thousand, eight hundred and eighteen.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 12] The children of Elam, a thousand, two hundred and fifty-four.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 13] The children of Zattu, eight hundred and forty-five.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 14] The children of Zaccai, seven hundred and sixty.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 15] The children of Binnui, six hundred and forty-eight.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 16] The children of Bebai, six hundred and twenty-eight.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 17] The children of Azgad, two thousand, three hundred and twenty-two.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 18] The children of Adonikam, six hundred and sixty-seven.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 19] The children of Bigvai, two thousand and sixty-seven.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 20] The children of Adin, six hundred and fifty-five.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 21] The children of Ater, of Hezekiah, ninety-eight.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 22] The children of Hashum, three hundred and twenty-eight.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 23] The children of Bezai, three hundred and twenty-four.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 24] The children of Hariph, a hundred and twelve.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 25] The children of Gibeon, ninety-five.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 26] The men of Beth-lehem and Netophah, a hundred and eighty-eight.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 27] The men of Anathoth, a hundred and twenty-eight.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 28] The men of Beth-azmaveth, forty-two.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 29] The men of Kiriath-jearim, Chephirah, and Beeroth, seven hundred and forty-three.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 30] The men of Ramah and Geba, six hundred and twenty-one.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 31] The men of Michmas, a hundred and twenty-two.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 32] The men of Beth-el and Ai, a hundred and twenty-three.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 33] The men of the other Nebo, fifty-two.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 34] The children of the other Elam, a thousand, two hundred and fifty-four.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 35] The children of Harim, three hundred and twenty.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 36] The children of Jericho, three hundred and forty-five.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 37] The children of Lod, Hadid, and Ono, seven hundred and twenty-one.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 38] The children of Senaah, three thousand, nine hundred and thirty.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 39] The priests: the children of Jedaiah, of the family of Jeshua, nine hundred and seventy-three.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 40] The children of Immer, a thousand and fifty-two.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 41] The children of Pashhur, a thousand, two hundred and forty-seven.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 42] The children of Harim, a thousand and seventeen.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 43] The Levites: the children of Jeshua, of Kadmiel, of the children of Hodevah, seventy-four.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 44] The music-makers: the children of Asaph, a hundred and forty-eight.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 45] The door-keepers: the children of Shallum, the children of Ater, the children of Talmon, the children of Akkub, the children of Hatita, the children of Shobai, a hundred and thirty-eight.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 46] The Nethinim: the children of Ziha, the children of Hasupha, the children of Tabbaoth,
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 47] The children of Keros, the children of Sia, the children of Padon,
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 48] The children of Lebana, the children of Hagaba, the children of Salmai,
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 49] The children of Hanan, the children of Giddel, the children of Gahar,
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 50] The children of Reaiah, the children of Rezin, the children of Nekoda,
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 51] The children of Gazzam, the children of Uzza, the children of Paseah,
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 52] The children of Besai, the children of Meunim, the children of Nephushesim,
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 53] The children of Bakbuk, the children of Hakupha, the children of Harhur,
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 54] The children of Bazlith, the children of Mehida, the children of Harsha,
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 55] The children of Barkos, the children of Sisera, the children of Temah,
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 56] The children of Neziah, the children of Hatipha.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 57] The children of Solomon's servants: the children of Sotai, the children of Sophereth, the children of Perida,
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 58] The children of Jaala, the children of Darkon, the children of Giddel,
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 59] The children of Shephatiah, the children of Hattil, the children of Pochereth-hazzebaim, the children of Amon.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 60] All the Nethinim and the children of Solomon's servants were three hundred and ninety-two.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 61] All these were the people who went up from Tel-melah, Tel-harsha, Cherub, Addon, and Immer; but because they had no knowledge of their fathers' families or offspring, it was not certain if they were Israelites:
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 62] The children of Delaiah, the children of Tobiah, the children of Nekoda, six hundred and forty-two.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 63] And of the priests: the children of Hobaiah, the children of Hakkoz, the children of Barzillai, who was married to one of the daughters of Barzillai the Gileadite, and took their name.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 64] They made search for their record among the lists of families, but their names were nowhere to be seen, so they were looked on as unclean and no longer priests.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 65] And the Tirshatha said that they were not to have the most holy things for their food, till a priest came to give decision by the Urim and Thummim.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 66] The number of all the people together was forty-two thousand, three hundred and sixty;
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 67] As well as their men-servants and their women-servants, of whom there were seven thousand, three hundred and thirty-seven; and they had two hundred and forty-five men and women to make music.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 68] They had seven hundred and thirty-six horses, two hundred and forty-five transport beasts;
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 69] Four hundred and thirty-five camels, six thousand, seven hundred and twenty asses.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 70] And some of the heads of families gave money for the work. The Tirshatha gave into the store a thousand darics of gold, fifty basins, five hundred and thirty priests' robes.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 71] And some of the heads of families gave into the store for the work twenty thousand darics of gold, and two thousand, two hundred pounds of silver.
[BBE | EN | OT | Nehemiah | Chapter 7 | Verse 72] And that which the rest of the people gave was twenty thousand darics of gold, and two thousand pounds of silver, and sixty-seven priests' robes.
