[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 1] Now those who put down their names were Nehemiah the Tirshatha, the son of Hacaliah, and Zedekiah,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 2] Seraiah, Azariah, Jeremiah,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 3] Pashhur, Amariah, Malchijah,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 4] Hattush, Shebaniah, Malluch,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 5] Harim, Meremoth, Obadiah,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 6] Daniel, Ginnethon, Baruch,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 7] Meshullam, Abijah, Mijamin,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 8] Maaziah, Bilgai, Shemaiah; these were the priests.
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 9] And the Levites: by name, Jeshua, the son of Azaniah, Binnui, of the sons of Henadad, Kadmiel,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 10] And their brothers, Shebaniah, Hodiah, Kelita, Pelaiah, Hanan,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 11] Mica, Rehob, Hashabiah,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 12] Zaccur, Sherebiah, Shebaniah,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 13] Hodiah, Bani, Beninu.
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 14] The chiefs of the people: Parosh, Pahath-moab, Elam, Zattu, Bani,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 15] Bunni, Azgad, Bebai,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 16] Adonijah, Bigvai, Adin,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 17] Ater, Hezekiah, Azzur,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 18] Hodiah, Hashum, Bezai,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 19] Hariph, Anathoth, Nobai,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 20] Magpiash, Meshullam, Hezir,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 21] Meshezabel, Zadok, Jaddua,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 22] Pelatiah, Hanan, Anaiah,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 23] Hoshea, Hananiah, Hasshub,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 24] Hallohesh, Pilha, Shobek,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 25] Rehum, Hashabnah, Maaseiah,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 26] And Ahiah, Hanan, Anan,
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 27] Malluch, Harim, Baanah.
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 28] And the rest of the people, the priests, the Levites, the door-keepers, the music-makers, the Nethinim, and all those who had made themselves separate from the peoples of the lands, to keep the law of God, their wives, their sons, and their daughters, everyone who had knowledge and wisdom;
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 29] They were united with their brothers, their rulers, and put themselves under a curse and an oath, to keep their steps in the way of God's law, which was given by Moses, the servant of God, and to keep and do all the orders of the Lord, our Lord, and his decisions and his rules;
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 30] And that we would not give our daughters to the peoples of the lands, or take their daughters for our sons;
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 31] And if the peoples of the lands come to do trade in goods or food on the Sabbath day, that we would do no trade with them on the Sabbath or on a holy day: and that in the seventh year we would take no payment from any debtor.
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 32] And we made rules for ourselves, taxing ourselves a third of a shekel every year for the upkeep of the house of our God;
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 33] For the holy bread, and for the regular meal offering and the regular burned offering on the Sabbaths and at the new moon and the fixed feasts, and for the sin-offerings to take away the sin of Israel, and for all the work of the house of our God.
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 34] And we, the priests and the Levites and the people, made selection, by the decision of the Lord, of those who were to take the wood offering into the house of God, by families at the regular times, year by year, to be burned on the altar of the Lord our God, as it is recorded in the law;
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 35] And to take the first-fruits of our land, and the first-fruits of every sort of tree, year by year, into the house of the Lord;
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 36] As well as the first of our sons and of our cattle, as it is recorded in the law, and the first lambs of our herds and of our flocks, which are to be taken to the house of our God, to the priests who are servants in the house of our God:
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 37] And that we would take the first of our rough meal, and our lifted offerings, and the fruit of every sort of tree, and wine and oil, to the priests, to the rooms of the house of our God; and the tenth of the produce of our land to the Levites; for they, the Levites, take a tenth in all the towns of our ploughed land.
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 38] And the priest, the son of Aaron, is to be with the Levites, when the Levites take the tenths: and the Levites are to take a tenth of the tenths into the house of our God, to the rooms, into the store-house;
[BBE | EN | OT | Nehemiah | Chapter 10 | Verse 39] For the children of Israel and the children of Levi are to take the lifted offering of the grain and wine and oil into the rooms where the vessels of the holy place are, together with the priests and the door-keepers and the makers of music: and we will not give up caring for the house of our God.
