[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 1] Then Eliashib, the chief priest, got up with his brothers the priests, and took in hand the building of the sheep doorway; they made it holy and put its doors in position; as far as the tower of Hammeah they made it holy, even to the tower of Hananel.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 2] And by his side the men of Jericho were building. And after them, Zaccur, the son of Imri.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 3] The sons of Hassenaah were the builders of the fish doorway; they put its boards in place and put up its doors, with their locks and rods.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 4] By their side Meremoth, the son of Uriah, the son of Hakkoz, was making good the walls. Then Meshullam, the son of Berechiah, the son of Meshezabel; and by him, Zadok, the son of Baana.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 5] Near them, the Tekoites were at work; but their chiefs did not put their necks to the work of their Lord.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 6] Joiada, the son of Paseah, and Meshullam, the son of Besodeiah, made good the old doorway; they put its boards in place and put up its doors, with their locks and rods.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 7] By their side were working Melatiah the Gibeonite and Jadon the Meronothite, the men of Gibeon and of Mizpah from the seat of the ruler across the river.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 8] Near them was working Uzziel, the son of Harhaiah, the gold-worker. And by him was Hananiah, one of the perfume-makers, building up Jerusalem as far as the wide wall.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 9] Near them was working Rephaiah, the son of Hur, the ruler of half Jerusalem.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 10] By his side was Jedaiah, the son of Harumaph, opposite his house. And by him was Hattush, the son of Hashabneiah.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 11] Malchijah, the son of Harim, and Hasshub, the son of Pahath-moab, were working on another part, and the tower of the ovens.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 12] Near them was Shallum, the son of Hallohesh, the ruler of half Jerusalem, with his daughters.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 13] Hanun and the people of Zanoah were working on the doorway of the valley; they put it up and put up its doors, with their locks and rods, and a thousand cubits of wall as far as the doorway where the waste material was placed.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 14] And Malchijah, the son of Rechab, the ruler of the division of Beth-haccherem, made good the doorway of the waste, building it up and putting up its doors, with their locks and rods.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 15] And Shallun, the son of Col-hozeh, the ruler of the division of Mizpah, made good the doorway of the fountain, building it up and covering it and putting up its doors, with their locks and rods, with the wall of the pool of Shelah by the king's garden, as far as the steps which go down from the town of David.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 16] By his side was working Nehemiah, the son of Azbuk, ruler of half the division of Beth-zur, as far as the place opposite the last resting-places of David's family, and the pool which was made and the house of the men of war.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 17] Then came the Levites, Rehum, the son of Bani. By his side was working Hashabiah, ruler of half the division of Keilah, for his division.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 18] After him were working their brothers, Bavvai, the son of Henadad, ruler of half the division of Keilah.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 19] And by his side was working Ezer, the son of Jeshua, the ruler of Mizpah, making good another part opposite the way up to the store of arms at the turning of the wall.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 20] After him Baruch, the son of Zabbai, was hard at work on another part, from the turning of the wall to the door of the house of Eliashib, the chief priest.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 21] After him Meremoth, the son of Uriah, the son of Hakkoz, was working on another part, from the door of the house of Eliashib as far as the end of his house.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 22] After him were working the priests, the men of the lowland.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 23] After them came Benjamin and Hasshub, opposite their house. After them Azariah, the son of Maaseiah, the son of Ananiah, made good the wall by the house where he himself was living.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 24] After him Binnui, the son of Henadad, was working on another part, from the house of Azariah as far as the turning of the wall and the angle.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 25] Palal, the son of Uzai, made good the wall opposite the angle and the tower which comes out from the higher part of the king's house, by the open space of the watch. After him was Pedaiah, the son of Parosh.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 26] (Now the Nethinim were living in the Ophel, as far as the place facing the water doorway to the east, and the tower which comes out.)
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 27] After him the Tekoites were making good another part, opposite the great tower which comes out, and up to the wall of the Ophel.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 28] Further on, past the horse doorway, the priests were at work, every one opposite his house.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 29] After them Zadok, the son of Immer, was working opposite his house. And after him Shemaiah, the son of Shecaniah, the keeper of the east door.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 30] After him Hananiah, the son of Shelemiah, and Hanun, the sixth son of Zalaph, were making good another part. After him Meshullam, the son of Berechiah, made good the wall opposite his room.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 31] After him Malchijah, one of the gold-workers to the Nethinim and the traders, made good the wall opposite the doorway of Hammiphkad and as far as the way up to the angle.
[BBE | EN | OT | Nehemiah | Chapter 3 | Verse 32] And between the way up to the angle and the sheep door, the gold-workers and the traders made good the wall.
