[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 1] And the rulers of the people were living in Jerusalem: the rest of the people made selection, by the decision of chance, of one out of every ten to be living in Jerusalem, the holy town; the other nine to go to the other towns.
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 2] And the people gave a blessing to all the men who were freely offering to take up their places in Jerusalem.
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 3] Now these are the chiefs of the divisions of the country who were living in Jerusalem: but in the towns of Judah everyone was living on his heritage in the towns, that is, Israel, the priests, the Levites, the Nethinim, and the children of Solomon's servants.
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 4] And in Jerusalem there were living certain of the children of Judah and of Benjamin. Of the children of Judah: Athaiah, the son of Uzziah, the son of Zechariah, the son of Amariah, the son of Shephatiah, the son of Mahalalel, of the children of Perez;
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 5] And Maaseiah, the son of Baruch, the son of Col-hozeh, the son of Hazaiah, the son of Adaiah, the son of Joiarib, the son of Zechariah, the son of the Shilonite.
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 6] All the sons of Perez living in Jerusalem were four hundred and sixty-eight men of good position.
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 7] And these are the sons of Benjamin: Sallu, the son of Meshullam, the son of Joed, the son of Pedaiah, the son of Kolaiah, the son of Maaseiah, the son of Ithiel, the son of Jeshaiah.
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 8] And after him Gabbai, Sallai, nine hundred and twenty-eight.
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 9] And Joel, the son of Zichri, was their overseer; and Judah, the son of Hassenuah, was second over the town.
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 10] Of the priests: Jedaiah, the son of Joiarib, Jachin,
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 11] Seraiah, the son of Hilkiah, the son of Meshullam, the son of Zadok, the son of Meraioth, the son of Ahitub, the ruler of the house of God,
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 12] And their brothers who did the work of the house, eight hundred and twenty-two; and Adaiah, the son of Jeroham, the son of Pelaliah, the son of Amzi, the son of Zechariah, the son of Pashhur, the son of Malchijah,
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 13] And his brothers, heads of families, two hundred and forty-two; and Amashsai, the son of Azarel, the son of Ahzai, the son of Meshillemoth, the son of Immer,
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 14] And their brothers, men of war, a hundred and twenty-eight; and their overseer was Zabdiel, the son of Haggedolim.
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 15] And of the Levites: Shemaiah, the son of Hasshub, the son of Azrikam, the son of Hashabiah, the son of Bunni,
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 16] And Shabbethai and Jozabad, of the chiefs of the Levites, who were responsible for the outside business of the house of God;
[BBE | EN | OT | Nehemiah | Chapter 11 | Verse 17] And Mattaniah, the son of Mica, the son of Zabdi, the son of Asaph, who had to give the first note of the song of praise in prayer, and Bakbukiah, the second among his brothers, and Abda, the son of Shammua, the son of Galal, the son of Jeduthun.
