[BBE | EN | OT | Nehemiah | Chapter 4 | Verse 1] Now, Sanballat, hearing that we were building the wall, was very angry, and in his wrath made sport of the Jews.
[BBE | EN | OT | Nehemiah | Chapter 4 | Verse 2] And in the hearing of his countrymen and the army of Samaria he said, What are these feeble Jews doing? will they make themselves strong? will they make offerings? will they get the work done in a day? will they make the stones which have been burned come again out of the dust?
[BBE | EN | OT | Nehemiah | Chapter 4 | Verse 3] Now Tobiah the Ammonite was by him, and he said, Such is their building that if a fox goes up it, their stone wall will be broken down.
[BBE | EN | OT | Nehemiah | Chapter 4 | Verse 4] Give ear, O our God, for we are looked down on: let their words of shame be turned back on themselves, and let them be given up to wasting in a land where they are prisoners:
[BBE | EN | OT | Nehemiah | Chapter 4 | Verse 5] Let not their wrongdoing be covered or their sin washed away from before you: for they have made you angry before the builders.
[BBE | EN | OT | Nehemiah | Chapter 4 | Verse 6] So we went on building the wall; and all the wall was joined together half-way up: for the people were working hard.
[BBE | EN | OT | Nehemiah | Chapter 4 | Verse 7] But when it came to the ears of Sanballat and Tobiah and the Arabians and the Ammonites and the Ashdodites, that the building of the walls of Jerusalem was going forward and the broken places were being made good, they were full of wrath;
[BBE | EN | OT | Nehemiah | Chapter 4 | Verse 8] And they made designs, all of them together, to come and make an attack on Jerusalem, causing trouble there.
[BBE | EN | OT | Nehemiah | Chapter 4 | Verse 9] But we made our prayer to God, and had men on watch against them day and night because of them.
[BBE | EN | OT | Nehemiah | Chapter 4 | Verse 10] And Judah said, The strength of the workmen is giving way, and there is much waste material; it is impossible for us to put up the wall.
[BBE | EN | OT | Nehemiah | Chapter 4 | Verse 11] And those who were against us said, Without their knowledge and without their seeing us, we will come among them and put them to death, causing the work to come to a stop.
[BBE | EN | OT | Nehemiah | Chapter 4 | Verse 12] And it came about that when the Jews who were living near them came, they said to us ten times, From all directions they are coming against us.
[BBE | EN | OT | Nehemiah | Chapter 4 | Verse 13] So in the lowest part of the space at the back of the walls, in the open places, I put the people by families, with their swords, their spears, and their bows.
[BBE | EN | OT | Nehemiah | Chapter 4 | Verse 14] And after looking, I got up and said to the great ones and to the chiefs and to the rest of the people, Have no fear of them: keep in mind the Lord who is great and greatly to be feared, and take up arms for your brothers, your sons, and your daughters, your wives and your houses.
[BBE | EN | OT | Nehemiah | Chapter 4 | Verse 15] And when it came to the ears of those who were against us, that we had knowledge of their designs and that God had made their purpose come to nothing, we all went back to the wall, everyone to his work
[BBE | EN | OT | Nehemiah | Chapter 4 | Verse 16] And from that time, half of my servants were doing their part of the work, and half kept the spears and body-covers and the bows and the metal war-dresses; and the chiefs were at the back of the men of Judah.
[BBE | EN | OT | Nehemiah | Chapter 4 | Verse 17] Those who were building the wall and those who were moving material did their part, everyone working with one hand, with his spear in the other;
