[GNV | EN | OT | Micah | Chapter 7 | Verse 1] Woe is me, for I am as the sommer gatherings, and as the grapes of the vintage: there is no cluster to eate: my soule desired the first ripe fruites.
[GNV | EN | OT | Micah | Chapter 7 | Verse 2] The good man is perished out of the earth, and there is none righteous among men: they all lye in wayte for blood: euery man hunteth his brother with a net.
[GNV | EN | OT | Micah | Chapter 7 | Verse 3] To make good for the euil of their hands, the prince asked, and the iudge iudgeth for a reward: therefore the great man he speaketh out the corruption of his soule: so they wrapt it vp.
[GNV | EN | OT | Micah | Chapter 7 | Verse 4] The best of them is as a brier, and the most righteous of them is sharper then a thorne hedge: the day of thy watchmen and thy visitation commeth: then shalbe their confusion.
[GNV | EN | OT | Micah | Chapter 7 | Verse 5] Trust ye not in a friend, neither put ye confidence in a counseller: keepe the doores of thy mouth from her that lyeth in thy bosome.
[GNV | EN | OT | Micah | Chapter 7 | Verse 6] For the sonne reuileth the father: ye daughter riseth vp against her mother: the daughter in lawe against her mother in lawe, and a mans enemies are the men of his owne house.
[GNV | EN | OT | Micah | Chapter 7 | Verse 7] Therefore I will looke vnto the Lord: I will waite for God my Sauiour: my God will heare me.
[GNV | EN | OT | Micah | Chapter 7 | Verse 8] Reioyce not against me, O mine enemie: though I fall, I shall arise: when I shall sit in darkenesse, the Lord shalbe a light vnto me.
[GNV | EN | OT | Micah | Chapter 7 | Verse 9] I will beare the wrath of the Lord because I haue sinned against him, vntill he pleade my cause, and execute iudgement for me: then will he bring me foorth to the light, and I shall see his righteousnesse.
[GNV | EN | OT | Micah | Chapter 7 | Verse 10] Then she that is mine enemie, shall looke vpon it, and shame shall couer her, which said vnto me, Where is the Lord thy God? Mine eyes shall behold her: now shall she be troden downe as the myre of the streetes.
[GNV | EN | OT | Micah | Chapter 7 | Verse 11] This is ye day, that thy walles shalbe built: this day shall driue farre away the decree.
[GNV | EN | OT | Micah | Chapter 7 | Verse 12] In this day also they shall come vnto thee from Asshur, and from the strong cities, and from the strong holdes euen vnto the riuer, and from Sea to Sea, and from mountaine to mountaine.
[GNV | EN | OT | Micah | Chapter 7 | Verse 13] Notwithstanding, the lande shall be desolate because of them that dwell therein, and for the fruites of their inuentions.
[GNV | EN | OT | Micah | Chapter 7 | Verse 14] Feed thy people with thy rod, the flocke of thine heritage (which dwell solitarie in the wood) as in the middes of Carmel: let them feede in Bashan and Gilead, as in olde time.
[GNV | EN | OT | Micah | Chapter 7 | Verse 15] According to the dayes of thy comming out of the lande of Egypt, will I shewe vnto him marueilous things.
[GNV | EN | OT | Micah | Chapter 7 | Verse 16] The nations shall see, and be confounded for all their power: they shall lay their hande vpon their mouth: their eares shall be deafe.
[GNV | EN | OT | Micah | Chapter 7 | Verse 17] They shall licke the dust like a serpent: they shall mooue out of their holes like wormes: they shalbe afraide of the Lord our God, and shall feare because of thee.
[GNV | EN | OT | Micah | Chapter 7 | Verse 18] Who is a God like vnto thee, that taketh away iniquitie, and passeth by the transgression of the remnant of his heritage! He reteineth not his wrath for euer, because mercie pleaseth him.
[GNV | EN | OT | Micah | Chapter 7 | Verse 19] He will turne againe, and haue compassion vpon vs: he will subdue our iniquities, and cast all their sinnes into the bottome of the sea.
[GNV | EN | OT | Micah | Chapter 7 | Verse 20] Thou wilt perfourme thy trueth to Iaakob, and mercie to Abraham, as thou hast sworne vnto our fathers in olde time.
