[WEBSTER | EN | OT | Zephaniah | Chapter 1 | Verse 1] The word of the LORD which came to Zephaniah the son of Cushi, the son of Gedaliah, the son of Amariah, the son of Hizkiah, in the days of Josiah the son of Amon, king of Judah.
[WEBSTER | EN | OT | Zephaniah | Chapter 1 | Verse 2] I will utterly consume all things from off the land, saith the LORD.
[WEBSTER | EN | OT | Zephaniah | Chapter 1 | Verse 3] I will consume man and beast; I will consume the fowls of the heaven, and the fishes of the sea, and the stumbling-blocks with the wicked; and I will cut off man from off the land, saith the LORD.
[WEBSTER | EN | OT | Zephaniah | Chapter 1 | Verse 4] I will also stretch out my hand upon Judah and upon all the inhabitants of Jerusalem; and I will cut off the remnant of Baal from this place, and the name of the Chemarims with the priests;
[WEBSTER | EN | OT | Zephaniah | Chapter 1 | Verse 5] And them that worship the host of heaven upon the house-tops; and them that worship and that swear by the LORD, and that swear by Malcham;
[WEBSTER | EN | OT | Zephaniah | Chapter 1 | Verse 6] And them that have turned back from the LORD; and those that have not sought the LORD, nor inquired for him.
[WEBSTER | EN | OT | Zephaniah | Chapter 1 | Verse 7] Hold thy peace at the presence of the Lord GOD: for the day of the LORD is at hand: for the LORD hath prepared a sacrifice, he hath invited his guests.
[WEBSTER | EN | OT | Zephaniah | Chapter 1 | Verse 8] And it shall come to pass in the day of the LORD'S sacrifice, that I will punish the princes, and the king's children, and all such as are clothed with foreign apparel.
[WEBSTER | EN | OT | Zephaniah | Chapter 1 | Verse 9] In the same day also will I punish all those that leap on the threshhold, who fill their masters' houses with violence and deceit.
[WEBSTER | EN | OT | Zephaniah | Chapter 1 | Verse 10] And it shall come to pass in that day, saith the LORD, that there shall be the noise of a cry from the fish-gate, and a howling from the second, and a great crashing from the hills.
[WEBSTER | EN | OT | Zephaniah | Chapter 1 | Verse 11] Howl, ye inhabitants of Maktesh, for all the merchant people are cut down; all they that bear silver are cut off.
[WEBSTER | EN | OT | Zephaniah | Chapter 1 | Verse 12] And it shall come to pass at that time, that I will search Jerusalem with candles, and punish the men that are settled on their lees: that say in their heart, The LORD will not do good, neither will he do evil.
[WEBSTER | EN | OT | Zephaniah | Chapter 1 | Verse 13] Therefore their goods shall become a booty, and their houses a desolation: they shall also build houses, but not inhabit them ; and they shall plant vineyards, but not drink the wine of them.
[WEBSTER | EN | OT | Zephaniah | Chapter 1 | Verse 14] The great day of the LORD is near, it is near, and hasteth greatly, even the voice of the day of the LORD: the mighty man shall cry there bitterly.
[WEBSTER | EN | OT | Zephaniah | Chapter 1 | Verse 15] That day is a day of wrath, a day of trouble and distress, a day of wasting and desolation, a day of darkness and gloominess, a day of clouds and thick darkness,
[WEBSTER | EN | OT | Zephaniah | Chapter 1 | Verse 16] A day of the trumpet and alarm against the fortified cities, and against the high towers.
[WEBSTER | EN | OT | Zephaniah | Chapter 1 | Verse 17] And I will bring distress upon men, that they shall walk like blind men, because they have sinned against the LORD: and their blood shall be poured out as dust, and their flesh as the dung.
[WEBSTER | EN | OT | Zephaniah | Chapter 1 | Verse 18] Neither their silver nor their gold shall be able to deliver them in the day of the LORD'S wrath; but the whole land shall be devoured by the fire of his jealousy: for he will make even a speedy riddance of all them that dwell in the land.
