[IRV | PA | NT | Luke | Chapter 15 | Verse 1] ਬਹੁਤ ਸਾਰੇ ਚੂੰਗੀ ਲੈਣ ਵਾਲੇ ਅਤੇ ਪਾਪੀ, ਯਿਸੂ ਦੀ ਸੁਣਨ ਲਈ ਉਸ ਦੇ ਕੋਲ ਆਉਂਦੇ ਸਨ।
[IRV | PA | NT | Luke | Chapter 15 | Verse 2] ਫ਼ਰੀਸੀ ਅਤੇ ਉਪਦੇਸ਼ਕ ਕੁੜ੍ਹਨ ਲੱਗੇ ਅਤੇ ਕਿਹਾ ਜੋ ਇਹ ਤਾਂ ਪਾਪੀਆਂ ਨੂੰ ਕਬੂਲ ਕਰਦਾ ਅਤੇ ਉਨ੍ਹਾਂ ਨਾਲ ਖਾਂਦਾ ਹੈ!
[IRV | PA | NT | Luke | Chapter 15 | Verse 3] ਫਿਰ ਯਿਸੂ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਇਹ ਦ੍ਰਿਸ਼ਟਾਂਤ ਦੇ ਕੇ ਆਖਿਆ,
[IRV | PA | NT | Luke | Chapter 15 | Verse 4] ਤੁਹਾਡੇ ਵਿੱਚੋਂ ਉਹ ਕਿਹੜਾ ਮਨੁੱਖ ਹੈ ਜਿਸ ਦੇ ਕੋਲ ਸੌ ਭੇਡਾਂ ਹੋਣ ਅਤੇ ਜੇ ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਇੱਕ ਗੁਆਚ ਜਾਵੇ ਤਾਂ ਉਹ ਨੜਿੰਨਵਿਆਂ ਨੂੰ ਉਜਾੜ ਵਿੱਚ ਛੱਡ ਕੇ ਉਸ ਗੁਆਚੀ ਹੋਈ ਦੀ ਭੇਡ ਦੀ ਖ਼ੋਜ ਵਿੱਚ ਨਾ ਜਾਵੇ ਜਦ ਤੱਕ ਉਹ ਉਸ ਨੂੰ ਨਾ ਲੱਭੇ?
[IRV | PA | NT | Luke | Chapter 15 | Verse 5] ਅਤੇ ਜਦ ਲੱਭ ਪਵੇ ਤਾਂ ਉਹ ਖੁਸ਼ੀ ਨਾਲ ਉਸ ਨੂੰ ਆਪਣਿਆਂ ਮੋਢਿਆਂ ਉੱਤੇ ਚੁੱਕ ਲੈਂਦਾ ਹੈ,
[IRV | PA | NT | Luke | Chapter 15 | Verse 6] ਅਤੇ ਘਰ ਜਾ ਕੇ ਆਪਣੇ ਮਿੱਤਰਾਂ ਅਤੇ ਗੁਆਂਢੀਆਂ ਨੂੰ ਬੁਲਾਉਂਦਾ ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਦਾ ਹੈ ਕਿ ਮੇਰੇ ਨਾਲ ਖੁਸ਼ੀ ਮਨਾਓ ਕਿਉਂ ਜੋ ਮੈਨੂੰ ਆਪਣੀ ਗੁਆਚੀ ਹੋਈ ਭੇਡ ਲੱਭ ਗਈ ਹੈ।
[IRV | PA | NT | Luke | Chapter 15 | Verse 7] ਮੈਂ ਤੁਹਾਨੂੰ ਆਖਦਾ ਹਾਂ ਜੋ ਇਸੇ ਤਰ੍ਹਾਂ ਸਵਰਗ ਵਿੱਚ ਵੀ ਇੱਕ ਤੋਬਾ ਕਰਨ ਵਾਲੇ ਪਾਪੀ ਕੇ ਕਾਰਨ ਬਹੁਤ ਖੁਸ਼ੀ ਹੋਵੇਗੀ, ਜਿੰਨੀ ਕਿ ਉਨ੍ਹਾਂ ਨੜਿੰਨਵਿਆਂ ਧਰਮੀਆਂ ਦੇ ਕਾਰਨ ਨਹੀਂ ਜਿਨ੍ਹਾਂ ਨੂੰ ਤੋਬਾ ਕਰਨ ਦੀ ਲੋੜ ਨਹੀਂ ਹੈ।
[IRV | PA | NT | Luke | Chapter 15 | Verse 8] ਜਾਂ ਕਿਹੜੀ ਔਰਤ ਹੈ ਜਿਹ ਦੇ ਕੋਲ ਦੱਸ ਸਿੱਕੇ ਹੋਣ ਅਤੇ ਜੇ ਇੱਕ ਸਿੱਕਾ ਗੁਆਚ ਜਾਵੇ ਤਾਂ ਉਹ ਦੀਵਾ ਜਗ੍ਹਾ ਕੇ ਅਤੇ ਘਰ ਦੀ ਸਾਫ਼ ਸਫ਼ਾਈ ਕਰ ਕੇ ਉਹ ਨੂੰ ਯਤਨ ਨਾਲ ਲੱਭਦੀ ਹੈ, ਜਦ ਤੱਕ ਉਸ ਨੂੰ ਨਾ ਲੱਭੇ?
[IRV | PA | NT | Luke | Chapter 15 | Verse 9] ਅਤੇ ਜਦ ਲੱਭ ਲਏ ਤਾਂ ਆਪਣੀਆਂ ਸਹੇਲੀਆਂ ਅਤੇ ਗੁਆਂਢਣਾ ਨੂੰ ਬੁਲਾ ਕੇ ਆਖਦੀ ਹੈ, ਮੇਰੇ ਨਾਲ ਖੁਸ਼ੀ ਮਨਾਓ ਕਿਉਂ ਜੋ ਮੈਂ ਆਪਣਾ ਗੁਆਚਿਆ ਹੋਇਆ ਸਿੱਕਾ ਲੱਭ ਲਿਆ ਹੈ।
[IRV | PA | NT | Luke | Chapter 15 | Verse 10] ਮੈਂ ਤੁਹਾਨੂੰ ਆਖਦਾ ਹਾਂ ਜੋ ਇੱਕ ਤੋਬਾ ਕਰਨ ਵਾਲੇ ਪਾਪੀ ਦੇ ਕਾਰਨ ਇਸੇ ਤਰ੍ਹਾਂ ਪਰਮੇਸ਼ੁਰ ਦਿਆਂ ਦੂਤਾਂ ਦੇ ਅੱਗੇ ਖੁਸ਼ੀ ਹੁੰਦੀ ਹੈ।
[IRV | PA | NT | Luke | Chapter 15 | Verse 11] ਫਿਰ ਯਿਸੂ ਨੇ ਕਿਹਾ ਕਿ ਇੱਕ ਆਦਮੀ ਦੇ ਦੋ ਪੁੱਤਰ ਸਨ।
