[IRV | PA | NT | Luke | Chapter 7 | Verse 1] ਜਦ ਉਹ ਆਪਣੀਆਂ ਸਾਰੀਆਂ ਗੱਲਾਂ ਲੋਕਾਂ ਨੂੰ ਕਹਿ ਚੁੱਕਿਆ ਤਾਂ ਕਫ਼ਰਨਾਹੂਮ ਵਿੱਚ ਆਇਆ।
[IRV | PA | NT | Luke | Chapter 7 | Verse 2] ਅਤੇ ਕਿਸੇ ਸੂਬੇਦਾਰ ਦਾ ਨੌਕਰ ਜਿਹੜਾ ਉਸ ਦਾ ਬਹੁਤ ਪਿਆਰਾ ਸੀ ਰੋਗ ਨਾਲ ਮਰਨ ਵਾਲਾ ਸੀ।
[IRV | PA | NT | Luke | Chapter 7 | Verse 3] ਉਸ ਨੇ ਯਿਸੂ ਦੀ ਖ਼ਬਰ ਸੁਣ ਕੇ ਯਹੂਦੀਆਂ ਦੇ ਕਈਆਂ ਬਜ਼ੁਰਗਾਂ ਨੂੰ ਉਸ ਦੇ ਕੋਲ ਭੇਜਿਆ ਅਤੇ ਉਸ ਅੱਗੇ ਬੇਨਤੀ ਕੀਤੀ ਜੋ ਆ ਕੇ ਮੇਰੇ ਨੌਕਰ ਨੂੰ ਚੰਗਾ ਕਰੇ।
[IRV | PA | NT | Luke | Chapter 7 | Verse 4] ਉਹ ਯਿਸੂ ਦੇ ਕੋਲ ਆਏ ਅਤੇ ਬੜੀ ਨਿਮਰਤਾ ਨਾਲ ਉਸ ਨੂੰ ਬੇਨਤੀ ਕਰ ਕੇ ਆਖਿਆ ਕਿ ਉਹ ਇਸ ਲਾਇਕ ਹੈ ਜੋ ਤੂੰ ਉਸ ਦੇ ਲਈ ਇਹ ਕੰਮ ਕਰੇਂ।
[IRV | PA | NT | Luke | Chapter 7 | Verse 5] ਕਿਉਂਕਿ ਉਹ ਸਾਡੀ ਕੌਮ ਨੂੰ ਪਿਆਰ ਕਰਦਾ ਹੈ ਨਾਲੇ ਉਸ ਨੇ ਆਪ ਸਾਡੇ ਲਈ ਪ੍ਰਾਰਥਨਾ ਘਰ ਬਣਵਾਇਆ ਹੈ।
[IRV | PA | NT | Luke | Chapter 7 | Verse 6] ਯਿਸੂ ਉਨ੍ਹਾਂ ਦੇ ਨਾਲ ਚੱਲਿਆ ਗਿਆ ਅਤੇ ਜਦ ਉਹ ਘਰ ਦੇ ਨੇੜੇ ਆਇਆ ਤਾਂ ਸੂਬੇਦਾਰ ਨੇ ਮਿੱਤਰਾਂ ਦੇ ਰਾਹੀਂ ਉਸ ਨੂੰ ਸੁਨੇਹਾ ਭੇਜਿਆ ਕਿ ਪ੍ਰਭੂ ਜੀ ਖੇਚਲ ਨਾ ਕਰ ਕਿਉਂਕਿ ਮੈਂ ਇਸ ਯੋਗ ਨਹੀਂ ਕਿ ਤੁਸੀਂ ਮੇਰੇ ਘਰ ਆਓ।
[IRV | PA | NT | Luke | Chapter 7 | Verse 7] ਇਸੇ ਕਾਰਨ ਮੈਂ ਆਪਣੇ ਆਪ ਨੂੰ ਤੇਰੇ ਕੋਲ ਆਉਣ ਦੇ ਵੀ ਯੋਗ ਨਾ ਸਮਝਿਆ ਜੇਕਰ ਤੂੰ ਇੱਕ ਸ਼ਬਦ ਹੀ ਕਹਿ ਦੇਵੇਂਗਾ ਤਾਂ ਮੇਰਾ ਸੇਵਕ ਚੰਗਾ ਹੋ ਜਾਵੇਗਾ।
[IRV | PA | NT | Luke | Chapter 7 | Verse 8] ਮੈਂ ਆਪ ਵੀ ਅਧਿਕਾਰੀਆਂ ਦੇ ਅਧੀਨ ਹਾਂ ਅਤੇ ਮੇਰੇ ਅਧਿਕਾਰ ਵਿੱਚ ਵੀ ਸਿਪਾਹੀ ਹਨ। ਜਿਸ ਸਿਪਾਹੀ ਨੂੰ ਮੈਂ ਹੁਕਮ ਦਿੰਦਾ ਹਾਂ, “ਜਾ” ਤਾਂ ਉਹ ਜਾਂਦਾ ਹੈ ਅਤੇ ਦੂਜੇ ਨੂੰ ਬੁਲਾਵਾਂ “ਆ” ਤਾਂ ਉਹ ਆਉਂਦਾ ਹੈ ਅਤੇ ਇਸੇ ਤਰ੍ਹਾਂ ਆਪਣੇ ਨੌਕਰ ਨੂੰ ਕਹਿੰਦਾਂ ਹਾਂ “ਇਹ ਕਰ”, ਤਾਂ ਉਹ ਕਰਦਾ ਹੈ।
[IRV | PA | NT | Luke | Chapter 7 | Verse 9] ਯਿਸੂ ਇਹ ਗੱਲਾਂ ਸੁਣ ਕੇ ਹੈਰਾਨ ਹੋਇਆ ਅਤੇ ਉਸ ਭੀੜ ਦੀ ਵੱਲ ਜੋ ਉਸ ਦੇ ਮਗਰ ਚੱਲੀ ਆਉਂਦੀ ਸੀ ਮੁੜ ਕੇ ਕਿਹਾ, ਮੈਂ ਤੁਹਾਨੂੰ ਆਖਦਾ ਹਾਂ ਮੈਂ ਇਸ ਤਰ੍ਹਾਂ ਦਾ ਵਿਸ਼ਵਾਸ ਇਸਰਾਏਲ ਵਿੱਚ ਵੀ ਨਹੀਂ ਵੇਖਿਆ!
[IRV | PA | NT | Luke | Chapter 7 | Verse 10] ਜੋ ਭੇਜੇ ਗਏ ਸਨ ਉਨ੍ਹਾਂ ਘਰ ਮੁੜ ਕੇ ਉਸ ਨੌਕਰ ਨੂੰ ਚੰਗਾ ਹੋਇਆ ਵੇਖਿਆ।
[IRV | PA | NT | Luke | Chapter 7 | Verse 11] ਇਸ ਦੇ ਪਿੱਛੋਂ ਇਹ ਹੋਇਆ ਯਿਸੂ ਨਾਈਨ ਨਾਮ ਦੇ ਇੱਕ ਨਗਰ ਨੂੰ ਗਿਆ ਅਤੇ ਉਸ ਦੇ ਚੇਲੇ ਅਤੇ ਵੱਡੀ ਭੀੜ ਉਸ ਦੇ ਨਾਲ ਤੁਰੀ ਜਾਂਦੀ ਸੀ।
