[IRV | PA | NT | Luke | Chapter 19 | Verse 1] ਯਿਸੂ ਯਰੀਹੋ ਦੇ ਵਿੱਚੋਂ ਦੀ ਨਿੱਕਲ ਰਿਹਾ ਸੀ।
[IRV | PA | NT | Luke | Chapter 19 | Verse 2] ਵੇਖੋ ਜ਼ੱਕੀ ਨਾਮ ਦਾ ਇੱਕ ਆਦਮੀ ਸੀ, ਜਿਹੜਾ ਚੁੰਗੀ ਲੈਣ ਵਾਲਿਆਂ ਦਾ ਸਰਦਾਰ ਅਤੇ ਧਨਵਾਨ ਸੀ।
[IRV | PA | NT | Luke | Chapter 19 | Verse 3] ਅਤੇ ਉਸ ਨੇ ਯਿਸੂ ਨੂੰ ਵੇਖਣ ਦਾ ਯਤਨ ਕੀਤਾ ਜੋ ਉਹ ਕੌਣ ਹੈ ਪਰ ਭੀੜ ਦੇ ਕਾਰਨ ਵੇਖ ਨਾ ਸਕਿਆ ਕਿਉਂ ਜੋ ਉਸ ਦਾ ਕੱਦ ਮਧਰਾ ਸੀ।
[IRV | PA | NT | Luke | Chapter 19 | Verse 4] ਸੋ ਉਹ ਅੱਗੇ ਦੌੜ ਕੇ ਇੱਕ ਗੁੱਲਰ ਦੇ ਰੁੱਖ ਉੱਤੇ ਚੜ੍ਹ ਗਿਆ ਜੋ ਯਿਸੂ ਨੂੰ ਵੇਖ ਸਕੇ ਕਿਉਂ ਜੋ ਉਸ ਨੇ ਉਸੇ ਰਸਤੇ ਲੰਘਣਾ ਸੀ।
[IRV | PA | NT | Luke | Chapter 19 | Verse 5] ਜਦ ਯਿਸੂ ਉਸ ਜਗਾ ਆਇਆ ਤਾਂ ਉੱਪਰ ਨਜ਼ਰ ਮਾਰ ਕੇ ਉਸ ਨੂੰ ਆਖਿਆ, ਹੇ ਜ਼ੱਕੀ ਛੇਤੀ ਨਾਲ ਉੱਤਰ ਆ ਕਿਉਂਕਿ ਅੱਜ ਮੈਂ ਤੇਰੇ ਹੀ ਘਰ ਠਹਿਰਣਾ ਹੈ।
[IRV | PA | NT | Luke | Chapter 19 | Verse 6] ਤਾਂ ਉਹ ਛੇਤੀ ਉੱਤਰ ਆਇਆ ਅਤੇ ਖੁਸ਼ੀ ਨਾਲ ਉਸ ਨੂੰ ਆਦਰ-ਸਤਿਕਾਰ ਨਾਲ ਘਰ ਲੈ ਗਿਆ।
[IRV | PA | NT | Luke | Chapter 19 | Verse 7] ਤਾਂ ਸਭ ਵੇਖ ਕੇ ਕੁੜ੍ਹਨ ਲੱਗੇ ਅਤੇ ਬੋਲੇ ਜੋ ਉਹ ਇੱਕ ਪਾਪੀ ਆਦਮੀ ਦੇ ਘਰ ਜਾ ਠਹਿਰਿਆ ਹੈ।
[IRV | PA | NT | Luke | Chapter 19 | Verse 8] ਤਦ ਜ਼ੱਕੀ ਨੇ ਖੜ੍ਹੇ ਹੋ ਕੇ ਪ੍ਰਭੂ ਨੂੰ ਕਿਹਾ, ਪ੍ਰਭੂ ਜੀ ਮੈਂ ਆਪਣੀ ਅੱਧੀ ਜਾਇਦਾਦ ਗਰੀਬਾਂ ਨੂੰ ਵੰਡ ਦਿੰਦਾ ਹਾਂ ਅਤੇ ਜੇ ਮੈਂ ਕਿਸੇ ਕੋਲੋਂ ਧੋਖੇ ਨਾਲ ਲਿਆ ਹੈ, ਤਾਂ ਚਾਰ ਗੁਣਾ ਮੋੜ ਦਿਆਂਗਾ।
[IRV | PA | NT | Luke | Chapter 19 | Verse 9] ਯਿਸੂ ਨੇ ਉਸ ਨੂੰ ਆਖਿਆ, ਅੱਜ ਇਸ ਘਰ ਵਿੱਚ ਮੁਕਤੀ ਆਈ ਹੈ, ਜੋ ਇਹ ਵੀ ਅਬਰਾਹਾਮ ਦਾ ਪੁੱਤਰ ਹੈ।
[IRV | PA | NT | Luke | Chapter 19 | Verse 10] ਕਿਉਂ ਜੋ ਮਨੁੱਖ ਦਾ ਪੁੱਤਰ ਗੁਆਚੇ ਹੋਏ ਨੂੰ ਲੱਭਣ ਅਤੇ ਬਚਾਉਣ ਆਇਆ ਹੈ।
[IRV | PA | NT | Luke | Chapter 19 | Verse 11] ਜਦ ਉਹ ਇਹ ਗੱਲਾਂ ਨੂੰ ਸੁਣਦੇ ਸਨ ਤਾਂ ਯਿਸੂ ਨੇ ਹੋਰ ਇੱਕ ਦ੍ਰਿਸ਼ਟਾਂਤ ਦਿੱਤਾ, ਇਸ ਲਈ ਜੋ ਉਹ ਯਰੂਸ਼ਲਮ ਦੇ ਨੇੜੇ ਸੀ ਅਤੇ ਉਹ ਸਮਝੇ ਸਨ ਕਿ ਪਰਮੇਸ਼ੁਰ ਦਾ ਰਾਜ ਹੁਣੇ ਪਰਗਟ ਹੋਣ ਵਾਲਾ ਹੈ।
