[IRV | PA | NT | Luke | Chapter 14 | Verse 1] ਸਬਤ ਦੇ ਦਿਨ ਉਹ ਫ਼ਰੀਸੀ ਸਰਦਾਰਾਂ ਵਿੱਚੋਂ ਕਿਸੇ ਦੇ ਘਰ ਭੋਜਨ ਕਰਨ ਲਈ ਗਿਆ ਤਦ ਉਹ ਉਸ ਤੇ ਨਜ਼ਰ ਰੱਖੇ ਹੋਏ ਸਨ।
[IRV | PA | NT | Luke | Chapter 14 | Verse 2] ਅਤੇ ਵੇਖੋ ਇੱਕ ਮਨੁੱਖ ਸੀ ਜਿਸ ਨੂੰ ਜਲੋਧਰੀ ਦੀ ਬਿਮਾਰੀ ਸੀ।
[IRV | PA | NT | Luke | Chapter 14 | Verse 3] ਯਿਸੂ ਨੇ ਬਿਵਸਥਾ ਦੇ ਉਪਦੇਸ਼ਕਾਂ ਅਤੇ ਫ਼ਰੀਸੀਆਂ ਨੂੰ ਪੁੱਛਿਆ, ਭਲਾ, ਸਬਤ ਦੇ ਦਿਨ ਚੰਗਾ ਕਰਨਾ ਯੋਗ ਹੈ ਕਿ ਨਹੀਂ?
[IRV | PA | NT | Luke | Chapter 14 | Verse 4] ਪਰ ਉਹਨਾਂ ਕੁਝ ਉੱਤਰ ਨਾ ਦਿੱਤਾ। ਤਾਂ ਯਿਸੂ ਨੇ ਉਸ ਨੂੰ ਛੂਹ ਕੇ ਚੰਗਾ ਕੀਤਾ ਅਤੇ ਤੋਰ ਦਿੱਤਾ।
[IRV | PA | NT | Luke | Chapter 14 | Verse 5] ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ ਤੁਹਾਡੇ ਵਿੱਚੋਂ ਕੌਣ ਹੈ ਜੇਕਰ ਉਸ ਦਾ ਗਧਾ ਜਾਂ ਬੈਲ ਖੂਹ ਵਿੱਚ ਡਿੱਗ ਪਵੇ ਤਾਂ ਉਹ ਝੱਟ ਸਬਤ ਦੇ ਦਿਨ ਉਸ ਨੂੰ ਬਾਹਰ ਨਾ ਕੱਢੇਗਾ।
[IRV | PA | NT | Luke | Chapter 14 | Verse 6] ਅਤੇ ਉਹ ਯਿਸੂ ਨੂੰ ਇਸ ਦਾ ਉੱਤਰ ਨਾ ਦੇ ਸਕੇ।
[IRV | PA | NT | Luke | Chapter 14 | Verse 7] ਜਦ ਉਸ ਨੇ ਵੇਖਿਆ ਜੋ ਮਹਿਮਾਨ ਕਿਸ ਤਰ੍ਹਾਂ ਉੱਚੀਆਂ ਥਾਵਾਂ ਨੂੰ ਪਸੰਦ ਕਰਦੇ ਹਨ ਤਾਂ ਉਨ੍ਹਾਂ ਨੂੰ ਇਹ ਦ੍ਰਿਸ਼ਟਾਂਤ ਦੇ ਕੇ ਕਿਹਾ
[IRV | PA | NT | Luke | Chapter 14 | Verse 8] ਕਿ ਜਦ ਕੋਈ ਤੈਨੂੰ ਵਿਆਹ ਵਿੱਚ ਬੁਲਾਵੇ ਤਾਂ ਮੁੱਖ ਸਥਾਨ ਤੇ ਨਾ ਬੈਠ। ਕੀ ਜਾਣੀਏ ਕਿ ਉਸ ਨੇ ਤੇਰੇ ਨਾਲੋਂ ਕਿਸੇ ਆਦਰ ਵਾਲੇ ਨੂੰ ਬੁਲਾਇਆ ਹੋਵੇ।
[IRV | PA | NT | Luke | Chapter 14 | Verse 9] ਅਤੇ ਜਿਸ ਨੇ ਤੈਨੂੰ ਅਤੇ ਉਸ ਨੂੰ ਬੁਲਾਇਆ ਹੈ ਤੇਰੇ ਕੋਲ ਆਣ ਕੇ ਆਖੇ ਕਿ ਇਹ ਜਗ੍ਹਾ ਛੱਡ ਅਤੇ ਤੈਨੂੰ ਸ਼ਰਮਿੰਦਗੀ ਨਾਲ ਸਭ ਤੋਂ ਮਗਰ ਬੈਠਣਾ ਪਵੇ।
[IRV | PA | NT | Luke | Chapter 14 | Verse 10] ਪਰ ਜਦ ਤੈਨੂੰ ਬੁਲਇਆ ਜਾਵੇ ਤਾਂ ਸਭ ਤੋਂ ਪਿਛੇ ਬੈਠ, ਫੇਰ ਜਿਸ ਨੇ ਤੈਨੂੰ ਬੁਲਾਇਆ ਹੈ ਜਦ ਆਵੇ ਤਦ ਤੈਨੂੰ ਆਖੇ, “ਮਿੱਤਰਾ, ਅੱਗੇ ਆ ਜਾ” ਤਾਂ ਉਨ੍ਹਾਂ ਸਭਨਾਂ ਦੇ ਸਾਹਮਣੇ ਜੋ ਤੇਰੇ ਨਾਲ ਖਾਣ ਬੈਠੇ ਹਨ ਤੇਰਾ ਆਦਰ ਹੋਵੇਗਾ।
[IRV | PA | NT | Luke | Chapter 14 | Verse 11] ਕਿਉਂਕਿ ਹਰੇਕ ਜੋ ਆਪਣੇ ਆਪ ਨੂੰ ਉੱਚਾ ਕਰਦਾ ਹੈ ਸੋ ਨੀਵਾਂ ਕੀਤਾ ਜਾਵੇਗਾ ਅਤੇ ਜੋ ਆਪਣੇ ਆਪ ਨੂੰ ਨੀਵਾਂ ਕਰਦਾ ਹੈ ਸੋ ਉੱਚਾ ਕੀਤਾ ਜਾਵੇਗਾ।
