[IRV | PA | NT | Luke | Chapter 6 | Verse 1] ਇੱਕ ਸਬਤ ਦੇ ਦਿਨ ਇਹ ਹੋਇਆ ਜਦੋਂ ਉਹ ਖੇਤਾਂ ਵਿੱਚੋਂ ਦੀ ਜਾ ਰਿਹਾ ਸੀ, ਅਤੇ ਉਸ ਦੇ ਚੇਲੇ ਸਿੱਟੇ ਤੋੜ ਕੇ ਖਾਂਦੇ ਜਾਂਦੇ ਸਨ।
[IRV | PA | NT | Luke | Chapter 6 | Verse 2] ਤਦ ਫ਼ਰੀਸੀਆਂ ਵਿੱਚੋਂ ਕਈਆਂ ਨੇ ਆਖਿਆ, ਤੁਸੀਂ ਉਹ ਕੰਮ ਕਿਉਂ ਕਰਦੇ ਹੋ ਜਿਹੜਾ ਸਬਤ ਦੇ ਦਿਨ ਕਰਨਾ ਯੋਗ ਨਹੀਂ ਹੈ?
[IRV | PA | NT | Luke | Chapter 6 | Verse 3] ਯਿਸੂ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਉੱਤਰ ਦਿੱਤਾ, ਕੀ ਤੁਸੀਂ ਇਹ ਨਹੀਂ ਪੜ੍ਹਿਆ ਕਿ ਦਾਊਦ ਨੇ ਕੀ ਕੀਤਾ ਜਦ ਉਹ ਅਤੇ ਉਸ ਦੇ ਸਾਥੀ ਭੁੱਖੇ ਸਨ?
[IRV | PA | NT | Luke | Chapter 6 | Verse 4] ਉਹ ਕਿਵੇਂ ਪਰਮੇਸ਼ੁਰ ਦੇ ਘਰ ਗਿਆ ਅਤੇ ਚੜ੍ਹਾਵੇ ਦੀਆਂ ਰੋਟੀਆਂ ਲੈ ਕੇ ਖਾਧੀਆਂ, ਜਿਨ੍ਹਾਂ ਦਾ ਖਾਣਾ ਜਾਜਕਾਂ ਤੋਂ ਬਿਨ੍ਹਾਂ ਹੋਰ ਕਿਸੇ ਨੂੰ ਯੋਗ ਨਹੀਂ ਅਤੇ ਆਪਣੇ ਸਾਥੀਆਂ ਨੂੰ ਵੀ ਦਿੱਤੀਆਂ?
[IRV | PA | NT | Luke | Chapter 6 | Verse 5] ਫੇਰ ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ ਕਿ ਮਨੁੱਖ ਦਾ ਪੁੱਤਰ ਸਬਤ ਦੇ ਦਿਨ ਦਾ ਮਾਲਕ ਹੈ।
[IRV | PA | NT | Luke | Chapter 6 | Verse 6] ਇੱਕ ਹੋਰ ਸਬਤ ਦੇ ਦਿਨ ਅਜਿਹਾ ਹੋਇਆ ਕਿ ਉਹ ਪ੍ਰਾਰਥਨਾ ਘਰ ਵਿੱਚ ਜਾ ਕੇ ਉਪਦੇਸ਼ ਦੇਣ ਲੱਗਾ, ਉੱਥੇ ਇੱਕ ਮਨੁੱਖ ਸੀ ਜਿਸ ਦਾ ਸੱਜਾ ਹੱਥ ਸੁੱਕਿਆ ਹੋਇਆ ਸੀ।
[IRV | PA | NT | Luke | Chapter 6 | Verse 7] ਉਪਦੇਸ਼ਕ ਅਤੇ ਫ਼ਰੀਸੀ ਉਸ ਦੀ ਤਾੜ ਵਿੱਚ ਲੱਗੇ ਹੋਏ ਸਨ ਕਿ ਭਲਾ ਵੇਖੀਏ ਉਹ ਸਬਤ ਦੇ ਦਿਨ ਚੰਗਾ ਕਰੇਗਾ ਕਿ ਨਹੀਂ? ਇਸ ਲਈ ਜੋ ਉਹਨਾਂ ਨੂੰ ਯਿਸੂ ਉੱਤੇ ਦੋਸ਼ ਲਾਉਣ ਦਾ ਮੌਕਾ ਮਿਲੇ।
[IRV | PA | NT | Luke | Chapter 6 | Verse 8] ਤਦ ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਦੇ ਵਿਚਾਰਾਂ ਨੂੰ ਜਾਣ ਕੇ ਉਸ ਸੁੱਕੇ ਹੱਥ ਵਾਲੇ ਮਨੁੱਖ ਨੂੰ ਆਖਿਆ, ਉੱਠ ਅਤੇ ਸਾਹਮਣੇ ਆ ਕੇ ਖੜ੍ਹਾ ਹੋ ਜਾ ਅਤੇ ਉਹ ਉੱਠ ਖੜ੍ਹਾ ਹੋਇਆ।
[IRV | PA | NT | Luke | Chapter 6 | Verse 9] ਫੇਰ ਯਿਸੂ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ, ਮੈਂ ਤੁਹਾਡੇ ਤੋਂ ਪੁੱਛਦਾ ਹਾਂ ਕਿ ਸਬਤ ਦੇ ਦਿਨ ਭਲਾ ਕਰਨਾ ਯੋਗ ਹੈ ਜਾਂ ਬੁਰਾ ਕਰਨਾ? ਜਾਨ ਬਚਾਉਣੀ ਜਾਂ ਨਾਸ ਕਰਨੀ?।
[IRV | PA | NT | Luke | Chapter 6 | Verse 10] ਤਦ ਯਿਸੂ ਨੇ ਉਨ੍ਹਾਂ ਸਭਨਾਂ ਵੱਲ ਚਾਰੋਂ ਪਾਸੇ ਵੇਖ ਕੇ ਆਖਿਆ, “ਆਪਣਾ ਹੱਥ ਵਧਾ”। ਤਦ ਉਸ ਨੇ ਆਪਣਾ ਹੱਥ ਵਧਾਇਆ ਅਤੇ ਉਸ ਦਾ ਹੱਥ ਚੰਗਾ ਹੋ ਗਿਆ।
[IRV | PA | NT | Luke | Chapter 6 | Verse 11] ਪਰ ਉਹ ਗੁੱਸੇ ਨਾਲ ਭਰ ਗਏ ਅਤੇ ਆਪਸ ਵਿੱਚ ਗੱਲਾਂ ਕਰਨ ਲੱਗੇ ਕਿ ਅਸੀਂ ਯਿਸੂ ਨਾਲ ਕੀ ਕਰੀਏ?।
