[IRV | PA | NT | Luke | Chapter 20 | Verse 1] ਇੱਕ ਦਿਨ ਇਹ ਹੋਇਆ ਕਿ ਜਦ ਉਹ ਹੈਕਲ ਪ੍ਰਾਰਥਨਾ ਘਰ ਵਿੱਚ ਲੋਕਾਂ ਨੂੰ ਉਪਦੇਸ਼ ਕਰਦਾ ਅਤੇ ਖੁਸ਼ਖਬਰੀ ਸੁਣਾਉਂਦਾ ਸੀ, ਤਦ ਮੁੱਖ ਜਾਜਕ ਅਤੇ ਉਪਦੇਸ਼ਕ ਬਜ਼ੁਰਗਾਂ ਦੇ ਨਾਲ ਚੜ੍ਹ ਆਏ।
[IRV | PA | NT | Luke | Chapter 20 | Verse 2] ਅਤੇ ਉਸ ਨੂੰ ਕਹਿਣ ਲੱਗੇ ਕਿ ਸਾਨੂੰ ਦੱਸ, ਤੂੰ ਕਿਸ ਦੇ ਅਧਿਕਾਰ ਨਾਲ ਇਹ ਕੰਮ ਕਰਦਾ ਹੈਂ ਜਾ ਉਹ ਕੌਣ ਹੈ ਜਿਸ ਨੇ ਤੈਨੂੰ ਇਹ ਅਧਿਕਾਰ ਦਿੱਤਾ?
[IRV | PA | NT | Luke | Chapter 20 | Verse 3] ਪਰ ਯਿਸੂ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਉੱਤਰ ਦਿੱਤਾ, ਮੈਂ ਵੀ ਤੁਹਾਨੂੰ ਇੱਕ ਗੱਲ ਪੁੱਛਦਾ ਹਾਂ ਸੋ ਮੈਨੂੰ ਦੱਸੋ।
[IRV | PA | NT | Luke | Chapter 20 | Verse 4] ਯੂਹੰਨਾ ਦਾ ਬਪਤਿਸਮਾ ਸਵਰਗ ਵੱਲੋਂ ਸੀ ਜਾਂ ਮਨੁੱਖਾਂ ਵੱਲੋਂ?
[IRV | PA | NT | Luke | Chapter 20 | Verse 5] ਉਨ੍ਹਾਂ ਨੇ ਆਪਸ ਵਿੱਚ ਵਿਚਾਰ ਕਰ ਕੇ ਕਿਹਾ, ਜੇ ਆਖੀਏ ਸਵਰਗ ਵੱਲੋਂ ਤਾਂ ਉਹ ਸਾਨੂੰ ਕਹੇਗਾ, ਫਿਰ ਤੁਸੀਂ ਉਸ ਉੱਤੇ ਵਿਸ਼ਵਾਸ ਕਿਉਂ ਨਾ ਕੀਤਾ?
[IRV | PA | NT | Luke | Chapter 20 | Verse 6] ਅਤੇ ਜੇ ਅਸੀਂ ਆਖੀਏ ਮਨੁੱਖਾਂ ਵੱਲੋਂ ਤਾਂ ਸਭ ਲੋਕ ਸਾਨੂੰ ਪਥਰਾਓ ਕਰਨਗੇ ਕਿਉਂਕਿ ਉਹ ਯਕੀਨ ਨਾਲ ਜਾਣਦੇ ਹਨ, ਜੋ ਯੂਹੰਨਾ ਨਬੀ ਸੀ।
[IRV | PA | NT | Luke | Chapter 20 | Verse 7] ਤਦ ਉਨ੍ਹਾਂ ਨੇ ਉੱਤਰ ਦਿੱਤਾ, ਅਸੀਂ ਨਹੀਂ ਜਾਣਦੇ ਕਿ ਕਿੱਥੋਂ ਸੀ।
[IRV | PA | NT | Luke | Chapter 20 | Verse 8] ਯਿਸੂ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ, ਮੈਂ ਵੀ ਤੁਹਾਨੂੰ ਨਹੀਂ ਦੱਸਦਾ ਜੋ ਕਿਸ ਦੇ ਅਧਿਕਾਰ ਨਾਲ ਇਹ ਕੰਮ ਕਰਦਾ ਹਾਂ।
[IRV | PA | NT | Luke | Chapter 20 | Verse 9] ਤਦ ਉਹ ਲੋਕਾਂ ਨੂੰ ਇਹ ਦ੍ਰਿਸ਼ਟਾਂਤ ਸੁਣਾਉਣ ਲੱਗਾ ਕਿ ਇੱਕ ਮਨੁੱਖ ਨੇ ਅੰਗੂਰੀ ਬਾਗ਼ ਲਾਇਆ ਅਤੇ ਉਸ ਨੂੰ ਮਾਲੀਆਂ ਦੇ ਹੱਥ ਸੌਂਪ ਕੇ ਬਹੁਤ ਦਿਨਾਂ ਲਈ ਪਰਦੇਸ ਚੱਲਿਆ ਗਿਆ।
[IRV | PA | NT | Luke | Chapter 20 | Verse 10] ਅਤੇ ਉਸ ਨੇ ਰੁੱਤ ਸਮੇਂ ਇੱਕ ਨੌਕਰ ਨੂੰ ਮਾਲੀਆਂ ਕੋਲ ਭੇਜਿਆ ਜੋ ਉਹ ਬਾਗ਼ ਦੇ ਫਲ ਵਿੱਚੋਂ ਉਸ ਨੂੰ ਕੁਝ ਦੇਣ, ਪਰ ਮਾਲੀਆਂ ਨੇ ਉਸ ਨੂੰ ਮਾਰ ਕੁੱਟ ਕੇ ਖਾਲੀ ਹੱਥ ਵਾਪਸ ਭੇਜ ਦਿੱਤਾ।
[IRV | PA | NT | Luke | Chapter 20 | Verse 11] ਉਸ ਨੇ ਇੱਕ ਹੋਰ ਨੌਕਰ ਭੇਜਿਆ ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਉਸ ਨੂੰ ਵੀ ਮਾਰਿਆ ਕੁੱਟਿਆ ਅਤੇ ਉਸ ਦਾ ਅਪਮਾਨ ਕਰ ਕੇ ਖਾਲੀ ਹੱਥ ਵਾਪਸ ਭੇਜ ਦਿੱਤਾ।
