[IRV | PA | NT | Luke | Chapter 23 | Verse 1] ਉਨ੍ਹਾਂ ਦੀ ਸਾਰੀ ਸਭਾ ਉੱਠ ਕੇ ਯਿਸੂ ਨੂੰ ਪਿਲਾਤੁਸ ਦੇ ਕੋਲ ਲੈ ਗਈ।
[IRV | PA | NT | Luke | Chapter 23 | Verse 2] ਅਤੇ ਉਹ ਇਹ ਕਹਿ ਕੇ ਉਸ ਉੱਤੇ ਦੋਸ਼ ਲਾਉਣ ਲੱਗੇ ਕਿ ਅਸੀਂ ਇਸ ਨੂੰ ਸਾਡੀ ਕੌਮ ਨੂੰ ਭਰਮਾਉਂਦਿਆਂ ਅਤੇ ਕੈਸਰ ਨੂੰ ਕਰ ਦੇਣ ਤੋਂ ਮਨ੍ਹਾਂ ਕਰਦਿਆਂ ਅਤੇ ਆਪਣੇ ਆਪ ਨੂੰ ਮਸੀਹ ਰਾਜਾ ਕਹਿੰਦਿਆਂ ਸੁਣਿਆ ਹੈ।
[IRV | PA | NT | Luke | Chapter 23 | Verse 3] ਪਿਲਾਤੁਸ ਨੇ ਉਸ ਤੋਂ ਪੁੱਛਿਆ, “ਕੀ ਤੂੰ ਯਹੂਦੀਆਂ ਦਾ ਪਾਤਸ਼ਾਹ ਹੈਂ?” ਯਿਸੂ ਨੇ ਉਸ ਨੂੰ ਉੱਤਰ ਦਿੱਤਾ, ਤੂੰ ਸੱਚ ਆਖਿਆ ਹੈ।
[IRV | PA | NT | Luke | Chapter 23 | Verse 4] ਪਿਲਾਤੁਸ ਨੇ ਮੁੱਖ ਜਾਜਕਾਂ ਅਤੇ ਭੀੜ ਨੂੰ ਆਖਿਆ, ਮੈਂ ਇਸ ਮਨੁੱਖ ਵਿੱਚ ਕੋਈ ਦੋਸ਼ ਨਹੀਂ ਵੇਖਦਾ।
[IRV | PA | NT | Luke | Chapter 23 | Verse 5] ਪਰ ਉਹ ਹੋਰ ਵੀ ਜੋਰ ਦੇ ਕੇ ਬੋਲੇ ਕਿ ਉਹ ਗਲੀਲ ਤੋਂ ਲੈ ਕੇ ਇੱਥੇ ਤੱਕ ਸਾਰੇ ਯਹੂਦਿਯਾ ਵਿੱਚ ਸਿਖਾਉਂਦਾ ਹੋਇਆ, ਲੋਕਾਂ ਨੂੰ ਭੜਕਾਉਂਦਾ ਹੈ।
[IRV | PA | NT | Luke | Chapter 23 | Verse 6] ਪਿਲਾਤੁਸ ਨੇ ਇਹ ਸੁਣ ਕੇ ਪੁੱਛਿਆ, “ਕੀ ਇਹ ਮਨੁੱਖ ਗਲੀਲੀ ਹੈ?”
[IRV | PA | NT | Luke | Chapter 23 | Verse 7] ਅਤੇ ਜਦ ਉਸ ਨੇ ਮਲੂਮ ਕੀਤਾ ਜੋ ਉਹ ਹੇਰੋਦੇਸ ਦੀ ਰਿਆਸਤ ਦਾ ਹੈ ਤਾਂ ਉਸ ਨੂੰ ਹੇਰੋਦੇਸ ਦੇ ਕੋਲ ਭੇਜ ਦਿੱਤਾ, ਜਿਹੜਾ ਆਪ ਉਨ੍ਹੀਂ ਦਿਨੀਂ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਸੀ।
[IRV | PA | NT | Luke | Chapter 23 | Verse 8] ਹੇਰੋਦੇਸ ਯਿਸੂ ਨੂੰ ਵੇਖ ਕੇ ਬਹੁਤ ਖੁਸ਼ ਹੋਇਆ ਕਿਉਂ ਜੋ ਉਹ ਬਹੁਤ ਸਮੇਂ ਤੋਂ ਉਸ ਨੂੰ ਵੇਖਣਾ ਚਾਹੁੰਦਾ ਸੀ ਇਸ ਕਰਕੇ ਜੋ ਉਸ ਨੇ ਉਸ ਦੀ ਖ਼ਬਰ ਸੁਣੀ ਸੀ ਅਤੇ ਉਸ ਨੂੰ ਆਸ ਸੀ ਜੋ ਉਸ ਦੇ ਹੱਥੋਂ ਕੋਈ ਚਮਤਕਾਰ ਵੇਖੇ।
[IRV | PA | NT | Luke | Chapter 23 | Verse 9] ਉਸ ਨੇ ਯਿਸੂ ਤੋਂ ਬਹੁਤੀਆਂ ਗੱਲਾਂ ਪੁੱਛੀਆਂ, ਪਰ ਉਸ ਨੇ ਉਹ ਨੂੰ ਇੱਕ ਦਾ ਵੀ ਉੱਤਰ ਨਾ ਦਿੱਤਾ।
[IRV | PA | NT | Luke | Chapter 23 | Verse 10] ਮੁੱਖ ਜਾਜਕਾਂ ਅਤੇ ਉਪਦੇਸ਼ਕਾਂ ਨੇ ਖੜ੍ਹੇ ਹੋ ਕੇ ਵੱਡੇ ਜੋਸ਼ ਨਾਲ ਉਸ ਉੱਤੇ ਦੋਸ਼ ਲਾਇਆ।
[IRV | PA | NT | Luke | Chapter 23 | Verse 11] ਤਦ ਹੇਰੋਦੇਸ ਨੇ ਆਪਣੇ ਸਿਪਾਹੀਆਂ ਨਾਲ ਰਲ ਕੇ ਉਸ ਨੂੰ ਬੇਇੱਜ਼ਤ ਕੀਤਾ ਅਤੇ ਠੱਠਾ ਕੀਤਾ ਅਤੇ ਭੜਕੀਲੀ ਪੁਸ਼ਾਕ ਪਹਿਨਾ ਕੇ ਉਸ ਨੂੰ ਪਿਲਾਤੁਸ ਦੇ ਕੋਲ ਵਾਪਸ ਭੇਜ ਦਿੱਤਾ।
