[LXX | EL | OT | Job | Chapter 13 | Verse 1] Ἰδοὺ ταῦτα ἑώρακέ μου ὁ ὀφθαλμὸς, καὶ ἀκήκοέ μου τὸ οὖς.
[LXX | EL | OT | Job | Chapter 13 | Verse 2] Καὶ οἶδα ὅσα καὶ ὑμεῖς ἐπίστασθε, καὶ οὐκ ἀσυνετώτερός εἰμι ὑμῶν.
[LXX | EL | OT | Job | Chapter 13 | Verse 3] Οὐ μὴν δὲ ἀλλʼ ἐγὼ πρὸς Κύριον λαλήσω, ἐλέγξω δὲ ἐναντίον αὐτοῦ ἐὰν βούληται.
[LXX | EL | OT | Job | Chapter 13 | Verse 4] Ὑμεῖς δὲ ἐστὲ ἰατροὶ ἄδικοι, καὶ ἰαταὶ κακῶν πάντες.
[LXX | EL | OT | Job | Chapter 13 | Verse 5] Εἴη δὲ ὑμῖν κωφεῦσαι, καὶ ἀποβήσεται ὑμῖν σοφία.
[LXX | EL | OT | Job | Chapter 13 | Verse 6] Ἀκούσατε δὲ ἔλεγχον τοῦ στόματός μου, κρίσιν δὲ χειλέων μου προσέχετε.
[LXX | EL | OT | Job | Chapter 13 | Verse 7] Πότερον οὐκ ἔναντι Κυρίου λαλεῖτε, ἔναντι δὲ αὐτοῦ φθέγγεσθε δόλον;
[LXX | EL | OT | Job | Chapter 13 | Verse 8] Ἢ ὑποστελεῖσθε; ὑμεῖς δὲ αὐτοὶ κριταὶ γίνεσθε.
[LXX | EL | OT | Job | Chapter 13 | Verse 9] Καλὸν γὰρ ἐὰν ἐξιχνιάσῃ ὑμᾶς, εἰ γὰρ τὰ πάντα ποιοῦντες προστεθήσεσθε αὐτῷ,
[LXX | EL | OT | Job | Chapter 13 | Verse 10] οὐθὲν ἧττον ἐλέγξει ὑμᾶς· εἰ δὲ καὶ κρυφῇ πρόσωπα θαυμάσεσθε,
[LXX | EL | OT | Job | Chapter 13 | Verse 11] πότερον οὐχ ἡ δῖνα αὐτοῦ στροβήσει ὑμᾶς; ὁ φόβος δὲ παρʼ αὐτοῦ ἐπιπεσεῖται ὑμῖν,
[LXX | EL | OT | Job | Chapter 13 | Verse 12] ἀποβήσεται δὲ ὑμῶν τὸ γαυρίαμα ἶσα σποδῷ, τὸ δὲ σῶμα πήλινον.
[LXX | EL | OT | Job | Chapter 13 | Verse 13] Κωφεύσατε ἵνα λαλήσω, καὶ ἀναπαύσωμαι θυμοῦ,
[LXX | EL | OT | Job | Chapter 13 | Verse 14] ἀναλαβὼν τὰς σάρκας μου τοῖς ὀδοῦσι, ψυχὴν δέ μου θήσω ἐν χειρί.
[LXX | EL | OT | Job | Chapter 13 | Verse 15] Ἐάν με χειρώσηται ὁ δυνάστης, ἐπεὶ καὶ ἦρκται, ἦ μὴν λαλήσω καὶ ἐλέγξω ἐναντίον αὐτοῦ·
[LXX | EL | OT | Job | Chapter 13 | Verse 16] Καὶ τοῦτό μοι ἀποβήσεται εἰς σωτηρίαν, οὐ γὰρ ἐναντίον αὐτοῦ δόλος εἰσελεύσεται.
[LXX | EL | OT | Job | Chapter 13 | Verse 17] Ἀκούσατε ἀκούσατε τὰ ῥήματά μου, ἀναγγελῶ γὰρ ὑμῶν ἀκουόντων.
[LXX | EL | OT | Job | Chapter 13 | Verse 18] Ἰδοὺ ἐγὼ ἐγγύς εἰμι τοῦ κρίματός μου, οἶδα ἐγὼ ὅτι δίκαιος ἀναφανοῦμαι.
[LXX | EL | OT | Job | Chapter 13 | Verse 19] Τίς γάρ ἐστιν ὁ κριθησόμενός μοι, ὅτι νῦν κωφεύσω καὶ ἐκλείψω;
[LXX | EL | OT | Job | Chapter 13 | Verse 20] Δυεῖν δέ μοι χρήσῃ, τότε ἀπὸ τοῦ προσώπου σου οὐ κρυβήσομαι.
[LXX | EL | OT | Job | Chapter 13 | Verse 21] Τὴν χεῖρα ἀπʼ ἐμοῦ ἀπέχου, καὶ ὁ φόβος σου μή με καταπλησσέτω.
[LXX | EL | OT | Job | Chapter 13 | Verse 22] Εἶτα καλέσεις, ἐγὼ δέ σοι ὑπακούσομαι, ἢ λαλήσεις, ἐγὼ δέ σοι δώσω ἀνταπόκρισιν·
[LXX | EL | OT | Job | Chapter 13 | Verse 23] Πόσαι εἰσὶν αἱ ἁμαρτίαι μου καὶ ἀνομίαι μου; δίδαξόν με τίνες εἰσί.
[LXX | EL | OT | Job | Chapter 13 | Verse 24] Διατί ἀπʼ ἐμοῦ κρύπτῃ, ἥγησαι δέ με ὑπεναντίον σοι;
[LXX | EL | OT | Job | Chapter 13 | Verse 25] Ἢ ὡς φῦλλον κινούμενον ὑπὸ ἀνέμου εὐλαβηθήσῃ, ἢ ὡς χόρτῳ φερομένῳ ὑπὸ πνεύματος ἀντίκεισαί μοι;
[LXX | EL | OT | Job | Chapter 13 | Verse 26] Ὅτι κατέγραψας κατʼ ἐμοῦ κακὰ, περιέθηκας δέ μοι νεότητος ἁμαρτίας.
[LXX | EL | OT | Job | Chapter 13 | Verse 27] Ἔθου δέ μου τὸν πόδα ἐν κωλύματι, ἐφύλαξας δέ μου πάντα τὰ ἔργα, εἰς δὲ ῥίζας τῶν ποδῶν μου ἀφίκου.
[LXX | EL | OT | Job | Chapter 13 | Verse 28] Ὃ παλαιοῦται ἶσα ἀσκῷ, ἢ ὥσπερ ἱμάτιον σητόβρωτον.
