[LXX | EL | OT | Job | Chapter 33 | Verse 1] Οὐ μὴν δὲ ἀλλὰ ἄκουσου Ἰὼβ τὰ ῥήματά μου, καὶ λαλιὰν ἐνωτίζου μου.
[LXX | EL | OT | Job | Chapter 33 | Verse 2] γὰρ ἤνοιξα τὸ στόμα μου, καὶ ἐλάλησεν ἡ γλῶσσά μου.
[LXX | EL | OT | Job | Chapter 33 | Verse 3] Καθαρά μου ἡ καρδία ῥήμασι, σύνεσις δὲ χειλέων μου καθαρὰ νοήσει.
[LXX | EL | OT | Job | Chapter 33 | Verse 4] Πνεῦμα θεῖον τὸ ποιῆσάν με, πνοὴ δὲ παντοκράτορος ἡ διδάσκουσά με.
[LXX | EL | OT | Job | Chapter 33 | Verse 5] Ἐὰν δύνῃ, δός μοι ἀπόκρισιν, πρὸς ταῦτα ὑπόμεινον, στῆθι κατʼ ἐμὲ, καὶ ἐγὼ κατὰ σέ.
[LXX | EL | OT | Job | Chapter 33 | Verse 6] Ἐκ πηλοῦ διήρτισαι σὺ ὡς καὶ ἐγὼ, ἐκ τοῦ αὐτοῦ διηρτίσμεθα.
[LXX | EL | OT | Job | Chapter 33 | Verse 7] Οὐχ ὁ φόβος μου σὲ στροβήσει, οὐδὲ ἡ χείρ μου βαρεῖα ἔσται ἐπὶ σοί.
[LXX | EL | OT | Job | Chapter 33 | Verse 8] Πλὴν εἶπας ἐν ὠσί μου· φωνὴν ῥημάτων σου ἀκήκοα·
[LXX | EL | OT | Job | Chapter 33 | Verse 9] διότι λέγεις, καθαρός εἰμι οὐχ ἁμαρτών, ἄμεμπτός εἰμι, οὐ γὰρ ἠνόμησα·
[LXX | EL | OT | Job | Chapter 33 | Verse 10] Μέμψιν δὲ κατʼ ἐμοῦ εὗρεν· ἥγηται δέ με ὥσπερ ὑπεναντίον.
[LXX | EL | OT | Job | Chapter 33 | Verse 11] Ἔθετο δὲ ἐν ξύλῳ τὸν πόδα μου, ἐφύλαξε δέ μου πάσας τὰς ὁδούς.
