[LXX | EL | OT | Job | Chapter 22 | Verse 1] Ὑπολαβὼν δὲ Ἐλιφὰζ ὁ Θαιμανίτης, λέγει,
[LXX | EL | OT | Job | Chapter 22 | Verse 2] Πότερον οὐχὶ ὁ Κύριός ἐστιν ὁ διδάσκων σύνεσιν καὶ ἐπιστήμην;
[LXX | EL | OT | Job | Chapter 22 | Verse 3] Τί γὰρ μέλει τῷ Κυρίῳ, ἐὰν σὺ ἦσθα τοῖς ἔργοις ἄμεμπτος; ἢ ὠφέλεια, ὅτι ἀπλώσῃς τὴν ὁδόν σου;
[LXX | EL | OT | Job | Chapter 22 | Verse 4] Ἢ λόγον σου ποιοῦμενος ἐλέγξεις, καὶ συνεισελεύσεταί σοι εἰς κρίσιν;
[LXX | EL | OT | Job | Chapter 22 | Verse 5] Πότερον οὐχ ἡ κακία σου ἐστὶ πολλὴ, ἀναρίθμητοι δέ σου εἰσὶν αἱ ἁμαρτίαι;
[LXX | EL | OT | Job | Chapter 22 | Verse 6] Ἠνεχύραζες δὲ τοὺς ἀδελφούς σου διακενῆς, ἀμφίασιν δὲ γυμνῶν ἀφείλου.
[LXX | EL | OT | Job | Chapter 22 | Verse 7] Οὐδὲ ὕδωρ διψῶντας ἐπότισας, ἀλλὰ πεινώντων ἐστέρησας ψωμόν·
[LXX | EL | OT | Job | Chapter 22 | Verse 8] Ἐθαύμασας δέ τινων πρόσωπον, ᾤκισας δὲ τοὺς ἐπὶ τῆς γῆς.
[LXX | EL | OT | Job | Chapter 22 | Verse 9] Χήρας δὲ ἐξαπέστειλας κενὰς, ὀρφανοὺς δὲ ἐκάκωσας.
[LXX | EL | OT | Job | Chapter 22 | Verse 10] Τοιγαροῦν ἐκύκλωσάν σε παγίδες, καὶ ἐσπούδασέ σε πόλεμος ἐξαίσιος.
[LXX | EL | OT | Job | Chapter 22 | Verse 11] Τὸ φῶς σοι σκότος ἀπέβη, κοιμηθέντα δὲ ὕδωρ σε ἐκάλυψε.
[LXX | EL | OT | Job | Chapter 22 | Verse 12] Μὴ οὐχὶ ὁ τὰ ὑψηλὰ ναίων ἐφορᾷ; τοὺς δὲ ὕβρει φερομένους ἐταπείνωσε;
