[LXX | EL | OT | Job | Chapter 20 | Verse 1] Ὑπολαβὼν δὲ Σωφὰρ ὁ Μιναῖος, λέγει,
[LXX | EL | OT | Job | Chapter 20 | Verse 2] Οὐχ οὕτως ὑπελάμβανον ἀντερεῖν σε ταῦτα, καὶ οὐχὶ συνίετε μᾶλλον ἢ καὶ ἐγώ.
[LXX | EL | OT | Job | Chapter 20 | Verse 3] Παιδείαν ἐντροπῆς μου ἀκούσομαι, καὶ πνεῦμα ἐκ τῆς συνέσεως ἀποκρίνεταί μοι.
[LXX | EL | OT | Job | Chapter 20 | Verse 4] Μὴ ταῦτα ἔγνως ἀπὸ τοῦ ἔτι, ἀφʼ οὗ ἐτέθη ἄνθρωπος ἐπὶ τῆς γῆς;
[LXX | EL | OT | Job | Chapter 20 | Verse 5] Εὐφροσύνη δὲ ἀσεβῶν πτῶμα ἐξαίσιον, χαρμονὴ δὲ παρανόμων ἀπώλεια·
[LXX | EL | OT | Job | Chapter 20 | Verse 6] ἐὰν ἀναβῇ εἰς οὐρανὸν αὐτοῦ τὰ δῶρα, ἡ δὲ θυσία αὐτοῦ νεφῶν ἅψηται.
[LXX | EL | OT | Job | Chapter 20 | Verse 7] Ὅταν γὰρ δοκῇ ἤδη κατεστηρίχθαι, τότε εἰς τέλος ἀπολεῖται· οἱ δὲ εἰδότες αὐτὸν ἐροῦσι, ποῦ ἐστιν;
[LXX | EL | OT | Job | Chapter 20 | Verse 8] Ὥσπερ ἐνύπνιον ἐκπετασθὲν οὐ μὴ εὑρεθῇ, ἔπτη δὲ ὥσπερ φάσμα νυκτερινόν.
[LXX | EL | OT | Job | Chapter 20 | Verse 9] Ὀφθαλμὸς παρέβλεψε, καὶ οὐ προσθήσει, καὶ οὐκ ἔτι προσνοήσει αὐτὸν ὁ τόπος αὐτοῦ.
[LXX | EL | OT | Job | Chapter 20 | Verse 10] Τοὺς υἱοὺς αὐτοῦ ὀλέσαισαν ἥττονες, αἱ δὲ χεῖρες αὐτοῦ πυρσεύσαισαν ὀδύνας.
[LXX | EL | OT | Job | Chapter 20 | Verse 11] Ὀστᾶ αὐτοῦ ἐνεπλήσθησαν νεότητος αὐτοῦ, καὶ μετʼ αὐτοῦ ἐπὶ χώματος κοιμηθήσεται.
[LXX | EL | OT | Job | Chapter 20 | Verse 12] Ἐὰν γλυκανθῇ ἐν στόματι αὐτοῦ κακία, κρύψει αὐτὴν ὑπὸ τὴν γλῶσσαν αὐτοῦ,
[LXX | EL | OT | Job | Chapter 20 | Verse 13] οὐ φείσεται αὐτῆς, καὶ οὐκ ἐγκαταλείψει αὐτήν· καὶ συνάξει αὐτὴν ἐν μέσῳ τοῦ λάρυγγος αὐτοῦ,
[LXX | EL | OT | Job | Chapter 20 | Verse 14] καὶ οὐ μὴ δυνηθῇ βοηθῆσαι ἑαυτῷ· χολὴ ἀσπίδος ἐν γαστρὶ αὐτοῦ.
[LXX | EL | OT | Job | Chapter 20 | Verse 15] Πλοῦτος ἀδίκως συναγόμενος ἐξεμεθήσεται, ἐξ οἰκίας αὐτοῦ ἐξελκύσει αὐτὸν ἄγγελος.
[LXX | EL | OT | Job | Chapter 20 | Verse 16] Θυμὸν δὲ δρακόντων θηλάσειεν, ἀνέλοι δὲ αὐτὸν γλῶσσα ὄφεως.
[LXX | EL | OT | Job | Chapter 20 | Verse 17] Μὴ ἴδοι ἄμελξιν νομάδων, μηδὲ νομὰς μέλιτος καὶ βουτύρου.
[LXX | EL | OT | Job | Chapter 20 | Verse 18] Εἰς κενὰ καὶ μάταια ἐκοπίασε, πλοῦτον ἐξ οὗ οὐ γεύσεται· ὥσπερ στρίφνος ἀμάσητος, ἀκατάποτος.
[LXX | EL | OT | Job | Chapter 20 | Verse 19] Πολλῶν γὰρ δυνατῶν οἴκους ἔθλασε· δίαιταν δὲ ἥρπασε, καὶ οὐκ ἔστησεν.
[LXX | EL | OT | Job | Chapter 20 | Verse 20] Οὐκ ἔστιν αὐτοῦ σωτηρία τοῖς ὑπάρχουσιν, ἐν ἐπιθυμίᾳ αὐτοῦ οὐ σωθήσεται.
[LXX | EL | OT | Job | Chapter 20 | Verse 21] Οὐκ ἔστιν ὑπόλειμμα τοῖς βρώμασιν αὐτοῦ, διὰ τοῦτο οὐκ ἀνθήσει αὐτοῦ τὰ ἀγαθά.
[LXX | EL | OT | Job | Chapter 20 | Verse 22] Ὅταν δὲ δοκῇ ἤδη πεπληρῶσθαι, θλιβήσεται, πᾶσα δὲ ἀνάγκη ἐπʼ αὐτὸν ἐπελεύσεται.
[LXX | EL | OT | Job | Chapter 20 | Verse 23] Εἴ πῶς εἶ πληρῶσαι γαστέρα αὐτοῦ, ἐπαποστείλαι ἐπʼ αὐτὸν θυμὸν ὀργῆς, νίψαι ἐπʼ αὐτὸν ὀδύνας,
[LXX | EL | OT | Job | Chapter 20 | Verse 24] καὶ οὐ μὴ σωθῇ ἐκ χειρὸς σιδήρου· τρώσαι αὐτὸν τόξον χάλκειον.
[LXX | EL | OT | Job | Chapter 20 | Verse 25] Διεξέλθοι δὲ διὰ σώματος αὐτοῦ βέλος, ἄστρα δὲ ἐν διαίταις αὐτοῦ· περιπατήσαισαν ἐπʼ αὐτῷ φόβοι,
[LXX | EL | OT | Job | Chapter 20 | Verse 26] πᾶν δὲ σκότος αὐτῷ ὑπομείναι· κατέδεται αὐτὸν πῦρ ἄκαυστον, κακώσαι δὲ αὐτοῦ ἐπήλυτος τὸν οἶκον.
[LXX | EL | OT | Job | Chapter 20 | Verse 27] Ἀνακάλυψαι δὲ αὐτοῦ ὁ οὐρανὸς τὰς ἀνομίας, γῆ δὲ ἐπανασταίη αὐτῷ.
[LXX | EL | OT | Job | Chapter 20 | Verse 28] Ἑλκύσαι τὸν οἶκον αὐτοῦ ἀπώλεια εἰς τέλος, ἡμέρα ὀργῆς ἐπέλθοι αὐτῷ.
[LXX | EL | OT | Job | Chapter 20 | Verse 29] Αὕτη ἡ μέρις ἀνθρώπου ἀσεβοῦς παρὰ Κυρίου, καὶ κτῆμα ὑπαρχόντων αὐτῷ παρὰ τοῦ ἐπισκόπου.
