[LXX | EL | OT | Job | Chapter 6 | Verse 1] Ὑπολαβὼν δὲ Ἰὼβ, λέγει,
[LXX | EL | OT | Job | Chapter 6 | Verse 2] Εἰ γάρ τις ἱστῶν στήσαι μου τὴν ὀργὴν, τὰς δὲ ὀδύνας μου ἄραι ἐν ζυγῷ ὁμοθυμαδὸν,
[LXX | EL | OT | Job | Chapter 6 | Verse 3] καὶ δὴ ἄμμου παραλίας βαρυτέρα ἔσται· ἀλλʼ ὡς ἔοικε τὰ ῥήματά μου ἐστὶ φαῦλα.
[LXX | EL | OT | Job | Chapter 6 | Verse 4] Βέλη γὰρ Κυρίου ἐν τῷ σώματί μου ἐστὶν, ὧν ὁ θυμὸς αὐτῶν ἐκπίνει μου τὸ αἷμα· ὅταν ἄρξωμαι λαλεῖν, κεντοῦσί με.
[LXX | EL | OT | Job | Chapter 6 | Verse 5] Τί γάρ; μὴ διακενῆς κεκράξεται ὄνος ἄγριος, ἀλλʼ ἢ τὰ σῖτα ζητῶν; εἰ δὲ καὶ ῥήξει φωνὴν βοῦς ἐπὶ φάτνης ἔχων τὰ βρώματα;
[LXX | EL | OT | Job | Chapter 6 | Verse 6] Εἰ βρωθήσεται ἄρτος ἄνευ ἁλός; εἰ δὲ καὶ ἔστι γεῦμα ἐν ῥήμασι κενοῖς;
[LXX | EL | OT | Job | Chapter 6 | Verse 7] Οὐ δύναται γὰρ παύσασθαί μου ἡ ὀργή· βρόμον γὰρ ὁρῶ τὰ σῖτά μου ὥσπερ ὀσμὴν λέοντος.
[LXX | EL | OT | Job | Chapter 6 | Verse 8] Εἰ γὰρ δώῃ καὶ ἔλθοι μου ἡ αἴτησις, καὶ τὴν ἐλπίδα μου δώῃ ὁ Κύριος.
[LXX | EL | OT | Job | Chapter 6 | Verse 9] Ἀρξάμενος ὁ Κύριος τρωσάτω με, εἰς τέλος δὲ μή με ἀνελέτω.
[LXX | EL | OT | Job | Chapter 6 | Verse 10] Εἴη δέ μου πόλις τάφος, ἐφʼ ἧς ἐπὶ τειχέων ἡλλόμην, ἐπʼ αὐτῆς οὐ φείσομαι· οὐ γὰρ ἐψευσάμην ῥήματα ἅγια Θεοῦ μου.
[LXX | EL | OT | Job | Chapter 6 | Verse 11] Τίς γάρ μου ἡ ἰσχύς, ὅτι ὑπομένω; τίς μου ὁ χρόνος, ὅτι ἀνέχεταί μου ἡ ψυχή;
[LXX | EL | OT | Job | Chapter 6 | Verse 12] Μὴ ἰσχὺς λίθων ἡ ἰσχύς μου; ἢ αἱ σάρκες μου εἰσὶ χάλκεαι;
[LXX | EL | OT | Job | Chapter 6 | Verse 13] Ἢ οὐκ ἐπʼ αὐτῷ ἐπεποίθειν; βοήθεια δὲ ἀπʼ ἐμοῦ ἄπεστιν.
[LXX | EL | OT | Job | Chapter 6 | Verse 14] Ἀπείπατό με ἔλεος, ἐπισκοπὴ δὲ Κυρίου ὑπερεῖδέ με.
[LXX | EL | OT | Job | Chapter 6 | Verse 15] Οὐ προσεῖδόν με οἱ ἐγγύτατοί μου, ὥσπερ χειμάῤῥους ἐκλείπων, ἢ ὥσπερ κῦμα παρῆλθόν με
[LXX | EL | OT | Job | Chapter 6 | Verse 16] Οἵτινές με διευλαβοῦντο, νῦν ἐπιπεπτώκασί μοι ὥσπερ χιὼν ἢ κρύσταλλος πεπηγώς·
[LXX | EL | OT | Job | Chapter 6 | Verse 17] Καθὼς τακεῖσα θέρμης γενομένης, οὐκ ἐπεγνώσθη ὅπερ ἦν,
[LXX | EL | OT | Job | Chapter 6 | Verse 18] οὕτω κᾀγὼ κατελείφηθν ὑπὸ πάντων, ἀπωλόμην δὲ καὶ ἔξοικος ἐγενόμην.
[LXX | EL | OT | Job | Chapter 6 | Verse 19] Ἴδετε ὁδοὺς Θαιμανῶν, ἀτραποὺς, Σαβῶν οἱ διορῶντες.
[LXX | EL | OT | Job | Chapter 6 | Verse 20] Καὶ αἰσχύνην ὀφειλήσουσιν, οἱ ἐπὶ πόλεσι καὶ χρήμασι πεποιθότες.
[LXX | EL | OT | Job | Chapter 6 | Verse 21] Ἀτὰρ δὲ καὶ ὑμεῖς ἐπέβητέ μοι ἀνελεημόνως, ὥστε ἰδόντες τὸ ἐμὸν τραῦμα φοβήθητε.
[LXX | EL | OT | Job | Chapter 6 | Verse 22] Τί γάρ; μήτι ὑμᾶς ἢτησα, ἢ τῆς παρʼ ὑμῶν ἰσχύος ἐπιδέομαι,
[LXX | EL | OT | Job | Chapter 6 | Verse 23] ὥστε σῶσαί με ἑξ ἐχθρῶν, ἢ ἐκ χειρὸς δυναστῶν ῥύσασθαί με;
[LXX | EL | OT | Job | Chapter 6 | Verse 24] Διδάξατέ με, ἐγὼ δὲ κωφεύσω· εἴ τι πεπλάνημαι, φράσατέ μοι.
[LXX | EL | OT | Job | Chapter 6 | Verse 25] Ἀλλʼ ὡς ἔοικε φαῦλα ἀληθινοῦ ῥήματα, οὐ γὰρ παρʼ ὑμῶν ἰσχὺν αἰτοῦμαι.
