[LXX | EL | OT | Job | Chapter 32 | Verse 1] Ἡσύχασαν δὲ καὶ οἱ τρεῖς φίλοι αὐτοῦ ἔτι ἀντειπεῖν Ἰὼβ, ἦν γὰρ Ἰὼβ δίκαιος ἐναντίον αὐτῶν.
[LXX | EL | OT | Job | Chapter 32 | Verse 2] Ὠργίσθη δὲ Ἐλιοὺς ὁ τοῦ Βαραχιὴλ ὁ Βουζίτης ἐκ τῆς συγγενείας Ῥὰμ, τῆς Αὐσίτιδος χώρας· ὠργίσθη δὲ τῷ Ἰὼβ σφόδρα, διότι ἀπέφῃνεν ἑαυτὸν δίκαιον ἐναντίον Κυρίου·
[LXX | EL | OT | Job | Chapter 32 | Verse 3] Καὶ κατὰ τῶν τριῶν δὲ φίλων ὠργίσθη σφόδρα, διότι οὐκ ἠδυνήθησαν ἀποκριθῆναι ἀντίθετα Ἰὼβ, καὶ ἔθεντο αὐτὸν εἶναι ἀσεβῆ.
[LXX | EL | OT | Job | Chapter 32 | Verse 4] Ἐλιοὺς δὲ ὑπέμεινε δοῦναι ἀπόκρισιν Ἰὼβ, ὅτι πρεσβύτεροι αὐτοῦ εἰσιν ἡμέραις.
[LXX | EL | OT | Job | Chapter 32 | Verse 5] Καὶ εἶδεν Ἐλιοὺς, ὅτι οὐκ ἔστιν ἀπόκρισις ἐν στόματι τῶν τριῶν ἀνδρῶν, καὶ ἐθυμώθη ὀργῇ αὐτοῦ.
[LXX | EL | OT | Job | Chapter 32 | Verse 6] Ὑπολαβὼν δὲ Ἐλιοὺς ὁ τοῦ Βαραχιὴλ ὁ Βουζίτης, εἶπε, Νεώτερος μέν εἰμι τῷ χρόνῳ, ὑμεῖς δέ ἐστε πρεσβύτεροι, διὸ ἡσύχασα φοβηθεὶς τοῦ ὑμῖν ἀναγγεῖλαι τὴν ἐμαυτοῦ ἐπιστήμην.
[LXX | EL | OT | Job | Chapter 32 | Verse 7] Εἶπα δὲ, ὅτι οὐχ ὁ χρόνος ἐστὶν ὁ λαλῶν, ἐν πολλοῖς δὲ ἔτεσιν οἴδασι σοφίαν.
[LXX | EL | OT | Job | Chapter 32 | Verse 8] Ἀλλὰ πνεῦμά ἐστιν ἐν βροτοῖς· πνοὴ δὲ παντοκράτορός ἐστιν ἡ διδάσκουσα.
[LXX | EL | OT | Job | Chapter 32 | Verse 9] Οὐχ οἱ πολυχρόνιοί εἰσι σοφοὶ, οὐδʼ οἱ γέροντες οἴδασι κρίμα.
[LXX | EL | OT | Job | Chapter 32 | Verse 10] Διὸ εἶπα, ἀκούσατέ μου, καὶ ἀναγγελῶ ὑμῖν ἃ οἶδα.
[LXX | EL | OT | Job | Chapter 32 | Verse 11] Ἐνωτίζεσθέ μου τὰ ῥήματα· ἐρῶ γὰρ ὑμῶν ἀκουόντων ἄχρις οὗ ἐτάσητε λόγουις,
[LXX | EL | OT | Job | Chapter 32 | Verse 12] καὶ μέχρι ὑμῶν συνήσω, καὶ ἰδοὺ οὐκ ἦν τῷ Ἰὼβ ἐλέγχων ἀνταποκρινόμενος ῥήματα αὐτοῦ ἐξ ὑμῶν·
[LXX | EL | OT | Job | Chapter 32 | Verse 13] ἵνα μὴ εἴπητε, εὕρομεν σοφίαν Κυρίῳ προσθέμενοι.
[LXX | EL | OT | Job | Chapter 32 | Verse 14] Ἀνθρώπῳ δὲ ἐπετρέψατε λαλῆσαι τοιαῦτα ῥήματα.
[LXX | EL | OT | Job | Chapter 32 | Verse 15] Ἐπτοήθησαν, οὐκ ἀπεκρίθησαν ἔτι, ἐπαλαίωσαν ἐξ αὐτῶν λόγους.
[LXX | EL | OT | Job | Chapter 32 | Verse 16] Ὑπέμεινα, οὐ γὰρ ἐλάλησα, ὅτι ἔστησαν, οὐκ ἀπεκρίθησαν.
[LXX | EL | OT | Job | Chapter 32 | Verse 17] Ὑπολαβὼν δὲ Ἐλιοῦς, λέγει,
[LXX | EL | OT | Job | Chapter 32 | Verse 18] πάλιν λαλήσω, πλήρης γάρ εἰμι ῥημάτων, ὀλέκει γάρ με τὸ πνεῦμα τῆς γαστρός.
[LXX | EL | OT | Job | Chapter 32 | Verse 19] Ἡ δὲ γαστήρ μου ὥσπερ ἀσκὸς γλεύκους ζέων δεδεμένος, ἢ ὥσπερ φυσητὴρ χαλκέως ἐῤῥηγώς.
[LXX | EL | OT | Job | Chapter 32 | Verse 20] Λαλήσω, ἵνα ἀναπαύσωμαι ἀνοίξας τὰ χείλη,
[LXX | EL | OT | Job | Chapter 32 | Verse 21] ἄνθρωπον γὰρ οὐ μὴ αἰσχυνθῶ, ἀλλὰ μὴν οὐδὲ βροτὸν οὐ μὴ ἐντραπῶ.
[LXX | EL | OT | Job | Chapter 32 | Verse 22] Οὐ γὰρ ἐπίσταμαι θαυμάσαι πρόσωπα· εἰ δὲ μὴ, καὶ ἐμὲ σῆτες ἔδονται.
