[LXX | EL | OT | Job | Chapter 29 | Verse 1] Ἔτι δὲ προσθεὶς Ἰὼβ εἶπε τῷ προοιμίῳ,
[LXX | EL | OT | Job | Chapter 29 | Verse 2] Τίς ἄν με θείη κατὰ μῆνα ἔμπροσθεν ἡμερῶν, ὧν με ὁ Θεὸς ἐφύλαξεν;
[LXX | EL | OT | Job | Chapter 29 | Verse 3] Ὡς ὅτε ηὔγει ὁ λύχνος αὐτοῦ ὑπὲρ κεφαλῆς μου, ὅτε τῷ φωτὶ αὐτοῦ ἐπορευόμην ἐν σκότει·
[LXX | EL | OT | Job | Chapter 29 | Verse 4] Ὅτε ἤμην ἐπιβρίθων ὁδοὺς, ὅτε ὁ Θεὸς ἐπισκοπὴν ἐποιεῖτο τοῦ οἴκου μου·
[LXX | EL | OT | Job | Chapter 29 | Verse 5] Ὅτε ἤμην ὑλώδης λίαν, κύκλῳ δέ μου οἱ παῖδες·
[LXX | EL | OT | Job | Chapter 29 | Verse 6] Ὅτε ἐχέοντο αἱ ὁδοί μου βουτύρῳ, τὰ δὲ ὄρη μου ἐχέοντο γάλακτι·
[LXX | EL | OT | Job | Chapter 29 | Verse 7] Ὅτε ἐξεπορευόμην ὄρθριος ἐν πόλει, ἐν δὲ πλατείαις ἐτίθετό μου ὁ δίφρος.
[LXX | EL | OT | Job | Chapter 29 | Verse 8] Ἰδόντες με νεανίσκοι ἐκρύβησαν, πρεσβῦται δὲ πάντες ἔστησαν.
[LXX | EL | OT | Job | Chapter 29 | Verse 9] Ἁδροὶ δὲ ἐπαύσαντο λαλοῦντες, δάκτυλον ἐπιθέντες ἐπὶ στόματι.
[LXX | EL | OT | Job | Chapter 29 | Verse 10] Οἱ δὲ ἀκούσαντες ἐμακάρισάν με, καὶ γλῶσσα αὐτῶν τῷ λάρυγγι αὐτῶν ἐκολλήθη.
[LXX | EL | OT | Job | Chapter 29 | Verse 11] Ὅτι οὖς ἤκουσε καὶ ἐμακάρισέ με, ὀφθαλμὸς δὲ ἰδών με ἐξέκλινε.
[LXX | EL | OT | Job | Chapter 29 | Verse 12] Διέσωσα γὰρ πτωχὸν ἐκ χειρὸς δυνάστου, καὶ ὀρφανῷ ᾧ οὐκ ἦν βοηθὸς, ἐβοήθησα.
[LXX | EL | OT | Job | Chapter 29 | Verse 13] Εὐλογία ἀπολλυμένου ἐπʼ ἐμὲ ἔλθοι, στόμα δὲ χήρας με εὐλόγησε·
[LXX | EL | OT | Job | Chapter 29 | Verse 14] Δικαιοσύνην δὲ ἐνδεδύκειν, ἠμφιασάμην δὲ κρίμα ἶσα διπλοΐδι.
[LXX | EL | OT | Job | Chapter 29 | Verse 15] Ὀφθαλμὸς ἤμην τυφλῶν, ποὺς δὲ χωλῶν.
[LXX | EL | OT | Job | Chapter 29 | Verse 16] Ἐγὼ ἤμην πατὴρ ἀδυνάτων, δίκην δὲ ἣν οὐκ ᾔδειν ἐξιχνίασα.
[LXX | EL | OT | Job | Chapter 29 | Verse 17] Συνέτριψα δὲ μύλας ἀδίκων, ἐκ μέσου τῶν ὀδόντων αὐτῶν ἅρπαγμα ἐξήρπασα.
[LXX | EL | OT | Job | Chapter 29 | Verse 18] Εἶπα δὲ, ἡ ἡλικία μου γηράσει ὥσπερ στέλεχος φοίνικος, πολὺν χρόνον βιώσω.
[LXX | EL | OT | Job | Chapter 29 | Verse 19] Ἡ ῥίζα διήνοικται ἐπὶ ὕδατος, καὶ δρόσος αὐλισθήσεται ἐν τῷ θερισμῷ μου.
[LXX | EL | OT | Job | Chapter 29 | Verse 20] Ἡ δόξα μου κενὴ μετʼ ἐμοῦ, καὶ τὸ τόξον μου ἐν χειρὶ αὐτοῦ πορεύεται.
[LXX | EL | OT | Job | Chapter 29 | Verse 21] Ἐμοῦ ἀκούσαντες προσέσχον, ἐσιώπησαν δὲ ἐπὶ τῇ ἐμῇ βουλῇ.
[LXX | EL | OT | Job | Chapter 29 | Verse 22] Ἐπὶ τῷ ἐμῷ ῥήματι οὐ προσέθεντο, περιχαρεῖς δὲ ἐγίνοντο ὁπόταν αὐτοῖς ἐλάλουν.
[LXX | EL | OT | Job | Chapter 29 | Verse 23] Ὥσπερ γῆ διψῶσα προσδεχομένη τὸν ὑετὸν, οὕτως οὗτοι τὴν ἐμὴν λαλιάν.
[LXX | EL | OT | Job | Chapter 29 | Verse 24] Ἐὰν γελάσω πρὸς αὐτοὺς, οὐ μὴ πιστεύσωσι, καὶ φῶς τοῦ προσώπου μου οὐκ ἀπέπιπτεν.
[LXX | EL | OT | Job | Chapter 29 | Verse 25] Ἐξελεξάμην ὁδὸν αὐτῶν, καὶ ἐκάθισα ἄρχων, καὶ κατεσκήνουν ὡσεὶ βασιλεὺς ἐν μονοζώνοις, ὃν τρόπον παθεινοὺς παρακαλῶν.
