[LXX | EL | OT | Job | Chapter 37 | Verse 1] Καὶ ἀπὸ ταύτης ἐταράχθη ἡ καρδία μου, καὶ ἀπεῤῥύη ἐκ τοῦ τόπου αὐτῆς.
[LXX | EL | OT | Job | Chapter 37 | Verse 2] Ἄκουε ἀκοὴν ἐν ὀργῇ θυμοῦ Κυρίου, καὶ μελέτη ἐκ στόματος αὐτοῦ ἐξελεύσεται.
[LXX | EL | OT | Job | Chapter 37 | Verse 3] Ὑποκάτω παντὸς τοῦ οὐρανοῦ ἡ ἀρχὴ αὐτοῦ, καὶ τὸ φῶς αὐτοῦ ἐπὶ πτερύγων τῆς γῆς.
[LXX | EL | OT | Job | Chapter 37 | Verse 4] Ὀπίσω αὐτοῦ βοήσεται φωνῇ, βροντήσει ἐν φωνῇ ὕβρεως αὐτοὺ· καὶ οὐκ ἀνταλλάξει αὐτούς, ὅτι ἀκούσει φωνὴν αὐτοῦ.
[LXX | EL | OT | Job | Chapter 37 | Verse 5] Βροντήσει ὁ ἰσχυρὸς ἐν φωνῇ αὐτοῦ θαυμάσια· ἐποίησε γὰρ μεγάλα ἃ οὐκ ᾔδειμεν,
[LXX | EL | OT | Job | Chapter 37 | Verse 6] συντάσσων χιόνι, γίνου ἐπὶ τῆς, γῆς, καὶ χειμὼν ὑετὸς, καὶ χειμὼν ὑετῶν δυναστείας αὐτοῦ.
[LXX | EL | OT | Job | Chapter 37 | Verse 7] Ἐν χειρὶ παντὸς ἀνθρώπου κατασφραγίζει, ἵνα γνῷ πᾶς ἄνθρωπος τὴν ἑαυτοῦ ἀσθένειαν.
[LXX | EL | OT | Job | Chapter 37 | Verse 8] Εἰσῆλθε δὲ θηρία ὑπὸ τὴν σκέπην, ἡσύχασαν δὲ ἐπὶ κοίτης.
[LXX | EL | OT | Job | Chapter 37 | Verse 9] Ἐκ ταμιείων ἐπέρχονται ὀδύναι, ἀπὸ δὲ ἀκρωτηρίων ψῦχος·
[LXX | EL | OT | Job | Chapter 37 | Verse 10] Καὶ ἀπὸ πνοῆς ἰσχυροῦ δώσει πάγος· οἰακίζει δὲ τὸ ὕδωρ ὡς ἐὰν βούληται,
[LXX | EL | OT | Job | Chapter 37 | Verse 11] καὶ ἐκλεκτὸν καταπλάσσει νεφέλη· διασκορπιεῖ νέφος φῶς αὐτοῦ,
[LXX | EL | OT | Job | Chapter 37 | Verse 12] καὶ αὐτὸς κυκλώματα διαστρέψει, ἐν θεεβουλαθὼθ, εἰς ἔργα αὐτῶν· πάντα ὅσα ἂν ἐντείληται αὐτοῖς, ταῦτα συντέτακται παρʼ αὐτοῦ ἐπὶ τῆς γῆς,
[LXX | EL | OT | Job | Chapter 37 | Verse 13] ἐάν τε εἰς παιδείαν, ἐὰν εἰς τὴν γῆν αὐτοῦ, ἐὰν εἰς ἔλεος εὑρήσει αὐτόν.
[LXX | EL | OT | Job | Chapter 37 | Verse 14] Ἐνωτίζου ταῦτα, Ἰώβ· στῆθι νουθετούμενος δύναμιν Κυρίου.
[LXX | EL | OT | Job | Chapter 37 | Verse 15] Οἴδαμεν ὅτι ὁ Θεὸς ἔθετο ἔργα αὐτοῦ, φῶς ποιήσας ἐκ σκότους.
[LXX | EL | OT | Job | Chapter 37 | Verse 16] Ἐπίσταται δὲ διάκρισιν νεφῶν, ἐξαίσια δὲ πτώματα πονηρῶν.
[LXX | EL | OT | Job | Chapter 37 | Verse 17] Σοῦ δὲ ἡ στολὴ θερμὴ, ἡσυχάζεται δὲ ἐπὶ τῆς γῆς.
[LXX | EL | OT | Job | Chapter 37 | Verse 18] Στερεώσεις μετʼ αὐτοῦ εἰς παλαιώματα, ἰσχυραὶ ὡς ὅρασις ἐπιχύσεως.
[LXX | EL | OT | Job | Chapter 37 | Verse 19] Διατὶ δίδαξόν με, τί ἐροῦμεν αὐτῷ; καὶ παυσώμεθα πολλὰ λέγοντες.
[LXX | EL | OT | Job | Chapter 37 | Verse 20] Μὴ βίβλος ἢ γραμματεύς μοι παρέστηκεν, ἵνα ἄνθρωπον ἑστηκὼς κατασιωπήσω;
[LXX | EL | OT | Job | Chapter 37 | Verse 21] Πᾶσι δὲ οὐχ ὁρατὸν τὸ φῶς, τηλαυγές ἐστιν ἐν τοῖς παλαιώμασιν, ὥσπερ τὸ παρʼ αὐτοῦ ἐπὶ νεφῶν.
[LXX | EL | OT | Job | Chapter 37 | Verse 22] Ἀπὸ Βοῤῥᾶ νέφη χρυσαυγοῦντα, ἐπὶ τούτοις μεγάλη ἡ δόξα καὶ τιμὴ παντοκράτορος,
[LXX | EL | OT | Job | Chapter 37 | Verse 23] καὶ οὐχ εὑρίσκομεν ἄλλον ὅμοιον τῇ ἰσχύϊ αὐτοῦ· ὁ τὰ δίκαια κρίνων, οὐκ οἴει ἐπακούειν αὐτόν;
[LXX | EL | OT | Job | Chapter 37 | Verse 24] Διὸ φοβηθήσονται αὐτὸν οἱ ἄνθρωποι, φοβηθήσονται δὲ αὐτὸν καὶ οἱ σοφοὶ καρδίᾳ.
