[LXX | EL | OT | Job | Chapter 28 | Verse 1] Ἐστι γὰρ ἀργυρίῳ τόπος ὅθεν γίνεται, τόπος δὲ χρυσίου ὅθεν διηθεῖται.
[LXX | EL | OT | Job | Chapter 28 | Verse 2] Σίδηρος μὲν γὰρ ἐκ γῆς γίνεται, χαλκὸς δὲ ἶσα λίθῳ λατομεῖται.
[LXX | EL | OT | Job | Chapter 28 | Verse 3] Τάξιν ἔθετο σκότει, καὶ πᾶν πέρας αὐτὸς ἐξακριβάζεται, λίθος σκοτία, καὶ σκιὰ θανάτου.
[LXX | EL | OT | Job | Chapter 28 | Verse 4] Διακοπὴ χειμάῤῥου ἀπὸ κονίας, οἱ δὲ ἐπιλανθανόμενοι ὁδὸν δικαίαν ἠσθένησαν, ἐκ βροτῶν ἐσαλεύθησαν.
[LXX | EL | OT | Job | Chapter 28 | Verse 5] Γῆ, ἐξ αὐτῆς ἐξελεύσεται ἄρτος, ὑποκάτω αὐτῆς ἐστράφη ὡσεὶ πῦρ.
[LXX | EL | OT | Job | Chapter 28 | Verse 6] Τόπος σαπφείρου οἱ λίθοι αὐτῆς, καὶ χῶμα χρυσίον αὐτῷ.
[LXX | EL | OT | Job | Chapter 28 | Verse 7] Τρίβος, οὐκ ἔγνω αὐτὴν πετεινὸν, καὶ οὐ παρέβλεψεν αὐτὴν ὀφθαλμὸς γυπός·
[LXX | EL | OT | Job | Chapter 28 | Verse 8] Καὶ οὐκ ἐπάτησαν αὐτὸν υἱοὶ ἀλαζόνων, οὐ παρῆλθεν ἐπʼ αὐτῆς λέων.
[LXX | EL | OT | Job | Chapter 28 | Verse 9] Ἐν ἀκροτόμῳ ἐξέτεινε χεῖρα αὐτοῦ, κατέστρεψε δὲ ἐκ ῥιζῶν ὄρη.
[LXX | EL | OT | Job | Chapter 28 | Verse 10] Δίνας δὲ ποταμῶν διέῤῥηξε, πᾶν δὲ ἔντιμον εἴδέ μου ὁ ὀφθαλμός.
[LXX | EL | OT | Job | Chapter 28 | Verse 11] Βάθη δὲ ποταμῶν ἀνεκάλυψεν, ἔδειξε δὲ αὐτοῦ δύναμιν εἰς φῶς.
[LXX | EL | OT | Job | Chapter 28 | Verse 12] Ἡ δὲ σοφία πόθεν εὑρέθη; ποῖος δὲ τόπος ἐστὶ τῆς ἐπιστήμης;
[LXX | EL | OT | Job | Chapter 28 | Verse 13] Οὐκ οἶδε βροτὸς ὁδὸν αὐτῆς, οὐδὲ μὴν εὑρέθη ἐν ἀνθρώποις.
[LXX | EL | OT | Job | Chapter 28 | Verse 14] Ἄβυσσος εἶπεν, οὐκ ἔνεστιν ἐν ἐμοί· καὶ ἡ θάλασσα εἶπεν, οὐκ ἔνεστι μετʼ ἐμοῦ.
[LXX | EL | OT | Job | Chapter 28 | Verse 15] Οὐ δώσει συνκλεισμὸν ἀντʼ αὐτῆς, καὶ οὐ σταθήσεται ἀργύριον ἀντάλλαγμα αὐτῆς.
[LXX | EL | OT | Job | Chapter 28 | Verse 16] Καὶ οὐ συνβασταχθήσεται χρυσίῳ Σωφεὶρ, ἐν ὄνυχι τιμίῳ καὶ σαπφείρῳ.
[LXX | EL | OT | Job | Chapter 28 | Verse 17] Οὐκ ἰσωθήσεται αὐτῇ χρυσίον καὶ ὕαλος, καὶ τὸ ἄλλαγμα αὐτῆς σκεύη χρυσᾶ.
[LXX | EL | OT | Job | Chapter 28 | Verse 18] Μετέωρα καὶ γαβὶς οὐ μνησθήσεται, καὶ ἕλκυσον σοφίαν ὑπὲρ τὰ ἐσώτατα.
[LXX | EL | OT | Job | Chapter 28 | Verse 19] Οὐκ ἰσωθήσεται αὐτῇ τοπάζιον Αἰθιοπίας, χρυσίῳ καθαρῷ οὐ συμβασταχθήσεται.
[LXX | EL | OT | Job | Chapter 28 | Verse 20] Ἡ δὲ σοφία πόθεν εὑρέθη; ποῖος δὲ τόπος ἐστὶ τῆς συνέσεως;
[LXX | EL | OT | Job | Chapter 28 | Verse 21] Λέληθε πάντα ἄνθρωπον, καὶ ἀπὸ πετεινῶν τοῦ οὐρανοῦ ἐκρύβη.
[LXX | EL | OT | Job | Chapter 28 | Verse 22] Ἡ ἀπώλεια καὶ ὁ θάνατος εἶπαν, ἀκηκόαμεν δὲ αὐτῆς τὸ κλέος.
[LXX | EL | OT | Job | Chapter 28 | Verse 23] Ὁ Θεὸς εὖ συνέστησεν αὐτῆς τὴν ὁδὸν, αὐτὸς δὲ οἶδε τὸν τόπον αὐτῆς.
[LXX | EL | OT | Job | Chapter 28 | Verse 24] Αὐτὸς γὰρ τὴν ὑπʼ οὐρανὸν πᾶσαν ἐφορᾷ· εἰδὼς τὰ ἐν τῇ γῇ, πάντα
[LXX | EL | OT | Job | Chapter 28 | Verse 25] ἃ ἐποίησεν, ἀνέμων σταθμὸν, ὕδατος μέτρα ὅτε ἐποίησεν·
[LXX | EL | OT | Job | Chapter 28 | Verse 26] οὕτως ἰδὼν ἠρίθμησε, καὶ ὁδὸν ἐν τινάγματι φωνάς.
[LXX | EL | OT | Job | Chapter 28 | Verse 27] Τότε εἶδεν αὐτὴν, καὶ ἐξηγήσατο αὐτὴν, ἑτοιμάσας ἐξιχνίασεν.
[LXX | EL | OT | Job | Chapter 28 | Verse 28] Εἶπε δὲ ἀνθρώπῳ, Ἰδοὺ ἡ θεοσέβειά ἐστι σοφία, τὸ δὲ ἀπέχεσθαι ἀπὸ κακῶν ἐστὶν ἐπιστήμη.
