[LXX | EL | OT | Job | Chapter 27 | Verse 1] Ἔτι δὲ προσθεὶς Ἰὼβ εἶπεν τῷ προοιμίῳ,
[LXX | EL | OT | Job | Chapter 27 | Verse 2] Ζῇ ὁ Θεὸς, ὃς οὕτω με κέκρικε, καὶ ὁ παντοκράτωρ ὁ πικράνας μου τὴν ψυχὴν,
[LXX | EL | OT | Job | Chapter 27 | Verse 3] εἰ μὴν ἔτι τῆς πνοῆς μου ἐνούσης, πνεῦμα δὲ θεῖον τὸ περιόν μοι ἐν ῥινὶ,
[LXX | EL | OT | Job | Chapter 27 | Verse 4] μὴ λαλήσειν τὰ χείλη μου ὄνομα, οὐδὲ ἡ ψυχή μου μελετήσει ἄδικα.
[LXX | EL | OT | Job | Chapter 27 | Verse 5] Μή μοι εἴη δικαίους ὑμᾶς ἀποφῆναι ἕως ἂν ἀποθάνω, οὐ γὰρ ἀπαλλάξω μου τὴν ἀκακίαν μου.
[LXX | EL | OT | Job | Chapter 27 | Verse 6] Δικαιοσύνῃ δὲ προσέχων οὐ μὴν προῶμαι, οὐ γὰρ σύνοιδα ἐμαυτῷ ἄτοπα πράξας.
[LXX | EL | OT | Job | Chapter 27 | Verse 7] Οὐ μὴν δὲ ἀλλὰ εἴησαν οἱ ἐχθροί μου ὥσπερ ἡ καταστροφὴ τῶν ἀσεβῶν, καὶ οἱ ἐπʼ ἐμὲ ἐπανιστάμενοι, ὥσπερ ἡ ἀπώλεια τῶν παρανόμων.
[LXX | EL | OT | Job | Chapter 27 | Verse 8] Καὶ τίς γάρ ἐστιν ἐλπὶς ἀσεβεῖ, ὅτι ἐπέχει; πεποιθὼς ἐπὶ κύριον ἄρα σωθήσεται;
[LXX | EL | OT | Job | Chapter 27 | Verse 9] Ἢ τὴν δέησιν αὐτοῦ εἰσακούσεται ὁ Θεός; ἢ ἐπελθούσης αὐτῷ ἀνάγκης
[LXX | EL | OT | Job | Chapter 27 | Verse 10] μὴ ἔχει τινὰ παῤῥησίαν ἔναντι αὐτοῦ; ἢ ὡς ἐπικαλεσαμένου αὐτοῦ εἰσακούσεται αὐτοῦ;
[LXX | EL | OT | Job | Chapter 27 | Verse 11] Ἀλλὰ δὴ ἀναγγελῶ ὑμῖν τί ἐστιν ἐν χειρὶ Κυρίου, ἅ ἐστι παρὰ παντοκράτορι, οὐ ψεύσομαι.
[LXX | EL | OT | Job | Chapter 27 | Verse 12] Ἰδοὺ πάντες οἴδατε, ὅτι κενὰ κενοῖς ἐπιβάλλετε.
[LXX | EL | OT | Job | Chapter 27 | Verse 13] Αὕτη ἡ μερὶς ἀνθρώπου ἀσεβοῦς παρὰ Κυρίου, κτῆμα δὲ δυναστῶν ἐλεύσεται παρὰ παντοκράτορος ἐπʼ αὐτούς.
[LXX | EL | OT | Job | Chapter 27 | Verse 14] Ἐὰν δἐ πολλοὶ γένωνται οἱ υἱοὶ αὐτῶν, εἰς σφαγὴν ἔσονται· ἐὰν δὲ καὶ ἀνδρωθῶσι, προσαιτήσουσιν.
[LXX | EL | OT | Job | Chapter 27 | Verse 15] Οἱ δὲ περιόντες αὐτοῦ ἐν θανάτῳ τελευτήσουσι, χήρας δὲ αὐτῶν οὐδεὶς ἐλεήσει.
[LXX | EL | OT | Job | Chapter 27 | Verse 16] Ἐὰν συναγάγῃ ὥσπερ γῆν ἀργύριον, ἶσα δὲ πηλῷ ἑτοιμάσῃ χρυσίον,
[LXX | EL | OT | Job | Chapter 27 | Verse 17] ταῦτα πάντα δίκαιοι περιποιήσονται, τὰ δὲ χρήματα αὐτοῦ ἀληθινοὶ καθέξουσιν.
[LXX | EL | OT | Job | Chapter 27 | Verse 18] Ἀπέβη δὲ ὁ οἶκος αὐτοῦ ὥσπερ σῆτες, καὶ ὥσπερ ἀράχνη.
[LXX | EL | OT | Job | Chapter 27 | Verse 19] Πλούσιος κοιμηθήσεται καὶ οὐ προσθήσει, ὀφθαλμοὺς αὐτοῦ διήνοιξε καὶ οὐκ ἔστι.
[LXX | EL | OT | Job | Chapter 27 | Verse 20] Συνήντησαν αὐτῷ ὥσπερ ὕδωρ αἱ ὀδύναι, νυκτὶ δὲ ὑφείλατο αὐτὸν γνόφος.
[LXX | EL | OT | Job | Chapter 27 | Verse 21] Ἀναλήψεται δὲ αὐτὸν καύσων καὶ ἀπελεύσεται, καὶ λικμήσει αὐτὸν ἐκ τοῦ τόπου αὐτοῦ.
[LXX | EL | OT | Job | Chapter 27 | Verse 22] Καὶ ἐπιῤῥίψει ἐπʼ αὐτὸν καὶ οὐ φείσεται, ἐκ χειρὸς αὐτοῦ φυγῇ φεύξεται.
[LXX | EL | OT | Job | Chapter 27 | Verse 23] Κροτήσει ἐπʼ αὐτοὺς χεῖρας αὐτῶν, καὶ συριεῖ αὐτὸν ἐκ τοῦ τόπου αὐτοῦ.
