[LXX | EL | OT | Job | Chapter 30 | Verse 1] Νυνὶ δὲ κατεγέλασάν μου ἐλάχιστοι, νῦν νουθετοῦσί με ἐν μέρει, ὧν ἐξουδένουν τοὺς πατέρας αὐτῶν, οὓς οὐχ ἡγησάμην ἀξίους κυνῶν τῶν ἐμῶν νομάδων.
[LXX | EL | OT | Job | Chapter 30 | Verse 2] Καί γε ἰσχὺς χειρῶν αὐτῶν ἱνατί μοι; ἐπʼ αὐτοὺς ἀπώλετο συντέλεια.
[LXX | EL | OT | Job | Chapter 30 | Verse 3] Ἐν ἐνδείᾳ καὶ λιμῷ ἄγονος, οἱ φεύγοντες ἄνυδρον ἐχθὲς συνοχὴν καὶ ταλαιπωρίαν.
[LXX | EL | OT | Job | Chapter 30 | Verse 4] Οἱ περικυκλοῦντες ἄλιμα ἐπὶ ἠχοῦντι, οἵτινες ἄλιμα ἦν αὐτῶν τὰ σῖτα, ἄτιμοι δὲ καὶ πεφαυλισμένοι, ἐνδεεῖς παντὸς ἀγαθοῦ, οἳ καὶ ῥὶζας ξύλων ἐμασσῶντο ὑπὸ λιμοῦ μεγάλου.
[LXX | EL | OT | Job | Chapter 30 | Verse 5] Ἐπανέστησάν μοι κλέπται,
[LXX | EL | OT | Job | Chapter 30 | Verse 6] ὧν οἱ οἶκοι αὐτῶν ἦσαν τρῶγλαι πετρῶν·
[LXX | EL | OT | Job | Chapter 30 | Verse 7] Ἀναμέσον εὐήχων βοήσονται οἳ ὑπὸ φρύγανα ἄγρια διῃτῶντο.
[LXX | EL | OT | Job | Chapter 30 | Verse 8] Ἀφρόνων υἱοὶ καὶ ἀτίμων, ὄνομα καὶ κλέος ἐσβεσμένον ἀπὸ γῆς.
[LXX | EL | OT | Job | Chapter 30 | Verse 9] Νυνὶ δὲ κιθάρα ἐγώ εἰμι αὐτῶν, καὶ ἐμὲ θρύλλημα ἔχουσιν.
[LXX | EL | OT | Job | Chapter 30 | Verse 10] Ἐβδελύξαντο δέ με ἀποστάντες μακρὰν, ἀπὸ δὲ τοῦ προσώπου μου οὐκ ἐφείσαντο πτύελον.
[LXX | EL | OT | Job | Chapter 30 | Verse 11] Ἀνοίξας γὰρ φαρέτραν αὐτοῦ ἐκάκωσέ με, καὶ χαλινὸν τοῦ προσώπου μου ἐξαπέστειλεν.
[LXX | EL | OT | Job | Chapter 30 | Verse 12] Ἐπὶ δεξιῶν βλαστοῦ ἐπανέστησαν, πόδα αὐτῶν ἐξέτειναν, καὶ ὡδοποίησαν ἐπʼ ἐμὲ· τρίβους ἀπωλείας αὐτῶν.
[LXX | EL | OT | Job | Chapter 30 | Verse 13] Ἐξετρίβησαν τρίβοι μου, ἐξέδυσαν γάρ μου τὴν στολήν·
[LXX | EL | OT | Job | Chapter 30 | Verse 14] βέλεσιν αὐτοῦ κατηκόντισέ με. Κέκριται δέ μοι ὡς βούλεται, ἐν ὀδύναις πέφυρμαι.
[LXX | EL | OT | Job | Chapter 30 | Verse 15] Ἐπιστρέφονταί μου αἱ ὀδύναι, ᾤχετό μου ἡ ἐλπὶς ὥσπερ πνεῦμα, καὶ ὥσπερ νέφος ἡ σωτηρία μου.
[LXX | EL | OT | Job | Chapter 30 | Verse 16] Καὶ νῦν ἐπʼ ἐμὲ ἐκχυθήσεται ἡ ψυχή μου, ἔχουσιν δέ με ἡμέραι ὀδυνῶν.
[LXX | EL | OT | Job | Chapter 30 | Verse 17] Νυκτὶ δέ μου τὰ ὀστᾶ συγκέχυται, τὰ δὲ νεῦρά μου διαλέλυται.
[LXX | EL | OT | Job | Chapter 30 | Verse 18] Ἐν πολλῇ ἰσχύϊ ἐπελάβετό μου τῆς στολῆς, ὥσπερ τὸ περιστόμιον τοῦ χιτῶνός μου περιέσχε με.
[LXX | EL | OT | Job | Chapter 30 | Verse 19] Ἥγησαι δέ με ἴσα πηλῷ, ἐν γῇ καὶ σποδῷ μου ἡ μερίς.
[LXX | EL | OT | Job | Chapter 30 | Verse 20] Κέκραγα δὲ πρὸς σὲ καὶ οὐκ ἀκούεις μου, ἔστησαν δὲ καὶ κατενόησάν με.
[LXX | EL | OT | Job | Chapter 30 | Verse 21] Ἐπέβησαν δέ μοι ἀνελεημόνως, χειρὶ κραταιᾷ με ἐμαστίγωσας.
[LXX | EL | OT | Job | Chapter 30 | Verse 22] Ἔταξας δέ με ἐν ὀδύναις, καὶ ἀπέῤῥιψάς με ἀπὸ σωτηρίας.
[LXX | EL | OT | Job | Chapter 30 | Verse 23] Οἶδα γὰρ ὅτι θάνατός με ἐκτρίψει, οἰκία γὰρ παντὶ θνητῷ γῆ.
[LXX | EL | OT | Job | Chapter 30 | Verse 24] Εἰ γὰρ ὄφελον δυναίμην ἐμαυτὸν χειρώσασθαι, ἢ δεηθείς γε ἑτέρου, καὶ ποιήσει μοι τοῦτο.
[LXX | EL | OT | Job | Chapter 30 | Verse 25] Ἐγὼ δὲ ἐπὶ παντὶ ἀδυνάτῳ ἔκλαυσα, ἐστέναξα ἰδὼν ἄνδρα ἐν ἀνάγκαις·
[LXX | EL | OT | Job | Chapter 30 | Verse 26] ἐγὼ δὲ ἐπέχων ἀγαθοῖς, ἰδοὺ συνήντησάν μοι μᾶλλον ἡμέραι κακῶν.
[LXX | EL | OT | Job | Chapter 30 | Verse 27] Ἡ κοιλία μου ἐξέζεσε καὶ οὐ σιωπήσεται, προέφθασάν με ἡμέραι πτωχείας.
[LXX | EL | OT | Job | Chapter 30 | Verse 28] Στένων πεπόρευμαι ἄνευ φιμοῦ, ἕστηκα δὲ ἐν ἐκκλησίᾳ κεκραγώς.
[LXX | EL | OT | Job | Chapter 30 | Verse 29] Ἀδελφὸς γέγονα σειρήνων, ἑταῖρος δὲ στρουθῶν.
[LXX | EL | OT | Job | Chapter 30 | Verse 30] Τὸ δὲ δέρμα μου ἐσκότωται μεγάλως, τὰ δὲ ὀστᾶ μου ἀπὸ καύματος.
[LXX | EL | OT | Job | Chapter 30 | Verse 31] Ἀπέβη δὲ εἰς πένθος μου ἡ κιθάρα, ὁ δὲ ψαλμός μου εἰς κλαυθμὸν ἐμοί.
